context,perturbation_key,dose_key,n_cells,task_key,eligible,selection_inputs,target_perturbed_expression_used_for_selection
A549,Alvespimycin,10.0,114,A549::Alvespimycin::dose=10.0,True,context_label+perturbation_label+cell_count,False
A549,Alvespimycin,100.0,91,A549::Alvespimycin::dose=100.0,True,context_label+perturbation_label+cell_count,False
A549,Alvespimycin,1000.0,66,A549::Alvespimycin::dose=1000.0,True,context_label+perturbation_label+cell_count,False
A549,Alvespimycin,10000.0,61,A549::Alvespimycin::dose=10000.0,True,context_label+perturbation_label+cell_count,False
A549,Belinostat,10.0,103,A549::Belinostat::dose=10.0,True,context_label+perturbation_label+cell_count,False
A549,Belinostat,100.0,109,A549::Belinostat::dose=100.0,True,context_label+perturbation_label+cell_count,False
A549,Belinostat,1000.0,128,A549::Belinostat::dose=1000.0,True,context_label+perturbation_label+cell_count,False
A549,Belinostat,10000.0,73,A549::Belinostat::dose=10000.0,True,context_label+perturbation_label+cell_count,False
A549,Dacinostat,10.0,149,A549::Dacinostat::dose=10.0,True,context_label+perturbation_label+cell_count,False
A549,Dacinostat,100.0,115,A549::Dacinostat::dose=100.0,True,context_label+perturbation_label+cell_count,False
A549,Dacinostat,1000.0,87,A549::Dacinostat::dose=1000.0,True,context_label+perturbation_label+cell_count,False
A549,Dacinostat,10000.0,71,A549::Dacinostat::dose=10000.0,True,context_label+perturbation_label+cell_count,False
A549,Flavopiridol,10.0,98,A549::Flavopiridol::dose=10.0,True,context_label+perturbation_label+cell_count,False
A549,Flavopiridol,100.0,77,A549::Flavopiridol::dose=100.0,True,context_label+perturbation_label+cell_count,False
A549,Flavopiridol,1000.0,57,A549::Flavopiridol::dose=1000.0,True,context_label+perturbation_label+cell_count,False
A549,Flavopiridol,10000.0,64,A549::Flavopiridol::dose=10000.0,True,context_label+perturbation_label+cell_count,False
A549,Givinostat,10.0,93,A549::Givinostat::dose=10.0,True,context_label+perturbation_label+cell_count,False
A549,Givinostat,100.0,100,A549::Givinostat::dose=100.0,True,context_label+perturbation_label+cell_count,False
A549,Givinostat,1000.0,120,A549::Givinostat::dose=1000.0,True,context_label+perturbation_label+cell_count,False
