panel,split,condition
Norman_P3,train,ARRDC3+ctrl
Norman_P3,train,ATL1+ctrl
Norman_P3,train,BCL2L11+ctrl
Norman_P3,train,BPGM+SAMD1
Norman_P3,train,BPGM+ctrl
Norman_P3,train,CBFA2T3+FEV
Norman_P3,train,CBFA2T3+POU3F2
Norman_P3,train,CBFA2T3+PRDM1
Norman_P3,train,CDKN1C+ctrl
Norman_P3,train,CEBPA+CEBPB
Norman_P3,train,CEBPA+JUN
Norman_P3,train,CEBPA+ctrl
Norman_P3,train,CEBPB+FOSB
Norman_P3,train,CEBPB+OSR2
Norman_P3,train,CEBPB+PTPN12
Norman_P3,train,CEBPB+ctrl
Norman_P3,train,CKS1B+ctrl
Norman_P3,train,CLDN6+ctrl
Norman_P3,train,COL1A1+ctrl
Norman_P3,train,COL2A1+ctrl
Norman_P3,train,CSRNP1+ctrl
Norman_P3,train,DLX2+SNAI1
Norman_P3,train,DLX2+ZBTB10
Norman_P3,train,FEV+ctrl
Norman_P3,train,FOSB+IKZF3
Norman_P3,train,FOSB+ctrl
Norman_P3,train,FOXA1+ctrl
Norman_P3,train,FOXA3+ctrl
Norman_P3,train,HES7+ctrl
Norman_P3,train,HK2+ctrl
Norman_P3,train,HOXA13+ctrl
Norman_P3,train,IGDCC3+MAPK1
Norman_P3,train,IGDCC3+ctrl
Norman_P3,train,IKZF3+MAPK1
Norman_P3,train,IKZF3+ctrl
Norman_P3,train,JUN+ctrl
Norman_P3,train,MAP2K6+SPI1
Norman_P3,train,MAPK1+ctrl
Norman_P3,train,MEIS1+ctrl
Norman_P3,train,NCL+ctrl
Norman_P3,train,NIT1+ctrl
Norman_P3,train,OSR2+ctrl
Norman_P3,train,PLK4+STIL
Norman_P3,train,POU3F2+ctrl
Norman_P3,train,PRDM1+ctrl
Norman_P3,train,PTPN12+SAMD1
Norman_P3,train,PTPN12+SNAI1
Norman_P3,train,PTPN12+ctrl
Norman_P3,train,PTPN13+ctrl
Norman_P3,train,S1PR2+SGK1
Norman_P3,train,S1PR2+ctrl
Norman_P3,train,SAMD1+ctrl
Norman_P3,train,SGK1+TBX3
Norman_P3,train,SLC38A2+ctrl
Norman_P3,train,SLC6A9+ctrl
Norman_P3,train,SNAI1+ZBTB10
Norman_P3,train,SNAI1+ctrl
Norman_P3,train,STIL+ctrl
Norman_P3,train,TBX3+ctrl
Norman_P3,train,TP73+ctrl
Norman_P3,train,TSC22D1+ctrl
Norman_P3,train,ZBTB10+ctrl
Norman_P3,train,ZC3HAV1+ctrl
Norman_P3,train,ctrl
Norman_P3,val,CBFA2T3+ctrl
Norman_P3,val,CEBPA+ZC3HAV1
Norman_P3,val,CEBPB+JUN
Norman_P3,val,CEBPB+MAPK1
Norman_P3,val,CELF2+ctrl
Norman_P3,val,DLX2+ctrl
Norman_P3,val,FOSB+OSR2
Norman_P3,val,FOSB+PTPN12
Norman_P3,val,FOXA1+FOXA3
Norman_P3,val,IER5L+ctrl
Norman_P3,val,IKZF3+MAP2K6
Norman_P3,val,MAP2K6+ctrl
Norman_P3,val,MIDN+ctrl
Norman_P3,val,OSR2+PTPN12
Norman_P3,val,PLK4+ctrl
Norman_P3,val,PTPN12+ZBTB10
Norman_P3,val,RREB1+ctrl
Norman_P3,val,SGK1+ctrl
Norman_P3,val,SLC4A1+ctrl
Norman_P3,val,SPI1+ctrl
Norman_P3,test,AHR+ctrl
Norman_P3,test,CBL+ctrl
Norman_P3,test,CDKN1A+ctrl
Norman_P3,test,CEBPE+ctrl
Norman_P3,test,CITED1+ctrl
Norman_P3,test,CNN1+ctrl
Norman_P3,test,CNNM4+ctrl
Norman_P3,test,DUSP9+ctrl
Norman_P3,test,EGR1+ctrl
Norman_P3,test,FOXF1+ctrl
Norman_P3,test,FOXO4+ctrl
Norman_P3,test,HOXB9+ctrl
Norman_P3,test,HOXC13+ctrl
Norman_P3,test,IRF1+ctrl
Norman_P3,test,KIF2C+ctrl
Norman_P3,test,KMT2A+ctrl
Norman_P3,test,LHX1+ctrl
Norman_P3,test,MAP2K3+ctrl
Norman_P3,test,PTPN9+ctrl
Norman_P3,test,RHOXF2+ctrl
Norman_P3,test,SET+ctrl
Norman_P3,test,TGFBR2+ctrl
Norman_P3,test,ZBTB25+ctrl
Norman_P3,test,ZNF318+ctrl
