panel_id,perturbed_gene_id,e189_perturbation_role,reserved_random_pair_donor,reserved_random_pair_state,candidate_train_context_order,selection_sha256
H02,ENSG00000011454,SEEN_PERTURBATION,CE0010866,Stim8hr,CE0010866::Stim48hr|CE0006864::Rest|CE0010866::Rest|CE0006864::Stim8hr|CE0006864::Stim48hr,295420bc586b492251d3bd2cbe8f4ba5d26e792eb51c86fa739d82ed416e54ef
H02,ENSG00000020577,SEEN_PERTURBATION,CE0010866,Stim48hr,CE0010866::Stim8hr|CE0006864::Rest|CE0006864::Stim48hr|CE0006864::Stim8hr|CE0010866::Rest,d65229e3ea7d40c8928329e9c75d536c3ff84eccb9bde9292982c7313166da3d
H02,ENSG00000047932,SEEN_PERTURBATION,CE0010866,Rest,CE0006864::Rest|CE0006864::Stim48hr|CE0006864::Stim8hr|CE0010866::Stim8hr|CE0010866::Stim48hr,a68e63dbac167848bd1870d8b34f780880503bddde13fb65a761dbab0af551be
H02,ENSG00000049860,SEEN_PERTURBATION,CE0006864,Rest,CE0010866::Stim8hr|CE0010866::Rest|CE0006864::Stim8hr|CE0010866::Stim48hr|CE0006864::Stim48hr,bb3ac76ab9f82be245bdeb0d04efdb6994ef7e4d519d4ba3ebf1ed618bcab278
H02,ENSG00000061656,SEEN_PERTURBATION,CE0010866,Stim8hr,CE0006864::Stim48hr|CE0006864::Stim8hr|CE0006864::Rest|CE0010866::Stim48hr|CE0010866::Rest,35726ddb14019a7c0c3ea472958aa3ee66d4190297aa245541dfc1b6b24aabe3
H02,ENSG00000063854,SEEN_PERTURBATION,CE0010866,Stim8hr,CE0010866::Rest|CE0006864::Rest|CE0010866::Stim48hr|CE0006864::Stim48hr|CE0006864::Stim8hr,5ce1638db1f6945680ddc039f1e6f65be0cac407be219f43015ba69f6136b003
H02,ENSG00000067221,SEEN_PERTURBATION,CE0010866,Stim8hr,CE0006864::Stim8hr|CE0006864::Stim48hr|CE0006864::Rest|CE0010866::Stim48hr|CE0010866::Rest,9e7f80f76fe2350f941f5baf327b3ede039376422a08e1758b452fd635f624b4
H02,ENSG00000071073,SEEN_PERTURBATION,CE0010866,Rest,CE0006864::Stim48hr|CE0006864::Stim8hr|CE0006864::Rest|CE0010866::Stim8hr|CE0010866::Stim48hr,d25f7038aa0790853e21e2667d150efdc668e06e9762a363930c9132138efd03
H02,ENSG00000075151,SEEN_PERTURBATION,CE0010866,Stim8hr,CE0006864::Stim48hr|CE0006864::Rest|CE0006864::Stim8hr|CE0010866::Stim48hr|CE0010866::Rest,2aee3e57d2131d58067d433803a45f4d456487dd72b0234adde3918703e8bac9
H02,ENSG00000075975,SEEN_PERTURBATION,CE0010866,Stim8hr,CE0010866::Stim48hr|CE0010866::Rest|CE0006864::Stim48hr|CE0006864::Stim8hr|CE0006864::Rest,0839dc5ded1b7dcc807a17a6b574844baa6a2aae9feca9eddd31adf0d1ba87b2
H02,ENSG00000089916,SEEN_PERTURBATION,CE0006864,Stim8hr,CE0010866::Stim8hr|CE0006864::Stim48hr|CE0010866::Stim48hr|CE0006864::Rest|CE0010866::Rest,1785b0180a9e61e4e03fb8e15a0c6b935ee95613defb3e4b8050272af5de200e
H02,ENSG00000100311,SEEN_PERTURBATION,CE0006864,Stim8hr,CE0010866::Rest|CE0006864::Rest|CE0010866::Stim48hr|CE0006864::Stim48hr|CE0010866::Stim8hr,3d8c64bbb64ec38f36860782084d2879cb01d94ecec96f4e9c4fc73ac520fa82
H02,ENSG00000101457,SEEN_PERTURBATION,CE0006864,Rest,CE0010866::Stim48hr|CE0006864::Stim8hr|CE0006864::Stim48hr|CE0010866::Rest|CE0010866::Stim8hr,0ad70dc4513bce793c5d7723beaf543f514471b23f2854c575e0084927ccebbf
H02,ENSG00000102226,SEEN_PERTURBATION,CE0010866,Stim8hr,CE0006864::Stim8hr|CE0006864::Rest|CE0010866::Rest|CE0010866::Stim48hr|CE0006864::Stim48hr,63df802a7fa75b73b8132385a93859d0ef6a871fc69d7dff7a25a4ed9d55c74e
H02,ENSG00000102755,SEEN_PERTURBATION,CE0010866,Rest,CE0006864::Stim8hr|CE0006864::Stim48hr|CE0010866::Stim48hr|CE0006864::Rest|CE0010866::Stim8hr,f315dc53c220a9554e35f81fcd1646719d7650b04aa0ab86fc919faa451afce4
H02,ENSG00000104064,SEEN_PERTURBATION,CE0006864,Stim48hr,CE0006864::Stim8hr|CE0010866::Stim48hr|CE0006864::Rest|CE0010866::Rest|CE0010866::Stim8hr,a2fc170b20c05dfbf6cc8f9b4079fe8432218b72b119853467b1c929769bbce3
H02,ENSG00000105991,SEEN_PERTURBATION,CE0010866,Rest,CE0010866::Stim48hr|CE0006864::Rest|CE0006864::Stim8hr|CE0010866::Stim8hr|CE0006864::Stim48hr,2b118e62fb3c68a578e8dbb2c22595d29734e6590a79eef2c60c9037a6545d59
H02,ENSG00000107262,SEEN_PERTURBATION,CE0010866,Rest,CE0010866::Stim48hr|CE0006864::Stim48hr|CE0006864::Stim8hr|CE0006864::Rest|CE0010866::Stim8hr,51afcd1c51b300c2c4ea46df7a0ca1cf98f50a57c027a00ef66bfaa4f1021c81
