context,n_perturbations,n_task_cells,median_cells_per_pair,n_multi_dose_pairs,n_multi_time_pairs,test_score_rows
TEN,13,2621,89.0,0,4,26.0
RCC10RGB,13,3304,93.0,0,4,26.0
LNCAPCLONEFGC,13,2389,85.0,0,4,26.0
NCIH2347,13,1804,71.0,0,4,26.0
COV434,13,1472,40.0,0,4,26.0
COLO680N,13,4084,120.0,0,4,26.0
CAOV3,13,2009,72.0,0,4,26.0
SNB75,11,740,44.0,0,1,22.0
HCC1143,11,860,53.0,0,1,22.0
MDAMB435S,11,1179,83.0,0,1,22.0
NCIH1793,11,734,54.0,0,1,22.0
NCIH1650,11,837,63.0,0,1,22.0
786O,11,1568,69.0,0,1,22.0
8505C,11,1038,75.0,0,1,22.0
SNU410,11,499,45.0,0,1,22.0
DV90,11,125,13.0,0,1,18.0
SNU1105,11,712,61.0,0,1,22.0
NCIH1355,11,972,66.0,0,1,22.0
SW48,11,527,31.0,0,1,22.0
IGROV1,11,1784,74.0,0,1,22.0
LOVO,11,1281,48.0,0,1,22.0
NCIH322,11,552,38.0,0,1,22.0
NCIH226,10,1905,43.0,0,3,20.0
BT474,10,1252,26.5,0,3,20.0
SKMEL2,10,2264,57.0,0,3,20.0
DKMG,10,1838,51.0,0,3,20.0
RERFLCAD1,10,1998,48.5,0,3,20.0
CCFSTTG1,10,1807,57.5,0,3,20.0
BT549,10,1458,22.5,0,3,20.0
SQ1,10,1771,37.5,0,3,20.0
LS1034,10,1411,32.5,0,3,20.0
SNU1079,10,1340,23.0,0,3,20.0
RCM1,10,2106,29.0,0,3,20.0
IALM,10,1417,64.5,0,3,20.0
SKMEL3,10,2015,45.0,0,3,20.0
SH10TC,10,2085,81.0,0,3,20.0
UMUC1,10,2144,47.5,0,3,20.0
BICR31,10,2596,52.5,0,3,20.0
BICR6,10,1623,55.5,0,3,20.0
253JBV,8,574,67.0,0,0,16.0
SUIT2,8,631,61.5,0,0,16.0
SW948,8,123,11.0,0,0,14.0
T3M4,8,140,18.5,0,0,14.0
TCCPAN2,8,752,86.5,0,0,16.0
MESSA,8,329,28.5,0,0,16.0
NCIH1339,8,253,31.0,0,0,16.0
NCIH1437,8,330,39.0,0,0,16.0
TE8,8,211,29.5,0,0,16.0
5637,8,285,32.0,0,0,16.0
HCT15,8,486,48.0,0,0,16.0
HEC1A,8,373,36.5,0,0,16.0
HPAC,8,163,16.5,0,0,16.0
HS294T,8,364,40.5,0,0,16.0
HT29,8,343,31.0,0,0,16.0
