context,perturbation,n_cells,dominant_dose_value,dominant_dose_fraction,n_dose_values,all_dose_values,dominant_time,dominant_time_fraction,n_time_values,all_time_values
22RV1,BRD3379,187,0.0,1.0,1,0.0,6,0.5026737967914439,2,24|6
22RV1,Dabrafenib,82,0.1,1.0,1,0.1,24,1.0,1,24
22RV1,Navitoclax,90,5.0,1.0,1,5.0,24,1.0,1,24
22RV1,Trametinib,84,0.1,1.0,1,0.1,24,1.0,1,24
42MGBA,BRD3379,309,0.0,1.0,1,0.0,24,0.5954692556634305,2,24|6
42MGBA,Dabrafenib,196,0.1,1.0,1,0.1,24,1.0,1,24
42MGBA,Navitoclax,151,5.0,1.0,1,5.0,24,1.0,1,24
42MGBA,Trametinib,192,0.1,1.0,1,0.1,24,1.0,1,24
253JBV,AZD5591,145,0.0,1.0,1,0.0,24,1.0,1,24
253JBV,Afatinib,64,0.5,1.0,1,0.5,24,1.0,1,24
253JBV,Everolimus,70,10.0,1.0,1,10.0,24,1.0,1,24
253JBV,Gemcitabine,33,0.1,1.0,1,0.1,24,1.0,1,24
253JBV,JQ1,103,2.5,1.0,1,2.5,24,1.0,1,24
253JBV,Prexasertib,83,1.0,1.0,1,1.0,24,1.0,1,24
253JBV,Taselisib,47,1.0,1.0,1,1.0,24,1.0,1,24
253JBV,Trametinib,29,0.1,1.0,1,0.1,24,1.0,1,24
639V,AZD5591,96,0.0,1.0,1,0.0,24,1.0,1,24
639V,Afatinib,70,0.5,1.0,1,0.5,24,1.0,1,24
639V,Everolimus,29,10.0,1.0,1,10.0,24,1.0,1,24
639V,Gemcitabine,32,0.1,1.0,1,0.1,24,1.0,1,24
639V,JQ1,62,2.5,1.0,1,2.5,24,1.0,1,24
639V,Prexasertib,50,1.0,1.0,1,1.0,24,1.0,1,24
639V,Taselisib,34,1.0,1.0,1,1.0,24,1.0,1,24
639V,Trametinib,24,0.1,1.0,1,0.1,24,1.0,1,24
769P,BRD3379,364,0.0,1.0,1,0.0,24,0.5934065934065934,2,24|6
