perturbation,selection_hash,n_cells_HepG2,n_cells_Jurkat,in_both_expression_gene_axes,in_scgpt_vocabulary,expression_values_used_for_selection
GON4L,00a31cd89f542604abeb291eeb0fe567b7e8b23740d638e0088252f4f993ed98,69,101,True,True,False
SKA3,00e69d45eb2ea2188805303b4476651e63b5f3bbefde8f508c0c00454fe096fc,57,93,True,True,False
YRDC,015599200ca412385b5959a9993b3efa667a2beb64fabbae87488903c6e23db6,96,226,True,True,False
DNAJC17,022a6ec412a04db68e7cb589c3047637a0f28d45e82a9125a2d6977a17c9d715,60,79,True,True,False
PPIA,025364b13f98d21a8d845018975356afec5856b76b22130f9e38e8d152783302,51,140,True,True,False
UBE2L3,02560c16ebc4166cee4e182b864670fd850b79498690c388879216a3d53321ae,53,101,True,True,False
CCT4,03233b258bc509ca6e4cafe288c65e71210a93d37b5711feb2df57ff1303ebb6,87,60,True,True,False
GNB1L,043514cdb1c1a9812ce3c37213b8845c47ee6007d79cc28d7467bd87255c5713,55,139,True,True,False
DHX37,0475d269754abad8c42b5054d4e50a1d59c0452e6d67f578397dcdcd35295ad0,124,134,True,True,False
NAA38,048ce2ad913851c23de9b2f5d1fe3653cce78c4447da8d644bf09a834fc4bc07,96,52,True,True,False
NAA50,04c33e86f85c2376101ee5d1e00b91bfb7d412157c79f6e06980f8b5abfc5954,65,73,True,True,False
MRPL41,05954f18634a726c31f365c33de8133d67ff11a7c692011122320b1e4d34ad92,52,151,True,True,False
BPTF,065b9efd6c1c50f0f892749cadfeb0b5d7bef27e9f24e33588f764149f597039,242,62,True,True,False
MRPL38,065f69a0aa910f69d500262eca0b9e96ea8adc31c0a282d58216c76489fc8e1b,55,131,True,True,False
MNAT1,08529f940f5cd95ed8dc86a7f84adebcd5372efb02536260730c51a27e14c78f,69,145,True,True,False
RCCD1,08b2db92bb0976913a7b0f7dce769d996e2748ed75b832c5b265342bb105ef06,52,59,True,True,False
COPS2,08b57f2d1c1e592ac3300ace5105f17671c0d1402712303cf31d7bff0257b892,78,66,True,True,False
GINS1,0932d745031b875d31ca160a28f5eabf6c4152f31dc9af00927dce7fd3b8d7e4,86,238,True,True,False
WDR33,09aac9136bb4e779db7d28469ff7ccac090dc51b1666acc1882e24f4ed18c587,63,51,True,True,False
MKRN1,0aab0120a3dd576d6c58678b9f10f1c9397bc8b69833cf1f21957c31c31e0c55,73,181,True,True,False
PNN,0ac94d103f9312215172cc412fadb4d9b604fec8eff93e9f585f0dd94d7c2dfa,170,94,True,True,False
EHMT2,0af29ad8e097f2bc62bcb3c92e7f97ab09367671ad26e76789ccdec35687a1c0,101,125,True,True,False
PPP6C,0b9811703bf418e9990e74336017336c89c4bf74c15115830ea6ac5e4497ec14,459,1186,True,True,False
ARMC7,0ba5eeedd42fb3cce7b4649748e61da6f28a7236e898f9e63b6fa1594a7344af,66,168,True,True,False
RBM15,0bc8311a44b663a56b2e95dcd9947e9b1921b85d0baea122c402ad2e046212ec,75,134,True,True,False
INO80C,0c0c76814e163c30abbd09031d596cf0093113e8b9eacdeb724193e8308504ef,52,188,True,True,False
LSM12,0c67259e4bf5a92fb43c86ee2830aab43e59eb2d0fa32547c10b9163c1c6a0de,69,108,True,True,False
ENY2,0c99fd75e77148f9b4bdcd22c5bd47b772368deaf875d9b060ff9a6ae428b906,77,102,True,True,False
MRPL54,0cd55766cfdfdada61ce9157320d4c0bc6f833dee2f0718dbdf358e329beb613,55,156,True,True,False
MTG2,0cdbf1c4ee1a0aba603e74434721c75999719537409063291ce508e79833346d,86,182,True,True,False
IGBP1,0ce6307bd7495149b4ae733ffca47e253aa3e29e36df2513dbf9bab82f1fda81,61,72,True,True,False
ESF1,0d3f192f7c592a207ac0dd75cf64718230454e6150d9c655c7a4ef8fe70d99a5,165,238,True,True,False
ACTR2,0d584bea44f19bbfcaac5a7f329878d788d4841c6432c66a3f5ec4267143844d,79,89,True,True,False
DRAP1,0dc24fcec3167c3108e2b14f5245431b821a7122a3f1105c5a56b24a362dc203,52,141,True,True,False
MPHOSPH6,0ea2514e7d237783ed385190b6669a4148f053012b7cdd4519731c63f1d7e094,83,263,True,True,False
TTC1,0f17f44a3f3e291a4143dab7dc067accfa15ad47748ee279b98cb928b6a67ca2,76,173,True,True,False
TACC3,0f8a217d8a6c357ad4f725b30f4de0fcded2696d3be0c9e149f929bec4f14580,68,148,True,True,False
CCNC,0fbb42093109f82c6e7d184054a90e39683c46587a436111f6ef3315e54f3128,52,82,True,True,False
ORC6,0fc371e9313adaa240ec60b5d21aec2d5fec3348f0b0bf78ed2467e060e26fc5,52,52,True,True,False
EXOC5,0fd35f9de9589b3c75551f4599fef37e861d689876d2b0cfc95b46ce29f59211,64,102,True,True,False
LAMTOR1,101cc3d2ba7e392c67046654e61d15767982c13ad11c08fde230cc48be97dc80,126,293,True,True,False
USP14,10334b928c58ba8b8efe6ef6279693b9b42f0f33592e722eefdd40f0b20581eb,93,175,True,True,False
TGS1,1060dc686bcf696af6b1de662114b117ad131b4b4cb1c4afff0fa8e191a5eee2,55,157,True,True,False
WDR74,109d82062d72adb1ceb4eaccf49435891b4bdcdab83e6fa7254497de1e563bf5,79,138,True,True,False
DYNLL2,1133e5e3398e98831718c3248e7447a98555a9775746c9e69e7304bcdcd9785d,81,164,True,True,False
DNAJC19,1178c68864d8a4931300a35e01ad382eb6b54c8d454b019aebf1e6f1cf6fbc29,52,114,True,True,False
RPL37A,119329b2cf42d24a025557c725ff4dd03fbc37553a4025126d549ea4e5fc08e4,76,68,True,True,False
PIAS1,1224fcbca36fc45a264ccfb1b2c3bd368bfbc3f33a6edf7bb3a9e73269d8fe5d,50,60,True,True,False
CNOT10,123f8b7b23e99d42271c1fdf7beeec66767769cba8cb316e679b601a3e2bae02,86,100,True,True,False
DDX1,128da07ba6d5fa8359a22a6562b52c7fa62aa6cefef8db18322f00dfe3c65fe9,55,116,True,True,False
GTF2F2,129d811cb27d880606a82811d5f730d1c8408dbd8b19a1a22ac4dce9c524427c,76,121,True,True,False
SMARCB1,12cdde942ab9d209791d372ee8ff784861b38960c63f3cad3d327c44b30cbedf,81,204,True,True,False
NPLOC4,12e8c3aaa341113727ea6cb9a21995d2c27471919e8fa71b10efd3b50041921b,54,136,True,True,False
WDR75,12f229f5255f88e067f4fc8223b70f3da47cad61c7a6f842c0bd28b056d36f5d,50,149,True,True,False
LSG1,12f2656dd2310337aa38a4dea069517044c2b2ec9c01d57cc9bdea6b78698f13,83,167,True,True,False
EIF2B1,1343a21fb850eebfd26834aec8c6f6e811c08086659ba31a472f7f808a29a30b,189,257,True,True,False
RPL7L1,134beca5c2ea6e0134fc4c87674cea4e9001a69fc0384a587adfb475a10c0644,56,76,True,True,False
BAP1,13d1104cf1b0ed7f895910e68f83d1517dd74fcb0136911c74cf51f6a32c44b8,100,200,True,True,False
RHOQ,13fc934c981527fc4a6f319570eac5ba47ea89dfc3073068cd7e4a64beca8f92,149,313,True,True,False
TFAM,146b2f3866ca557d1254ef9c69377c064b34963d7055497d1ffd9af04e4a99a7,1213,2555,True,True,False
SEC61A1,14f957f8777a1513f96cbb0c826cf58d962772dc52a2ca5e6f18b7894177d53b,110,163,True,True,False
RSL1D1,150eecb4a5496cd34a7617b1f1e5701b9d3a6c7f9bbbdf680d4778d29f3d9f9d,166,274,True,True,False
RPL9,15c0b4f00f5eecfc55a1c89770e384e7bc406f4d828656bf829b9c20ac3d7de6,63,50,True,True,False
SRP54,16647376e207693258bb197670410bd19f4440892867c23955280e62c9f8fa4c,118,171,True,True,False
RPS13,172b587b4f57821d1b88cd5571c291c90c0173fa1b6598dce482d4b6e6998e0b,148,290,True,True,False
ADAM10,17769737c87c7e4034f3e48a63e8fe5fbf1f216cb7c32c11ab2d09778bf1b8ec,161,290,True,True,False
FCF1,17fa8beb251321714c74ce0a226fc3b57b2e7318ef04caac9c96a17a7f0d4087,65,86,True,True,False
SART3,1836c86d7f8292bbd7401011dfd6d415fec54ee24ee8f4f936eb5f8ff57621b6,355,201,True,True,False
IST1,185a4d3cebc49c79a2d219069203809db69568132747925a26b077a69b4a8df0,52,122,True,True,False
ABCF1,19a8304eb4f596d9d5d24744a0df46469fcfe45f370d89ca088beec94d087cda,96,145,True,True,False
TUBGCP2,1a029565135d694d10c789ec30bd9410c6efa5c2c7c4d508ecc15663195d35ce,64,58,True,True,False
TAF8,1a43397c75c2069848419a1b60ba54c0c438a68267aa15b8f2c21a93bbaade93,68,174,True,True,False
SIRT7,1a4add49bbb918162857d7374aaaa6e34292ec62e52295444fd8b647945dc335,242,271,True,True,False
KIF18B,1a4d6597060b29591b37dc3d6fb552b0b7869c3b1f4ab42f187ef2a8e2d016bc,80,90,True,True,False
RNGTT,1aa6dd0f8e92fce7d8c653ac16e14f0e6844955db724a6e9d6b83517abe0146a,51,62,True,True,False
MICOS10,1ab6562243c0d4f6655446cc13c752c85f42f1574e81daeb95a1760065171a63,56,150,True,True,False
MED11,1ac7778a7a0347db18210804194d5af3909713015ab14832e7a23dea9db262ac,90,95,True,True,False
TAZ,1b5750840c07222a985a734c209d7239865a59dd157a5b9d576158241f5af78e,50,92,True,True,False
POLRMT,1b885541a6a1e9fec53b438c043ddd11f4e20d76753eca28cb93c4bd5791dfeb,65,190,True,True,False
RCL1,1bc1e5794a12a306b7b139abeb23ed7c31b710e8fd5768021a980e3572b2e85c,109,199,True,True,False
CDIPT,1be2e144264040a77b2404ace967d4de609e7b8861fc9d48896c257dc342d5ab,54,175,True,True,False
EXOSC7,1c13a234bdbf5bc2f52cf15d8eab5cd6a9bdf83d2134eea16b5a6458e14bf9a2,55,74,True,True,False
PFN1,1c2af13546593ec96ce70b66937d11b3b381faa18d0c6bc9f77bd512f20cb248,74,133,True,True,False
MRPL24,1c2de73694b8bd945f5964e6e1c7c986d5bdb67acb7cac0e9b7f8d69cf83a264,61,147,True,True,False
DBR1,1c53a6db42c34960cf6d6c164fc34e9647fbff499fbc3b81ae864481ee5bfc8b,76,155,True,True,False
ELP3,1c5dc18de26151dcc1762a22dfd8c87e47895276f5c01e1b460f430c614ef2f3,102,210,True,True,False
DNTTIP2,1ce5e3ad6c03df01ebdb2d7d85793ab3274238243e2112f317b8181cdba67d66,55,70,True,True,False
ATP11B,1ceb64efe70af625afa2800a5f36530ab4e0413976b506ca48e299d6cb76cc6c,62,192,True,True,False
C17orf58,1cfd323217229b045e1ef5cb6fb66a3f393871c5f8ad6fdd80c42008f77a405d,56,151,True,True,False
ELL,1d09778a936ed85333f66704a04a55ba35542c7b30fd5ac55f9a3637cf6e5fce,232,92,True,True,False
NOL11,1da5012cbe4af88c4346ce17525369249955069cbc4e8090a062c1674e70202b,58,151,True,True,False
COPZ1,1e2fb33cd542e363116452815c5bacc7065640289f1ac5dc110427d46b8e632c,55,133,True,True,False
DDX51,1e74cba0cb99fb3f5dda2f9bbca0511c1770527028baf3ca304a82b97ae8b971,147,295,True,True,False
