test_index,condition,gene_a,gene_b,train_single_condition_a,train_single_condition_b,train_single_cells_a,train_single_cells_b,train_pair_degree_a,train_pair_degree_b,exact_train_pair_support,both_components_have_train_singletons,test_input_role,matching_effect_rms,additive_effect_rms,matching_se_pca10_raw,matching_se_gene_raw,hash_random_sha256,min_single_cell_count_confidence,min_train_pair_degree_confidence,matching_se_pca10_confidence,matching_se_gene_confidence,matching_magnitude_confidence,hash_random_confidence,constant_confidence,exact_pair_support_confidence,raw_orientation,analysis_orientation,direction_frozen_before_E163,condition_balanced_effect_rms,condition_balanced_magnitude_confidence,condition_balanced_magnitude_estimability,prescribe_raw_log_prob_seed3407_confidence,prescribe_raw_log_prob_seed3408_confidence,prescribe_raw_log_prob_seed3409_confidence,prescribe_official_seed3407_confidence,prescribe_negative_magnitude_seed3407_confidence,prescribe_magnitude_raw_seed3407
0,DOT1L+GATA2,DOT1L,GATA2,DOT1L+ctrl,GATA2+ctrl,93,47,4,7,0,True,canonical_condition_string_only,0.0568825108301238,0.1137650216602477,0.2512239556431779,0.037674406846039003,7dfdd1f913e287a5062fdbb7a8d758c111bbbc72bc492ab6f76dafa5ece649a8,3.8712010109078903,1.6094379124341005,-0.2512239556431779,-0.037674406846039003,-0.0568825108301238,0.49215423899648603,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True,0.089075122032432258,-0.089075122032432258,constant_or_nonfinite_baseline,-114346.53125,-6581.0849609375,-95320.4453125,-0.62079620361328125,-0.025559147449335573,0.025559147449335573
1,DOT1L+HDAC3,DOT1L,HDAC3,DOT1L+ctrl,HDAC3+ctrl,93,96,4,5,0,True,canonical_condition_string_only,0.049907070438872797,0.099814140877745594,0.22429985235520741,0.032855286123711101,7d8de4fafafaf7fb5e8d5be22134f73a79e1a63abcfd88bf689ab7c737162cff,4.5432947822700038,1.6094379124341005,-0.22429985235520741,-0.032855286123711101,-0.049907070438872797,0.4904463875527475,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True,0.089075122032432258,-0.089075122032432258,constant_or_nonfinite_baseline,-88228.0703125,-5300.22705078125,-27207.001953125,-0.62079620361328125,-0.025559147449335573,0.025559147449335573
2,DOT1L+KDM1A,DOT1L,KDM1A,DOT1L+ctrl,KDM1A+ctrl,93,39,4,3,0,True,canonical_condition_string_only,0.092404194028627901,0.184808388057256,0.2765764913987549,0.039948814270638601,8aded2422d3482767ea5154474c46b6991926c6e0cd7c323b071f4a74b7181af,3.6888794541139358,1.3862943611198906,-0.2765764913987549,-0.039948814270638601,-0.092404194028627901,0.54246248355521398,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True,0.089075122032432258,-0.089075122032432258,constant_or_nonfinite_baseline,-64523.1875,-4598.37841796875,-112079.1953125,-0.62079620361328125,-0.025559147449335573,0.025559147449335573
3,DOT1L+MED24,DOT1L,MED24,DOT1L+ctrl,MED24+ctrl,93,110,4,7,0,True,canonical_condition_string_only,0.090439882885591599,0.1808797657711832,0.21583760715978129,0.032228840398545899,40b122ddb8d1f24a9d1fc88f5e1d28af67af00c52ce0d8ea1513a49c72a3d211,4.5432947822700038,1.6094379124341005,-0.21583760715978129,-0.032228840398545899,-0.090439882885591599,0.25270288384564998,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True,0.089075122032432258,-0.089075122032432258,constant_or_nonfinite_baseline,-189308.890625,-15516.005859375,-36394.48828125,-0.62079620361328125,-0.025559147449335573,0.025559147449335573
4,DOT1L+RCOR1,DOT1L,RCOR1,DOT1L+ctrl,RCOR1+ctrl,93,61,4,5,0,True,canonical_condition_string_only,0.046193578955660501,0.092387157911321099,0.24209489598032999,0.035947700986720801,09dada88d586923859bc044dd77c8da05eb886f301333f924f2844e323cd8b6e,4.1271343850450917,1.6094379124341005,-0.24209489598032999,-0.035947700986720801,-0.046193578955660501,0.038495691687353999,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True,0.089075122032432258,-0.089075122032432258,constant_or_nonfinite_baseline,-120559.390625,-5441.63720703125,-44352.90625,-0.62079620361328125,-0.025559147449335573,0.025559147449335573
5,DOT1L+RING1,DOT1L,RING1,DOT1L+ctrl,RING1+ctrl,93,83,4,3,0,True,canonical_condition_string_only,0.040894712516141102,0.081789425032282301,0.23388908288267979,0.033537929803859098,f74e149846b6c0dc6ecd7d4a90fdfc478681e71b1e2cbac843abdba8a0d64748,4.4308167988433134,1.3862943611198906,-0.23388908288267979,-0.033537929803859098,-0.040894712516141102,0.96603516309434223,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True,0.089075122032432258,-0.089075122032432258,constant_or_nonfinite_baseline,-108287.28125,-4456.748046875,-40178.5390625,-0.62079620361328125,-0.025559147449335573,0.025559147449335573
6,DOT1L+SMARCD1,DOT1L,SMARCD1,DOT1L+ctrl,SMARCD1+ctrl,93,76,4,4,0,True,canonical_condition_string_only,0.0597248556024393,0.1194497112048787,0.23319977292770791,0.0343166160875309,44d429d3fde05bc5555aa4fa467ca29d42084d56abb313d98ed0c5049688d506,4.3438054218536841,1.6094379124341005,-0.23319977292770791,-0.0343166160875309,-0.0597248556024393,0.26886235642985079,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True,0.089075122032432258,-0.089075122032432258,constant_or_nonfinite_baseline,-75065.640625,-4580.607421875,-87699.546875,-0.62079620361328125,-0.025559147449335573,0.025559147449335573
7,EP300+IKZF1,EP300,IKZF1,EP300+ctrl,IKZF1+ctrl,106,45,8,2,0,True,canonical_condition_string_only,0.088199155222520698,0.1763983104450414,0.25515169482021022,0.037720832914990697,db7288565329504ccfb3f6b6b089d93ffc2a69dc18d6b4d45092c3ca7df154da,3.8286413964890951,1.0986122886681096,-0.25515169482021022,-0.037720832914990697,-0.088199155222520698,0.85721637828388464,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True,0.089075122032432258,-0.089075122032432258,constant_or_nonfinite_baseline,-227391.78125,-5800.08203125,-44466.55859375,-0.62079620361328125,-0.025559147449335573,0.025559147449335573
8,EP300+MYB,EP300,MYB,EP300+ctrl,MYB+ctrl,106,15,8,1,0,True,canonical_condition_string_only,0.1381809284123213,0.2763618568246427,0.3969019348496145,0.059260415162402498,3e44daaf98f0c44b8574babdbee0f382ac45e1636d66b2db0ed3c3d021b88f18,2.7725887222397807,0.69314718055994518,-0.3969019348496145,-0.059260415162402498,-0.1381809284123213,0.24323813235327221,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True,0.089075122032432258,-0.089075122032432258,constant_or_nonfinite_baseline,-154818.5625,-4268.51318359375,-66253.1640625,-0.62079620361328125,-0.025559147449335573,0.025559147449335573
9,FLI1+GSE1,FLI1,GSE1,FLI1+ctrl,GSE1+ctrl,217,92,5,6,0,True,canonical_condition_string_only,0.091043667883852306,0.18208733576770469,0.19722813092605351,0.0289544666692279,e0e59bdafba365d5b6f24aa663b4fa79360a7d2dc8da9fb310de08026549b79b,4.5325994931532563,1.791759469228055,-0.19722813092605351,-0.0289544666692279,-0.091043667883852306,0.87850355240119671,0,0,matching_rms:higher_effect_size;se:higher_uncertainty,higher_expected_accuracy,True,0.089075122032432258,-0.089075122032432258,constant_or_nonfinite_baseline,-130476.546875,-6328.09716796875,-48956.8828125,-0.62079620361328125,-0.025559147449335573,0.025559147449335573
