dataset_family,dataset_name,score_name,score_type,coverage,mean_rmse,full_mean_rmse,risk_cov_improve_pct
gears_crispr_group,adamson,gears_cell_support_confidence,confidence,1.0,0.04208579650592232,0.04208579650592232,0.0
gears_crispr_group,adamson,gears_cell_support_confidence,confidence,0.9,0.04114488776969278,0.04208579650592232,2.2356918826453365
gears_crispr_group,adamson,gears_cell_support_confidence,confidence,0.8,0.041208866654949994,0.04208579650592232,2.0836717462361065
gears_crispr_group,adamson,gears_cell_support_confidence,confidence,0.7,0.0385420120010773,0.04208579650592232,8.42038121898522
gears_crispr_group,adamson,gears_cell_support_confidence,confidence,0.6,0.03257543350068419,0.04208579650592232,22.597559734671602
gears_crispr_group,adamson,gears_cell_support_confidence,confidence,0.5,0.03285349363630464,0.04208579650592232,21.936861449963317
gears_crispr_group,adamson,gears_low_support_risk,risk,1.0,0.04208579650592232,0.04208579650592232,0.0
gears_crispr_group,adamson,gears_low_support_risk,risk,0.9,0.04114488776969278,0.04208579650592232,2.2356918826453365
gears_crispr_group,adamson,gears_low_support_risk,risk,0.8,0.041208866654949994,0.04208579650592232,2.0836717462361065
gears_crispr_group,adamson,gears_low_support_risk,risk,0.7,0.0385420120010773,0.04208579650592232,8.42038121898522
gears_crispr_group,adamson,gears_low_support_risk,risk,0.6,0.03257543350068419,0.04208579650592232,22.597559734671602
gears_crispr_group,adamson,gears_low_support_risk,risk,0.5,0.03285349363630464,0.04208579650592232,21.936861449963317
gears_crispr_group,adamson,gears_predicted_effect_abs_mean_risk,risk,1.0,0.04208579650592232,0.04208579650592232,0.0
gears_crispr_group,adamson,gears_predicted_effect_abs_mean_risk,risk,0.9,0.04193218983709808,0.04208579650592232,0.3649845828690068
gears_crispr_group,adamson,gears_predicted_effect_abs_mean_risk,risk,0.8,0.04174365574384433,0.04208579650592232,0.8129601682359573
gears_crispr_group,adamson,gears_predicted_effect_abs_mean_risk,risk,0.7,0.04050621924300986,0.04208579650592232,3.7532312420181544
