fold_id,task_id,setting,context,perturbation,context_novelty_scaled,perturbation_novelty,risk_disagreement_z,predicted_magnitude_z,directional_risk_frozen,target_direction_truth_used_for_score_or_transform,direction_model_refit_on_replogle,frozen_model_sha256
Replogle_cellline_holdout_1_K562,K562::ADSL,context_unseen,K562,ADSL,1.0,0.5,0.1029982013883196,-1.1914208931320145,0.33021828987699575,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::DNM1,context_unseen,K562,DNM1,1.0,0.5,-0.3020315906847798,-1.1527348791791716,0.3247922532437767,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::SNW1,context_and_perturbation_unseen,K562,SNW1,1.0,1.0,5.0,4.559507365841048,0.6075972829297757,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::SART3,context_unseen,K562,SART3,1.0,0.5,5.0,4.857283736905825,0.5487198776830879,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::PPP1CA,context_and_perturbation_unseen,K562,PPP1CA,1.0,1.0,-0.5464231844378875,-0.7912605102325594,0.3953162414825258,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::RPL35A,context_unseen,K562,RPL35A,1.0,0.5,5.0,5.0,0.552068496826971,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::VEZT,context_unseen,K562,VEZT,1.0,0.5,-0.7353636510186734,-1.1937320018944362,0.3170539903950498,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::DRG1,context_and_perturbation_unseen,K562,DRG1,1.0,1.0,-0.871654284131362,-0.3690436994353416,0.4001370393109783,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::SF3A2,context_unseen,K562,SF3A2,1.0,0.5,1.386352602020061,1.2584909314956103,0.4077704734442758,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::ERAL1,context_unseen,K562,ERAL1,1.0,0.5,-0.4873603645732199,-1.2257116874563068,0.3201818433289609,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::PSTK,context_unseen,K562,PSTK,1.0,0.5,-0.4387989395311875,-0.534069240196682,0.3371695672665258,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::DDX5,context_unseen,K562,DDX5,1.0,0.5,-0.2552101413613137,-0.584506194663013,0.3388570524642622,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::UBE2M,context_unseen,K562,UBE2M,1.0,0.5,1.1152905649051164,-0.4263948023645436,0.3639984091786955,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::SERBP1,context_unseen,K562,SERBP1,1.0,1.0,-0.5979327845416433,-0.9504229438000515,0.3907762450594893,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::USP9X,context_unseen,K562,USP9X,1.0,0.5,0.2529212054843764,-0.4734858898578782,0.34940799307401604,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::DNAJA1,context_unseen,K562,DNAJA1,1.0,0.5,-0.5228171577534867,-1.2350381408744742,0.31940854873104374,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::RNASEH2C,context_and_perturbation_unseen,K562,RNASEH2C,1.0,1.0,0.0982889092444608,-1.1780786756547648,0.39632197501474103,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::MTG2,context_and_perturbation_unseen,K562,MTG2,1.0,1.0,1.4953495063991669,1.891829535983939,0.4901995332200021,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::PXN,context_unseen,K562,PXN,1.0,0.5,0.0717671532842555,-1.024203290857796,0.3336534129544935,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::WDR4,context_unseen,K562,WDR4,1.0,0.5,-0.7858915226232362,-1.0249841539718254,0.32022325991310424,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::SS18L2,context_unseen,K562,SS18L2,1.0,1.0,-0.0077254176771715,0.1591239573034551,0.4260395695113956,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::DCAF6,context_unseen,K562,DCAF6,1.0,1.0,0.130872292404488,-0.3800623847796496,0.41555573848945315,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::TM7SF2,context_unseen,K562,TM7SF2,1.0,0.5,-0.8031424805204518,-1.2990189815123176,0.3135236854655422,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::ARL4D,context_and_perturbation_unseen,K562,ARL4D,1.0,1.0,-0.4225005143255888,-0.4684304223630633,0.4048288251848607,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::TWF1,context_unseen,K562,TWF1,1.0,0.5,-0.5165908186802561,-1.3956135820695312,0.31573825703295555,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::PRELID3B,context_unseen,K562,PRELID3B,1.0,0.5,4.605973494166064,4.205871178770432,0.5272737984129826,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::RAC3,context_unseen,K562,RAC3,1.0,1.0,2.2086857279769894,2.340282816705457,0.5118767608327952,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::CCNK,context_unseen,K562,CCNK,1.0,1.0,-0.2544992200979532,-0.6450598736508666,0.40331164306370393,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::WBP11,context_unseen,K562,WBP11,1.0,0.5,-0.1761650241436705,-0.2496596921196983,0.34794980011354537,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::CCNB1,context_unseen,K562,CCNB1,1.0,0.5,-0.6284608785569353,-1.372715862818609,0.3145261237119906,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::ELOVL1,context_unseen,K562,ELOVL1,1.0,0.5,-0.3630588532484592,-1.0538355624676676,0.32615844705833985,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::SETDB1,context_unseen,K562,SETDB1,1.0,0.5,-0.6618143497969845,-0.8355808242542405,0.3266076045883157,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::COX6C,context_unseen,K562,COX6C,1.0,0.5,-0.4035564314858073,-1.478127679217927,0.3155697905297045,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::VPS54,context_unseen,K562,VPS54,1.0,1.0,0.4735489673877495,0.4863451638830774,0.44124335227248873,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::NUP107,context_unseen,K562,NUP107,1.0,0.5,5.0,5.0,0.552068496826971,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::GRPEL1,context_unseen,K562,GRPEL1,1.0,0.5,5.0,5.0,0.552068496826971,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::ATR,context_unseen,K562,ATR,1.0,1.0,-0.2651138594284702,-0.9214012265743656,0.39666172645143566,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::SRSF7,context_and_perturbation_unseen,K562,SRSF7,1.0,1.0,-0.0577175104919313,-0.8278050004613376,0.40210102620352695,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::MANF,context_unseen,K562,MANF,1.0,1.0,-0.7162912284280898,-0.6615754782968087,0.3957027527804012,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::CHMP6,context_and_perturbation_unseen,K562,CHMP6,1.0,1.0,0.2768590761811372,-1.3432154236745442,0.39523972475742775,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::ASF1B,context_unseen,K562,ASF1B,1.0,0.5,0.0036268844661626,-1.205851421989846,0.3283257581416423,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::PNISR,context_unseen,K562,PNISR,1.0,0.5,-0.7774361657294553,-1.0597761046505807,0.3195391424813546,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::MIOS,context_and_perturbation_unseen,K562,MIOS,1.0,1.0,-0.8977469271220502,-0.8877558444408626,0.3875582214552797,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::SRSF11,context_unseen,K562,SRSF11,1.0,0.5,-0.8031718144021578,-1.1835295199317528,0.3162330105800242,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::UFL1,context_unseen,K562,UFL1,1.0,0.5,0.1459692173704832,-1.049954405025091,0.33420955392872037,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
Replogle_cellline_holdout_1_K562,K562::MRPS21,context_unseen,K562,MRPS21,1.0,0.5,0.5787778804115221,-1.0290939979241642,0.34146715475683453,False,False,77caf3b7b46071ced9577a8bd5289ce4c7bf5899c329ab37e835c41bda07d4b3
