bundle_id,bundle_group,label,records_csv,predicted_npz,true_npz,exists,n_records,n_tasks,n_predictors,predictors,n_datasets,dataset_names,n_folds,split_values,strict_status,non_strict_status,strict_issue_count,non_strict_issue_count,primary_strict_issue,strict_issue_types,array_shape_checked_records,array_shape_check_mode,array_shape_unique_gene_dims,predicted_key_coverage,true_key_coverage,source_note
E17_SCIPLEX3_FULL743_GENE5000,sciplex3_full743,sciplex3 full-743 gene5000 formal bundle,runtime/e17_sciplex3_full743_gene5000_20260707/input/PREDICTION_RECORDS.csv,runtime/e17_sciplex3_full743_gene5000_20260707/input/predicted_effects.npz,runtime/e17_sciplex3_full743_gene5000_20260707/input/true_effects.npz,True,22290,2229,2,"ContextSimBaseline,V0StrongBaseline",1,sciplex3_official_3cell,5,"test,train,val",fail,warn,11145,1,inconsistent_true_effect_key_for_task,inconsistent_true_effect_key_for_task:11145,500,sampled_head_tail,5000,1.0,1.0,Current strongest formal sciplex3 result package; task-level records use two baseline predictors.
GEARS_FORMAL_ADAMSON_SEED_1,gears_formal_legacy,GEARS formal legacy bundle: adamson/seed_1,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/tables/PREDICTION_RECORDS.csv,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/arrays/gears_predicted_effects.npz,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/arrays/gears_true_effects.npz,True,7,7,1,GEARS,1,adamson,1,test,fail,pass,1,0,missing_contract_columns,missing_contract_columns:1,7,full,5043,1.0,1.0,Existing GEARS vector output from earlier formal run; generated before strict provenance fields were added.
GEARS_FORMAL_ADAMSON_SEED_2,gears_formal_legacy,GEARS formal legacy bundle: adamson/seed_2,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/tables/PREDICTION_RECORDS.csv,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/arrays/gears_predicted_effects.npz,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/arrays/gears_true_effects.npz,True,7,7,1,GEARS,1,adamson,1,test,fail,pass,1,0,missing_contract_columns,missing_contract_columns:1,7,full,5043,1.0,1.0,Existing GEARS vector output from earlier formal run; generated before strict provenance fields were added.
GEARS_FORMAL_ADAMSON_SEED_3,gears_formal_legacy,GEARS formal legacy bundle: adamson/seed_3,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_3/tables/PREDICTION_RECORDS.csv,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_3/arrays/gears_predicted_effects.npz,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_3/arrays/gears_true_effects.npz,True,7,7,1,GEARS,1,adamson,1,test,fail,pass,1,0,missing_contract_columns,missing_contract_columns:1,7,full,5043,1.0,1.0,Existing GEARS vector output from earlier formal run; generated before strict provenance fields were added.
GEARS_FORMAL_DIXIT_SEED_1,gears_formal_legacy,GEARS formal legacy bundle: dixit/seed_1,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/dixit/seed_1/tables/PREDICTION_RECORDS.csv,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/dixit/seed_1/arrays/gears_predicted_effects.npz,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/dixit/seed_1/arrays/gears_true_effects.npz,True,1,1,1,GEARS,1,dixit,1,test,fail,pass,1,0,missing_contract_columns,missing_contract_columns:1,1,full,6000,1.0,1.0,Existing GEARS vector output from earlier formal run; generated before strict provenance fields were added.
GEARS_FORMAL_DIXIT_SEED_2,gears_formal_legacy,GEARS formal legacy bundle: dixit/seed_2,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/dixit/seed_2/tables/PREDICTION_RECORDS.csv,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/dixit/seed_2/arrays/gears_predicted_effects.npz,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/dixit/seed_2/arrays/gears_true_effects.npz,True,1,1,1,GEARS,1,dixit,1,test,fail,pass,1,0,missing_contract_columns,missing_contract_columns:1,1,full,6000,1.0,1.0,Existing GEARS vector output from earlier formal run; generated before strict provenance fields were added.
GEARS_FORMAL_DIXIT_SEED_3,gears_formal_legacy,GEARS formal legacy bundle: dixit/seed_3,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/dixit/seed_3/tables/PREDICTION_RECORDS.csv,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/dixit/seed_3/arrays/gears_predicted_effects.npz,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/dixit/seed_3/arrays/gears_true_effects.npz,True,1,1,1,GEARS,1,dixit,1,test,fail,pass,1,0,missing_contract_columns,missing_contract_columns:1,1,full,6000,1.0,1.0,Existing GEARS vector output from earlier formal run; generated before strict provenance fields were added.
GEARS_FORMAL_NORMAN_SEED_1,gears_formal_legacy,GEARS formal legacy bundle: norman/seed_1,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_1/tables/PREDICTION_RECORDS.csv,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_1/arrays/gears_predicted_effects.npz,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_1/arrays/gears_true_effects.npz,True,10,10,1,GEARS,1,norman,1,test,fail,pass,1,0,missing_contract_columns,missing_contract_columns:1,10,full,5025,1.0,1.0,Existing GEARS vector output from earlier formal run; generated before strict provenance fields were added.
GEARS_FORMAL_NORMAN_SEED_2,gears_formal_legacy,GEARS formal legacy bundle: norman/seed_2,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_2/tables/PREDICTION_RECORDS.csv,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_2/arrays/gears_predicted_effects.npz,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_2/arrays/gears_true_effects.npz,True,10,10,1,GEARS,1,norman,1,test,fail,pass,1,0,missing_contract_columns,missing_contract_columns:1,10,full,5025,1.0,1.0,Existing GEARS vector output from earlier formal run; generated before strict provenance fields were added.
GEARS_FORMAL_NORMAN_SEED_3,gears_formal_legacy,GEARS formal legacy bundle: norman/seed_3,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_3/tables/PREDICTION_RECORDS.csv,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_3/arrays/gears_predicted_effects.npz,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_3/arrays/gears_true_effects.npz,True,10,10,1,GEARS,1,norman,1,test,fail,pass,1,0,missing_contract_columns,missing_contract_columns:1,10,full,5025,1.0,1.0,Existing GEARS vector output from earlier formal run; generated before strict provenance fields were added.
