array_role,path,exists,n_keys,size_mb,sample_shape,sample_dtype,bundle_id,bundle_group
predicted_effects,runtime/e17_sciplex3_full743_gene5000_20260707/input/predicted_effects.npz,True,22290,329.15968132019043,5000,float32,E17_SCIPLEX3_FULL743_GENE5000,sciplex3_full743
true_effects,runtime/e17_sciplex3_full743_gene5000_20260707/input/true_effects.npz,True,22290,258.51341438293457,5000,float32,E17_SCIPLEX3_FULL743_GENE5000,sciplex3_full743
predicted_effects,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/arrays/gears_predicted_effects.npz,True,7,0.1267871856689453,5043,float32,GEARS_FORMAL_ADAMSON_SEED_1,gears_formal_legacy
true_effects,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/arrays/gears_true_effects.npz,True,7,0.12630271911621094,5043,float32,GEARS_FORMAL_ADAMSON_SEED_1,gears_formal_legacy
predicted_effects,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/arrays/gears_predicted_effects.npz,True,7,0.12703514099121094,5043,float32,GEARS_FORMAL_ADAMSON_SEED_2,gears_formal_legacy
true_effects,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/arrays/gears_true_effects.npz,True,7,0.1263408660888672,5043,float32,GEARS_FORMAL_ADAMSON_SEED_2,gears_formal_legacy
predicted_effects,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_3/arrays/gears_predicted_effects.npz,True,7,0.12675189971923828,5043,float32,GEARS_FORMAL_ADAMSON_SEED_3,gears_formal_legacy
true_effects,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_3/arrays/gears_true_effects.npz,True,7,0.1262531280517578,5043,float32,GEARS_FORMAL_ADAMSON_SEED_3,gears_formal_legacy
predicted_effects,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/dixit/seed_1/arrays/gears_predicted_effects.npz,True,1,0.0208892822265625,6000,float32,GEARS_FORMAL_DIXIT_SEED_1,gears_formal_legacy
true_effects,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/dixit/seed_1/arrays/gears_true_effects.npz,True,1,0.02031707763671875,6000,float32,GEARS_FORMAL_DIXIT_SEED_1,gears_formal_legacy
predicted_effects,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/dixit/seed_2/arrays/gears_predicted_effects.npz,True,1,0.020612716674804688,6000,float32,GEARS_FORMAL_DIXIT_SEED_2,gears_formal_legacy
true_effects,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/dixit/seed_2/arrays/gears_true_effects.npz,True,1,0.02030467987060547,6000,float32,GEARS_FORMAL_DIXIT_SEED_2,gears_formal_legacy
predicted_effects,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/dixit/seed_3/arrays/gears_predicted_effects.npz,True,1,0.02052021026611328,6000,float32,GEARS_FORMAL_DIXIT_SEED_3,gears_formal_legacy
true_effects,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/dixit/seed_3/arrays/gears_true_effects.npz,True,1,0.02030467987060547,6000,float32,GEARS_FORMAL_DIXIT_SEED_3,gears_formal_legacy
predicted_effects,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_1/arrays/gears_predicted_effects.npz,True,10,0.1832733154296875,5025,float32,GEARS_FORMAL_NORMAN_SEED_1,gears_formal_legacy
true_effects,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_1/arrays/gears_true_effects.npz,True,10,0.16904640197753906,5025,float32,GEARS_FORMAL_NORMAN_SEED_1,gears_formal_legacy
predicted_effects,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_2/arrays/gears_predicted_effects.npz,True,10,0.18161392211914062,5025,float32,GEARS_FORMAL_NORMAN_SEED_2,gears_formal_legacy
true_effects,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_2/arrays/gears_true_effects.npz,True,10,0.16966915130615234,5025,float32,GEARS_FORMAL_NORMAN_SEED_2,gears_formal_legacy
predicted_effects,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_3/arrays/gears_predicted_effects.npz,True,10,0.1815195083618164,5025,float32,GEARS_FORMAL_NORMAN_SEED_3,gears_formal_legacy
true_effects,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/norman/seed_3/arrays/gears_true_effects.npz,True,10,0.16927337646484375,5025,float32,GEARS_FORMAL_NORMAN_SEED_3,gears_formal_legacy
