panel_id,donor_id,donor_role,culture_condition,source_runs,mapping_sha256,selected_before_expression_truth,prior_e168_role,e176_role_frozen_before_targeting_x
H04,CE0006864,validation,Rest,CD4i_R2,1536699b255d83d1590edb44ff39e141ad427b5e00012d692d03566f268b8532,True,train,True
H04,CE0006864,validation,Stim8hr,CD4i_R2,1536699b255d83d1590edb44ff39e141ad427b5e00012d692d03566f268b8532,True,train,True
H04,CE0006864,validation,Stim48hr,CD4i_R2,1536699b255d83d1590edb44ff39e141ad427b5e00012d692d03566f268b8532,True,train,True
H04,CE0008162,train,Rest,CD4i_R1,1536699b255d83d1590edb44ff39e141ad427b5e00012d692d03566f268b8532,True,train,True
H04,CE0008162,train,Stim8hr,CD4i_R1,1536699b255d83d1590edb44ff39e141ad427b5e00012d692d03566f268b8532,True,train,True
H04,CE0008162,train,Stim48hr,CD4i_R2,1536699b255d83d1590edb44ff39e141ad427b5e00012d692d03566f268b8532,True,train,True
H04,CE0008678,train,Rest,CD4i_R2,1536699b255d83d1590edb44ff39e141ad427b5e00012d692d03566f268b8532,True,validation,True
H04,CE0008678,train,Stim8hr,CD4i_R2,1536699b255d83d1590edb44ff39e141ad427b5e00012d692d03566f268b8532,True,validation,True
H04,CE0008678,train,Stim48hr,CD4i_R2,1536699b255d83d1590edb44ff39e141ad427b5e00012d692d03566f268b8532,True,validation,True
H04,CE0010866,test,Rest,CD4i_R1,1536699b255d83d1590edb44ff39e141ad427b5e00012d692d03566f268b8532,True,test,True
H04,CE0010866,test,Stim8hr,CD4i_R1,1536699b255d83d1590edb44ff39e141ad427b5e00012d692d03566f268b8532,True,test,True
H04,CE0010866,test,Stim48hr,CD4i_R2,1536699b255d83d1590edb44ff39e141ad427b5e00012d692d03566f268b8532,True,test,True
