panel_index,gene,selection_role,train_expression_sum,in_scgpt_vocab,uses_test_expression_effect_or_error
0,AMIGO3,fixed_test_perturbation_gene,10.22866439819336,True,False
1,ASCC3,fixed_test_perturbation_gene,7964.447265625,True,False
2,CAD,fixed_test_perturbation_gene,7027.54931640625,True,False
3,COPB1,fixed_test_perturbation_gene,9063.404296875,True,False
4,DDOST,fixed_test_perturbation_gene,35973.4765625,True,False
5,DDRGK1,fixed_test_perturbation_gene,24654.548828125,True,False
6,GMPPB,fixed_test_perturbation_gene,14.505608558654785,True,False
7,HSD17B12,fixed_test_perturbation_gene,13770.44140625,True,False
8,HSPA5,fixed_test_perturbation_gene,60605.953125,True,False
9,MRGBP,fixed_test_perturbation_gene,10811.25,True,False
10,MTHFD1,fixed_test_perturbation_gene,9427.3798828125,True,False
11,P4HB,fixed_test_perturbation_gene,32235.10546875,True,False
12,PPWD1,fixed_test_perturbation_gene,5398.89599609375,True,False
13,SCYL1,fixed_test_perturbation_gene,8898.7314453125,True,False
14,SEC61A1,fixed_test_perturbation_gene,11879.2451171875,True,False
15,SEC61B,fixed_test_perturbation_gene,62087.01953125,True,False
16,SOCS1,fixed_test_perturbation_gene,14392.236328125,True,False
17,SPCS2,fixed_test_perturbation_gene,43403.73046875,True,False
18,SRP72,fixed_test_perturbation_gene,38203.55859375,True,False
19,SRPRB,fixed_test_perturbation_gene,16718.142578125,True,False
20,TMED10,fixed_test_perturbation_gene,23279.36328125,True,False
21,TMED2,fixed_test_perturbation_gene,38988.68359375,True,False
22,TTI2,fixed_test_perturbation_gene,3674.5146484375,True,False
23,UFM1,fixed_test_perturbation_gene,21321.263671875,True,False
24,ARHGAP22,training_or_validation_perturbation_gene,7151.58349609375,True,False
25,ATF4,training_or_validation_perturbation_gene,58274.90625,True,False
26,CCND3,training_or_validation_perturbation_gene,35815.84765625,True,False
27,CHERP,training_or_validation_perturbation_gene,8540.4814453125,True,False
28,COPZ1,training_or_validation_perturbation_gene,34151.921875,True,False
29,DAD1,training_or_validation_perturbation_gene,65498.140625,True,False
30,DERL2,training_or_validation_perturbation_gene,10542.779296875,True,False
31,DHDDS,training_or_validation_perturbation_gene,3779.203125,True,False
