split,condition
train,ctrl
train,DAD1+ctrl
train,DERL2+ctrl
train,DHDDS+ctrl
train,DNAJC19+ctrl
train,EIF2AK3+ctrl
train,EIF2B2+ctrl
train,EIF2B3+ctrl
train,EIF2B4+ctrl
train,EIF2S1+ctrl
train,ERN1+ctrl
train,FARSB+ctrl
train,FECH+ctrl
train,GBF1+ctrl
train,GNPNAT1+ctrl
train,HSPA9+ctrl
train,HYOU1+ctrl
train,IARS2+ctrl
train,IDH3A+ctrl
train,KCTD16+ctrl
train,MANF+ctrl
train,MRPL39+ctrl
train,NEDD8+ctrl
train,OST4+ctrl
train,PDIA6+ctrl
train,PSMA1+ctrl
train,PSMD12+ctrl
train,PSMD4+ctrl
train,PTDSS1+ctrl
train,SAMM50+ctrl
train,SEC61G+ctrl
train,SEC63+ctrl
train,SEL1L+ctrl
train,SLC35B1+ctrl
train,SLC39A7+ctrl
train,SPCS3+ctrl
train,SRP68+ctrl
train,STT3A+ctrl
train,SYVN1+ctrl
train,TELO2+ctrl
train,TIMM23+ctrl
train,TIMM44+ctrl
train,TMEM167A+ctrl
train,TTI1+ctrl
train,UFL1+ctrl
train,XBP1+ctrl
train,XRN1+ctrl
train,YIPF5+ctrl
val,ARHGAP22+ctrl
val,ATF4+ctrl
val,CCND3+ctrl
val,CHERP+ctrl
val,COPZ1+ctrl
test,AMIGO3+ctrl
test,ASCC3+ctrl
test,CAD+ctrl
test,COPB1+ctrl
test,DDOST+ctrl
test,DDRGK1+ctrl
test,GMPPB+ctrl
test,HSD17B12+ctrl
test,HSPA5+ctrl
test,MRGBP+ctrl
test,MTHFD1+ctrl
test,P4HB+ctrl
test,PPWD1+ctrl
test,SCYL1+ctrl
test,SEC61A1+ctrl
test,SEC61B+ctrl
test,SOCS1+ctrl
test,SPCS2+ctrl
test,SRP72+ctrl
test,SRPRB+ctrl
test,TMED10+ctrl
test,TMED2+ctrl
test,TTI2+ctrl
test,UFM1+ctrl
