donor_id,donor_role,culture_condition,source_runs,mapping_sha256,selected_before_expression_truth
CE0006864,train,Rest,CD4i_R2,1536699b255d83d1590edb44ff39e141ad427b5e00012d692d03566f268b8532,True
CE0006864,train,Stim8hr,CD4i_R2,1536699b255d83d1590edb44ff39e141ad427b5e00012d692d03566f268b8532,True
CE0006864,train,Stim48hr,CD4i_R2,1536699b255d83d1590edb44ff39e141ad427b5e00012d692d03566f268b8532,True
CE0008162,train,Rest,CD4i_R1,1536699b255d83d1590edb44ff39e141ad427b5e00012d692d03566f268b8532,True
CE0008162,train,Stim8hr,CD4i_R1,1536699b255d83d1590edb44ff39e141ad427b5e00012d692d03566f268b8532,True
CE0008162,train,Stim48hr,CD4i_R2,1536699b255d83d1590edb44ff39e141ad427b5e00012d692d03566f268b8532,True
CE0008678,validation,Rest,CD4i_R2,1536699b255d83d1590edb44ff39e141ad427b5e00012d692d03566f268b8532,True
CE0008678,validation,Stim8hr,CD4i_R2,1536699b255d83d1590edb44ff39e141ad427b5e00012d692d03566f268b8532,True
CE0008678,validation,Stim48hr,CD4i_R2,1536699b255d83d1590edb44ff39e141ad427b5e00012d692d03566f268b8532,True
CE0010866,test,Rest,CD4i_R1,1536699b255d83d1590edb44ff39e141ad427b5e00012d692d03566f268b8532,True
CE0010866,test,Stim8hr,CD4i_R1,1536699b255d83d1590edb44ff39e141ad427b5e00012d692d03566f268b8532,True
CE0010866,test,Stim48hr,CD4i_R2,1536699b255d83d1590edb44ff39e141ad427b5e00012d692d03566f268b8532,True
