raw_condition,canonical_condition,perturbation_genes,n_perturbation_genes,guide_class,n_cells_obs_metadata,all_genes_in_scgpt_vocabulary,all_genes_in_expression_var_metadata,model_compatible,eligible_pair_min75,selection_sha256,exclusion_reason,split,selection_rank
ATXN7L3,ATXN7L3+ctrl,ATXN7L3,1,Single,82,True,True,True,False,,,train,
CD14,CD14+ctrl,CD14,1,Single,40,True,True,True,False,,,train,
DOT1L_EP300,DOT1L+EP300,DOT1L;EP300,2,Dual,245,True,True,True,True,649b63e0ed04d711b3902f5593f118900efde06cf4e3fe2a4db4255c8a32364b,,val,55.0
DOT1L_FLI1,DOT1L+FLI1,DOT1L;FLI1,2,Dual,196,True,True,True,True,75ee6468f71bb08404f585a20302a740ab5c6de098c3003d60a90533286fad49,,val,61.0
DOT1L_GATA2,DOT1L+GATA2,DOT1L;GATA2,2,Dual,170,True,True,True,True,47b623f82aa7be773ace9cc89e979458cd9ef1f127b92f52aa57eb69cadd4e71,,test,41.0
DOT1L_GFI1,DOT1L+GFI1,DOT1L;GFI1,2,Dual,159,True,True,True,True,c0f1d0040a42ef9a40f05b2fb6e3625f2a17a13e2e8ff300abeb1db4ea1b94af,,train,90.0
DOT1L_GSE1,DOT1L+GSE1,DOT1L;GSE1,2,Dual,130,True,True,True,True,aa7451daea9e8973ac99ea9d1a848c3346f1afa194e7a6bcb8d14becb772e756,,train,83.0
DOT1L_HDAC3,DOT1L+HDAC3,DOT1L;HDAC3,2,Dual,266,True,True,True,True,47306d8eeab9b1399c3c4b649d3a8956e54ddc2c7828bac90546c708405394a5,,test,40.0
DOT1L_IKZF1,DOT1L+IKZF1,DOT1L;IKZF1,2,Dual,137,True,True,True,True,b68ea9f102e874094b749503a56de0aba5b20b007d800d1b108b0e029ae57220,,train,87.0
DOT1L_INTS1,DOT1L+INTS1,DOT1L;INTS1,2,Dual,773,True,True,True,True,a7207cb59d767433e56c8feb5aa61dffd209fea5baf7d169cdd142d666c535a6,,train,82.0
DOT1L_KDM1A,DOT1L+KDM1A,DOT1L;KDM1A,2,Dual,163,True,True,True,True,057a20023f88b29e82d39bfc2376e4e7bd27a67536ccc243a32669e96fab7c47,,test,2.0
DOT1L_MED24,DOT1L+MED24,DOT1L;MED24,2,Dual,288,True,True,True,True,4d94267ea5914c64ef498e4c325e1bec7f89619960da14ab362ff19abd3da0db,,test,44.0
DOT1L_MYB,DOT1L+MYB,DOT1L;MYB,2,Dual,60,True,True,True,False,,pair_below_75_cells,excluded,
DOT1L_RCOR1,DOT1L+RCOR1,DOT1L;RCOR1,2,Dual,188,True,True,True,True,09ec1315651323e8e6a35f9611857aef50ba0358db75afc75cbb55997c30e1cf,,test,3.0
DOT1L_RING1,DOT1L+RING1,DOT1L;RING1,2,Dual,178,True,True,True,True,0ffabefd079f451b04db5df5d884d556e4af282428a70834e2c1dfd6a92f538e,,test,7.0
