panel,split,condition,condition_type
Wessels_E160,train,ctrl,control
Wessels_E160,train,ATXN7L3+ctrl,single
Wessels_E160,train,CD14+ctrl,single
Wessels_E160,train,DOT1L+ctrl,single
Wessels_E160,train,EP300+ctrl,single
Wessels_E160,train,FLI1+ctrl,single
Wessels_E160,train,GATA2+ctrl,single
Wessels_E160,train,GFI1+ctrl,single
Wessels_E160,train,GSE1+ctrl,single
Wessels_E160,train,HDAC3+ctrl,single
Wessels_E160,train,IKZF1+ctrl,single
Wessels_E160,train,INTS1+ctrl,single
Wessels_E160,train,KDM1A+ctrl,single
Wessels_E160,train,MED13L+ctrl,single
Wessels_E160,train,MED14+ctrl,single
Wessels_E160,train,MED16+ctrl,single
Wessels_E160,train,MED19+ctrl,single
Wessels_E160,train,MED22+ctrl,single
Wessels_E160,train,MED24+ctrl,single
Wessels_E160,train,MYB+ctrl,single
Wessels_E160,train,RCOR1+ctrl,single
Wessels_E160,train,RING1+ctrl,single
Wessels_E160,train,SMARCA5+ctrl,single
Wessels_E160,train,SMARCD1+ctrl,single
Wessels_E160,train,SSRP1+ctrl,single
Wessels_E160,train,SUPT16H+ctrl,single
Wessels_E160,train,SUPT5H+ctrl,single
Wessels_E160,train,SUPT6H+ctrl,single
Wessels_E160,train,DOT1L+GFI1,pair
Wessels_E160,train,DOT1L+GSE1,pair
Wessels_E160,train,DOT1L+IKZF1,pair
Wessels_E160,train,DOT1L+INTS1,pair
Wessels_E160,train,EP300+FLI1,pair
Wessels_E160,train,EP300+GATA2,pair
Wessels_E160,train,EP300+KDM1A,pair
Wessels_E160,train,EP300+MED24,pair
Wessels_E160,train,EP300+RCOR1,pair
Wessels_E160,train,EP300+RING1,pair
Wessels_E160,train,EP300+SMARCD1,pair
Wessels_E160,train,EP300+SSRP1,pair
Wessels_E160,train,FLI1+GFI1,pair
Wessels_E160,train,FLI1+KDM1A,pair
Wessels_E160,train,FLI1+RCOR1,pair
Wessels_E160,train,FLI1+SSRP1,pair
Wessels_E160,train,GATA2+GSE1,pair
Wessels_E160,train,GATA2+HDAC3,pair
Wessels_E160,train,GATA2+INTS1,pair
Wessels_E160,train,GATA2+MED24,pair
Wessels_E160,train,GATA2+RING1,pair
Wessels_E160,train,GATA2+SSRP1,pair
Wessels_E160,train,GFI1+HDAC3,pair
Wessels_E160,train,GFI1+MED24,pair
Wessels_E160,train,GSE1+HDAC3,pair
Wessels_E160,train,GSE1+IKZF1,pair
Wessels_E160,train,GSE1+RCOR1,pair
Wessels_E160,train,GSE1+SMARCD1,pair
Wessels_E160,train,HDAC3+INTS1,pair
Wessels_E160,train,HDAC3+KDM1A,pair
Wessels_E160,train,INTS1+MYB,pair
Wessels_E160,train,INTS1+RCOR1,pair
Wessels_E160,train,MED14+MED22,pair
Wessels_E160,train,MED14+MED24,pair
Wessels_E160,train,MED19+MED24,pair
Wessels_E160,train,MED22+MED24,pair
Wessels_E160,train,MED24+SSRP1,pair
Wessels_E160,train,RCOR1+RING1,pair
Wessels_E160,train,SMARCA5+SMARCD1,pair
Wessels_E160,train,SMARCD1+SSRP1,pair
Wessels_E160,train,SSRP1+SUPT16H,pair
Wessels_E160,train,SSRP1+SUPT5H,pair
Wessels_E160,train,SUPT16H+SUPT5H,pair
Wessels_E160,train,SUPT16H+SUPT6H,pair
Wessels_E160,val,DOT1L+EP300,pair
Wessels_E160,val,DOT1L+FLI1,pair
Wessels_E160,val,EP300+GFI1,pair
Wessels_E160,val,EP300+GSE1,pair
Wessels_E160,val,EP300+HDAC3,pair
Wessels_E160,val,EP300+INTS1,pair
Wessels_E160,val,FLI1+GATA2,pair
Wessels_E160,val,GATA2+SMARCD1,pair
Wessels_E160,val,GFI1+RING1,pair
Wessels_E160,val,GFI1+SMARCD1,pair
Wessels_E160,val,GSE1+RING1,pair
Wessels_E160,val,HDAC3+IKZF1,pair
Wessels_E160,val,HDAC3+MED24,pair
Wessels_E160,val,HDAC3+RING1,pair
Wessels_E160,val,INTS1+MED24,pair
Wessels_E160,val,INTS1+SMARCD1,pair
Wessels_E160,val,KDM1A+RING1,pair
Wessels_E160,val,MED13L+MED16,pair
Wessels_E160,val,MED13L+MED19,pair
Wessels_E160,val,MED16+MED24,pair
Wessels_E160,val,MED19+MED22,pair
Wessels_E160,val,MED24+RING1,pair
Wessels_E160,val,MED24+SMARCD1,pair
Wessels_E160,val,SUPT5H+SUPT6H,pair
Wessels_E160,test,DOT1L+GATA2,pair
Wessels_E160,test,DOT1L+HDAC3,pair
Wessels_E160,test,DOT1L+KDM1A,pair
Wessels_E160,test,DOT1L+MED24,pair
Wessels_E160,test,DOT1L+RCOR1,pair
Wessels_E160,test,DOT1L+RING1,pair
Wessels_E160,test,DOT1L+SMARCD1,pair
Wessels_E160,test,EP300+IKZF1,pair
Wessels_E160,test,EP300+MYB,pair
Wessels_E160,test,FLI1+GSE1,pair
Wessels_E160,test,FLI1+HDAC3,pair
Wessels_E160,test,FLI1+IKZF1,pair
Wessels_E160,test,FLI1+INTS1,pair
Wessels_E160,test,FLI1+MED24,pair
Wessels_E160,test,FLI1+RING1,pair
Wessels_E160,test,FLI1+SMARCD1,pair
Wessels_E160,test,GATA2+GFI1,pair
Wessels_E160,test,GATA2+IKZF1,pair
Wessels_E160,test,GATA2+KDM1A,pair
Wessels_E160,test,GATA2+RCOR1,pair
Wessels_E160,test,GFI1+GSE1,pair
Wessels_E160,test,GFI1+INTS1,pair
Wessels_E160,test,GFI1+RCOR1,pair
Wessels_E160,test,GSE1+INTS1,pair
Wessels_E160,test,GSE1+KDM1A,pair
Wessels_E160,test,GSE1+MED24,pair
Wessels_E160,test,GSE1+SSRP1,pair
Wessels_E160,test,HDAC3+SMARCD1,pair
Wessels_E160,test,HDAC3+SSRP1,pair
Wessels_E160,test,IKZF1+INTS1,pair
Wessels_E160,test,IKZF1+KDM1A,pair
Wessels_E160,test,IKZF1+MED24,pair
Wessels_E160,test,IKZF1+SMARCD1,pair
Wessels_E160,test,INTS1+KDM1A,pair
Wessels_E160,test,INTS1+RING1,pair
Wessels_E160,test,INTS1+SSRP1,pair
Wessels_E160,test,KDM1A+MED24,pair
Wessels_E160,test,KDM1A+SMARCD1,pair
Wessels_E160,test,MED13L+MED14,pair
Wessels_E160,test,MED13L+MED22,pair
Wessels_E160,test,MED13L+MED24,pair
Wessels_E160,test,MED14+MED19,pair
Wessels_E160,test,MED16+MED19,pair
Wessels_E160,test,MED16+MED22,pair
Wessels_E160,test,MED24+RCOR1,pair
Wessels_E160,test,RCOR1+SMARCD1,pair
Wessels_E160,test,RING1+SMARCD1,pair
Wessels_E160,test,SSRP1+SUPT6H,pair
