panel,heldout_test_gene,train_condition_hits,val_condition_hits,n_train_hits,n_val_hits,development_leakage
Norman_P3,AHR,,,0,0,False
Norman_P3,CBL,,,0,0,False
Norman_P3,CDKN1A,,,0,0,False
Norman_P3,CEBPE,,,0,0,False
Norman_P3,CITED1,,,0,0,False
Norman_P3,CNN1,,,0,0,False
Norman_P3,CNNM4,,,0,0,False
Norman_P3,DUSP9,,,0,0,False
Norman_P3,EGR1,,,0,0,False
Norman_P3,FOXF1,,,0,0,False
Norman_P3,FOXO4,,,0,0,False
Norman_P3,HOXB9,,,0,0,False
Norman_P3,HOXC13,,,0,0,False
Norman_P3,IRF1,,,0,0,False
Norman_P3,KIF2C,,,0,0,False
Norman_P3,KMT2A,,,0,0,False
Norman_P3,LHX1,,,0,0,False
Norman_P3,MAP2K3,,,0,0,False
Norman_P3,PTPN9,,,0,0,False
Norman_P3,RHOXF2,,,0,0,False
Norman_P3,SET,,,0,0,False
Norman_P3,TGFBR2,,,0,0,False
Norman_P3,ZBTB25,,,0,0,False
Norman_P3,ZNF318,,,0,0,False
Norman_P4,ARID1A,,,0,0,False
Norman_P4,BAK1,,,0,0,False
Norman_P4,BCORL1,,,0,0,False
Norman_P4,CDKN1B,,,0,0,False
Norman_P4,ETS2,,,0,0,False
Norman_P4,FOXL2,,,0,0,False
Norman_P4,GLB1L2,,,0,0,False
Norman_P4,HNF4A,,,0,0,False
Norman_P4,ISL2,,,0,0,False
Norman_P4,KIF18B,,,0,0,False
Norman_P4,KLF1,,,0,0,False
Norman_P4,LYL1,,,0,0,False
Norman_P4,MAML2,,,0,0,False
Norman_P4,MAP4K3,,,0,0,False
Norman_P4,MAP4K5,,,0,0,False
Norman_P4,MAP7D1,,,0,0,False
Norman_P4,PRTG,,,0,0,False
Norman_P4,PTPN1,,,0,0,False
Norman_P4,RUNX1T1,,,0,0,False
Norman_P4,TBX2,,,0,0,False
Norman_P4,TMSB4X,,,0,0,False
Norman_P4,UBASH3A,,,0,0,False
Norman_P4,UBASH3B,,,0,0,False
Norman_P4,ZBTB1,,,0,0,False
