condition,n_train_cells_before_balance,n_balanced,delta_to_control,sigma_within,sigma_control,edistance_training_rank_label,fit_scope,permutation_pvalue_computed
ARRDC3+ctrl,495,54,165.19568162115146,153.5140790061437,167.15197304494137,9.725311191217855,train_only,False
ATL1+ctrl,379,54,236.1072491586995,196.8151388416054,167.15197304494137,108.2473864308522,train_only,False
BCL2L11+ctrl,582,54,155.51020875552572,140.68806679952988,167.15197304494137,3.180377666580199,train_only,False
BPGM+SAMD1,301,54,230.31379121279352,199.53785433885264,167.15197304494137,93.93775504179303,train_only,False
BPGM+ctrl,464,54,168.97352613106614,130.30697886352303,167.15197304494137,40.488100353667875,train_only,False
CBFA2T3+FEV,159,54,404.39758901241805,326.51199675515926,167.15197304494137,315.1312082247355,train_only,False
CBFA2T3+POU3F2,216,54,247.13086726781566,247.03084718711312,167.15197304494137,80.07891430357682,train_only,False
CBFA2T3+PRDM1,106,54,383.2737490310281,320.3456199276661,167.15197304494137,279.0499050894487,train_only,False
CDKN1C+ctrl,230,54,233.76932066771,221.20017070659472,167.15197304494137,79.18649758388389,train_only,False
CEBPA+CEBPB,64,54,581.771258646389,477.4611079583924,167.15197304494137,518.9294362894443,train_only,False
CEBPA+JUN,54,54,645.2723526983921,405.2354934506446,167.15197304494137,718.1572389011983,train_only,False
CEBPA+ctrl,460,54,577.8310175401605,505.0101708558141,167.15197304494137,483.4998911795655,train_only,False
CEBPB+FOSB,71,54,479.6426430283252,376.0690523598751,167.15197304494137,416.064260651834,train_only,False
CEBPB+OSR2,211,54,350.4408055240194,324.4795385215813,167.15197304494137,209.2500994815162,train_only,False
CEBPB+PTPN12,331,54,197.5926646439676,166.1411566033025,167.15197304494137,61.89219963969131,train_only,False
CEBPB+ctrl,488,54,307.4521500394145,283.9662389172975,167.15197304494137,163.78608811659012,train_only,False
CKS1B+ctrl,241,54,167.70027916612904,142.89268245150865,167.15197304494137,25.355902835808052,train_only,False
CLDN6+ctrl,670,54,249.03219228267406,229.32982319076012,167.15197304494137,101.58258832964663,train_only,False
COL1A1+ctrl,328,54,208.90929271316529,195.0430155618958,167.15197304494137,55.6235968194934,train_only,False
COL2A1+ctrl,598,54,177.00120455422308,161.73465444093125,167.15197304494137,25.115781622573536,train_only,False
CSRNP1+ctrl,478,54,153.21873216668976,119.78485876138038,167.15197304494137,19.500632527057775,train_only,False
DLX2+SNAI1,131,54,386.2594059680947,305.1927317071688,167.15197304494137,300.1741071840793,train_only,False
DLX2+ZBTB10,89,54,447.7956446380049,300.4345965766805,167.15197304494137,428.0047196543879,train_only,False
FEV+ctrl,704,54,175.20693120300788,149.062845045258,167.15197304494137,34.199044315816394,train_only,False
FOSB+IKZF3,247,54,237.7964371358877,216.39891299065482,167.15197304494137,92.04198823617918,train_only,False
FOSB+ctrl,630,54,213.90317225436405,212.10251046825655,167.15197304494137,48.55186099553018,train_only,False
FOXA1+ctrl,851,54,186.32898999131208,183.83838699702846,167.15197304494137,21.667619940654333,train_only,False
FOXA3+ctrl,494,54,209.36331118608234,217.7157281582518,167.15197304494137,33.858921168971506,train_only,False
HES7+ctrl,126,54,374.1157403507007,392.1983621083557,167.15197304494137,188.88114554810437,train_only,False
