dataset_name,role,context,drug,dose_nM,n_cells,time_hours,task_key,dose_seen_in_source,context_seen_in_source,drug_seen_in_source,target_perturbed_expression_used_for_selection
sciPlex3_official_raw,source_train,A549,Abexinostat,10.0,208,24.0,sciPlex3::A549::Abexinostat::dose_nM=10.0,True,True,True,False
sciPlex3_official_raw,source_train,A549,Abexinostat,100.0,209,24.0,sciPlex3::A549::Abexinostat::dose_nM=100.0,True,True,True,False
sciPlex3_official_raw,source_train,A549,Abexinostat,1000.0,198,24.0,sciPlex3::A549::Abexinostat::dose_nM=1000.0,True,True,True,False
sciPlex3_official_raw,source_train,A549,Abexinostat,10000.0,157,24.0,sciPlex3::A549::Abexinostat::dose_nM=10000.0,True,True,True,False
sciPlex3_official_raw,source_train,A549,Pracinostat,10.0,215,24.0,sciPlex3::A549::Pracinostat::dose_nM=10.0,True,True,True,False
sciPlex3_official_raw,source_train,A549,Pracinostat,100.0,193,24.0,sciPlex3::A549::Pracinostat::dose_nM=100.0,True,True,True,False
sciPlex3_official_raw,source_train,A549,Pracinostat,1000.0,212,24.0,sciPlex3::A549::Pracinostat::dose_nM=1000.0,True,True,True,False
sciPlex3_official_raw,source_train,A549,Pracinostat,10000.0,133,24.0,sciPlex3::A549::Pracinostat::dose_nM=10000.0,True,True,True,False
sciPlex3_official_raw,source_train,K562,Abexinostat,10.0,223,24.0,sciPlex3::K562::Abexinostat::dose_nM=10.0,True,True,True,False
sciPlex3_official_raw,source_train,K562,Abexinostat,100.0,198,24.0,sciPlex3::K562::Abexinostat::dose_nM=100.0,True,True,True,False
sciPlex3_official_raw,source_train,K562,Abexinostat,1000.0,126,24.0,sciPlex3::K562::Abexinostat::dose_nM=1000.0,True,True,True,False
sciPlex3_official_raw,source_train,K562,Abexinostat,10000.0,96,24.0,sciPlex3::K562::Abexinostat::dose_nM=10000.0,True,True,True,False
sciPlex3_official_raw,source_train,K562,Pracinostat,10.0,256,24.0,sciPlex3::K562::Pracinostat::dose_nM=10.0,True,True,True,False
sciPlex3_official_raw,source_train,K562,Pracinostat,100.0,208,24.0,sciPlex3::K562::Pracinostat::dose_nM=100.0,True,True,True,False
sciPlex3_official_raw,source_train,K562,Pracinostat,1000.0,132,24.0,sciPlex3::K562::Pracinostat::dose_nM=1000.0,True,True,True,False
sciPlex3_official_raw,source_train,K562,Pracinostat,10000.0,96,24.0,sciPlex3::K562::Pracinostat::dose_nM=10000.0,True,True,True,False
sciPlex3_official_raw,source_train,MCF7,Abexinostat,10.0,486,24.0,sciPlex3::MCF7::Abexinostat::dose_nM=10.0,True,True,True,False
sciPlex3_official_raw,source_train,MCF7,Abexinostat,100.0,456,24.0,sciPlex3::MCF7::Abexinostat::dose_nM=100.0,True,True,True,False
sciPlex3_official_raw,source_train,MCF7,Abexinostat,1000.0,450,24.0,sciPlex3::MCF7::Abexinostat::dose_nM=1000.0,True,True,True,False
sciPlex3_official_raw,source_train,MCF7,Abexinostat,10000.0,536,24.0,sciPlex3::MCF7::Abexinostat::dose_nM=10000.0,True,True,True,False
sciPlex3_official_raw,source_train,MCF7,Pracinostat,10.0,479,24.0,sciPlex3::MCF7::Pracinostat::dose_nM=10.0,True,True,True,False
sciPlex3_official_raw,source_train,MCF7,Pracinostat,100.0,404,24.0,sciPlex3::MCF7::Pracinostat::dose_nM=100.0,True,True,True,False
sciPlex3_official_raw,source_train,MCF7,Pracinostat,1000.0,478,24.0,sciPlex3::MCF7::Pracinostat::dose_nM=1000.0,True,True,True,False
sciPlex3_official_raw,source_train,MCF7,Pracinostat,10000.0,521,24.0,sciPlex3::MCF7::Pracinostat::dose_nM=10000.0,True,True,True,False
sciPlex4_official_raw,target_test,A549,Abexinostat,10.0,476,,sciPlex4::A549::Abexinostat::dose_nM=10.0,True,True,True,False
sciPlex4_official_raw,target_test,A549,Abexinostat,50.0,503,,sciPlex4::A549::Abexinostat::dose_nM=50.0,False,True,True,False
sciPlex4_official_raw,target_test,A549,Abexinostat,100.0,568,,sciPlex4::A549::Abexinostat::dose_nM=100.0,True,True,True,False
sciPlex4_official_raw,target_test,A549,Abexinostat,500.0,379,,sciPlex4::A549::Abexinostat::dose_nM=500.0,False,True,True,False
sciPlex4_official_raw,target_test,A549,Abexinostat,1000.0,280,,sciPlex4::A549::Abexinostat::dose_nM=1000.0,True,True,True,False
sciPlex4_official_raw,target_test,A549,Abexinostat,5000.0,223,,sciPlex4::A549::Abexinostat::dose_nM=5000.0,False,True,True,False
sciPlex4_official_raw,target_test,A549,Abexinostat,10000.0,203,,sciPlex4::A549::Abexinostat::dose_nM=10000.0,True,True,True,False
sciPlex4_official_raw,target_test,A549,Pracinostat,10.0,600,,sciPlex4::A549::Pracinostat::dose_nM=10.0,True,True,True,False
sciPlex4_official_raw,target_test,A549,Pracinostat,50.0,578,,sciPlex4::A549::Pracinostat::dose_nM=50.0,False,True,True,False
sciPlex4_official_raw,target_test,A549,Pracinostat,100.0,601,,sciPlex4::A549::Pracinostat::dose_nM=100.0,True,True,True,False
sciPlex4_official_raw,target_test,A549,Pracinostat,500.0,549,,sciPlex4::A549::Pracinostat::dose_nM=500.0,False,True,True,False
sciPlex4_official_raw,target_test,A549,Pracinostat,1000.0,423,,sciPlex4::A549::Pracinostat::dose_nM=1000.0,True,True,True,False
sciPlex4_official_raw,target_test,A549,Pracinostat,5000.0,223,,sciPlex4::A549::Pracinostat::dose_nM=5000.0,False,True,True,False
sciPlex4_official_raw,target_test,A549,Pracinostat,10000.0,264,,sciPlex4::A549::Pracinostat::dose_nM=10000.0,True,True,True,False
sciPlex4_official_raw,target_test,MCF7,Abexinostat,10.0,776,,sciPlex4::MCF7::Abexinostat::dose_nM=10.0,True,True,True,False
sciPlex4_official_raw,target_test,MCF7,Abexinostat,50.0,698,,sciPlex4::MCF7::Abexinostat::dose_nM=50.0,False,True,True,False
sciPlex4_official_raw,target_test,MCF7,Abexinostat,100.0,694,,sciPlex4::MCF7::Abexinostat::dose_nM=100.0,True,True,True,False
sciPlex4_official_raw,target_test,MCF7,Abexinostat,500.0,544,,sciPlex4::MCF7::Abexinostat::dose_nM=500.0,False,True,True,False
sciPlex4_official_raw,target_test,MCF7,Abexinostat,1000.0,549,,sciPlex4::MCF7::Abexinostat::dose_nM=1000.0,True,True,True,False
sciPlex4_official_raw,target_test,MCF7,Abexinostat,5000.0,470,,sciPlex4::MCF7::Abexinostat::dose_nM=5000.0,False,True,True,False
sciPlex4_official_raw,target_test,MCF7,Abexinostat,10000.0,449,,sciPlex4::MCF7::Abexinostat::dose_nM=10000.0,True,True,True,False
sciPlex4_official_raw,target_test,MCF7,Pracinostat,10.0,748,,sciPlex4::MCF7::Pracinostat::dose_nM=10.0,True,True,True,False
sciPlex4_official_raw,target_test,MCF7,Pracinostat,50.0,647,,sciPlex4::MCF7::Pracinostat::dose_nM=50.0,False,True,True,False
sciPlex4_official_raw,target_test,MCF7,Pracinostat,100.0,693,,sciPlex4::MCF7::Pracinostat::dose_nM=100.0,True,True,True,False
