condition,split,n_graphs,n_h5ad_cells,max_abs_x_minus_control,max_abs_y_minus_h5ad,max_abs_y_pca_minus_h5ad,bad_graphs
ATXN7L3+ctrl,train,82,82,0.0,0.0,0.0,0
CD14+ctrl,train,40,40,0.0,0.0,0.0,0
DOT1L+EP300,val,245,245,0.0,0.0,0.0,0
DOT1L+FLI1,val,196,196,0.0,0.0,0.0,0
DOT1L+GFI1,train,159,159,0.0,0.0,0.0,0
DOT1L+GSE1,train,130,130,0.0,0.0,0.0,0
DOT1L+IKZF1,train,137,137,0.0,0.0,0.0,0
DOT1L+INTS1,train,773,773,0.0,0.0,0.0,0
DOT1L+ctrl,train,93,93,0.0,0.0,0.0,0
EP300+FLI1,train,163,163,0.0,0.0,0.0,0
EP300+GATA2,train,188,188,0.0,0.0,0.0,0
EP300+GFI1,val,161,161,0.0,0.0,0.0,0
EP300+GSE1,val,112,112,0.0,0.0,0.0,0
EP300+HDAC3,val,246,246,0.0,0.0,0.0,0
EP300+INTS1,val,247,247,0.0,0.0,0.0,0
EP300+KDM1A,train,117,117,0.0,0.0,0.0,0
EP300+MED24,train,281,281,0.0,0.0,0.0,0
EP300+RCOR1,train,136,136,0.0,0.0,0.0,0
EP300+RING1,train,179,179,0.0,0.0,0.0,0
EP300+SMARCD1,train,208,208,0.0,0.0,0.0,0
EP300+SSRP1,train,146,146,0.0,0.0,0.0,0
EP300+ctrl,train,106,106,0.0,0.0,0.0,0
FLI1+GATA2,val,256,256,0.0,0.0,0.0,0
FLI1+GFI1,train,104,104,0.0,0.0,0.0,0
FLI1+KDM1A,train,157,157,0.0,0.0,0.0,0
FLI1+RCOR1,train,244,244,0.0,0.0,0.0,0
FLI1+SSRP1,train,145,145,0.0,0.0,0.0,0
FLI1+ctrl,train,217,217,0.0,0.0,0.0,0
GATA2+GSE1,train,182,182,0.0,0.0,0.0,0
GATA2+HDAC3,train,250,250,0.0,0.0,0.0,0
GATA2+INTS1,train,599,599,0.0,0.0,0.0,0
GATA2+MED24,train,264,264,0.0,0.0,0.0,0
GATA2+RING1,train,214,214,0.0,0.0,0.0,0
GATA2+SMARCD1,val,244,244,0.0,0.0,0.0,0
GATA2+SSRP1,train,87,87,0.0,0.0,0.0,0
GATA2+ctrl,train,47,47,0.0,0.0,0.0,0
GFI1+HDAC3,train,208,208,0.0,0.0,0.0,0
GFI1+MED24,train,148,148,0.0,0.0,0.0,0
GFI1+RING1,val,182,182,0.0,0.0,0.0,0
GFI1+SMARCD1,val,175,175,0.0,0.0,0.0,0
GFI1+ctrl,train,74,74,0.0,0.0,0.0,0
GSE1+HDAC3,train,185,185,0.0,0.0,0.0,0
GSE1+IKZF1,train,89,89,0.0,0.0,0.0,0
GSE1+RCOR1,train,146,146,0.0,0.0,0.0,0
GSE1+RING1,val,141,141,0.0,0.0,0.0,0
GSE1+SMARCD1,train,107,107,0.0,0.0,0.0,0
GSE1+ctrl,train,92,92,0.0,0.0,0.0,0
HDAC3+IKZF1,val,107,107,0.0,0.0,0.0,0
HDAC3+INTS1,train,684,684,0.0,0.0,0.0,0
HDAC3+KDM1A,train,99,99,0.0,0.0,0.0,0
HDAC3+MED24,val,152,152,0.0,0.0,0.0,0
HDAC3+RING1,val,195,195,0.0,0.0,0.0,0
HDAC3+ctrl,train,96,96,0.0,0.0,0.0,0
IKZF1+ctrl,train,45,45,0.0,0.0,0.0,0
INTS1+MED24,val,322,322,0.0,0.0,0.0,0
INTS1+MYB,train,168,168,0.0,0.0,0.0,0
INTS1+RCOR1,train,555,555,0.0,0.0,0.0,0
INTS1+SMARCD1,val,767,767,0.0,0.0,0.0,0
