dataset,fold_id,context,n_task_rows,n_unique_perturbations,similarity,n_valid_truth_candidates,pool_eligible,exclusion_reason
Frangieh,frangieh_context_holdout_1_Co-culture,Co-culture,189,189,pearson,189,True,
Frangieh,frangieh_context_holdout_1_Co-culture,Co-culture,189,189,cosine,189,True,
Frangieh,frangieh_context_holdout_1_Co-culture,Control,38,38,pearson,38,True,
Frangieh,frangieh_context_holdout_1_Co-culture,Control,38,38,cosine,38,True,
Frangieh,frangieh_context_holdout_1_Co-culture,IFNγ,52,52,pearson,52,True,
Frangieh,frangieh_context_holdout_1_Co-culture,IFNγ,52,52,cosine,52,True,
Frangieh,frangieh_context_holdout_2_Control,Co-culture,46,46,pearson,46,True,
Frangieh,frangieh_context_holdout_2_Control,Co-culture,46,46,cosine,46,True,
Frangieh,frangieh_context_holdout_2_Control,Control,189,189,pearson,189,True,
Frangieh,frangieh_context_holdout_2_Control,Control,189,189,cosine,189,True,
Frangieh,frangieh_context_holdout_2_Control,IFNγ,44,44,pearson,44,True,
Frangieh,frangieh_context_holdout_2_Control,IFNγ,44,44,cosine,44,True,
Frangieh,frangieh_context_holdout_3_IFNγ,Co-culture,47,47,pearson,47,True,
Frangieh,frangieh_context_holdout_3_IFNγ,Co-culture,47,47,cosine,47,True,
Frangieh,frangieh_context_holdout_3_IFNγ,Control,43,43,pearson,43,True,
Frangieh,frangieh_context_holdout_3_IFNγ,Control,43,43,cosine,43,True,
Frangieh,frangieh_context_holdout_3_IFNγ,IFNγ,189,189,pearson,189,True,
Frangieh,frangieh_context_holdout_3_IFNγ,IFNγ,189,189,cosine,189,True,
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP,31,31,pearson,31,True,
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP,31,31,cosine,31,True,
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,GMP,10,10,pearson,10,True,
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,GMP,10,10,cosine,10,True,
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,GMP (late),9,9,all,0,False,candidate_pool_below_10
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,HSC,10,10,pearson,10,True,
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,HSC,10,10,cosine,10,True,
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,MkP,9,9,all,0,False,candidate_pool_below_10
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,EBMP,10,10,pearson,10,True,
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,EBMP,10,10,cosine,10,True,
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,GMP,31,31,pearson,31,True,
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,GMP,31,31,cosine,31,True,
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,GMP (late),9,9,all,0,False,candidate_pool_below_10
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,HSC,8,8,all,0,False,candidate_pool_below_10
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,MkP,11,11,pearson,11,True,
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,MkP,11,11,cosine,11,True,
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),EBMP,10,10,pearson,10,True,
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),EBMP,10,10,cosine,10,True,
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),GMP,10,10,pearson,10,True,
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),GMP,10,10,cosine,10,True,
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),GMP (late),31,31,pearson,31,True,
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),GMP (late),31,31,cosine,31,True,
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),HSC,11,11,pearson,11,True,
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),HSC,11,11,cosine,11,True,
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),MkP,7,7,all,0,False,candidate_pool_below_10
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,EBMP,9,9,all,0,False,candidate_pool_below_10
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,GMP,9,9,all,0,False,candidate_pool_below_10
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,GMP (late),10,10,pearson,10,True,
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,GMP (late),10,10,cosine,10,True,
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,HSC,31,31,pearson,31,True,
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,HSC,31,31,cosine,31,True,
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,MkP,10,10,pearson,10,True,
