dataset,fold_id,context,n_task_rows,n_unique_task_ids,n_unique_perturbations,duplicate_perturbation_structure,pool_size_at_least_10_before_metric_qc
Frangieh,frangieh_context_holdout_1_Co-culture,Co-culture,189,189,189,False,True
Frangieh,frangieh_context_holdout_1_Co-culture,Control,38,38,38,False,True
Frangieh,frangieh_context_holdout_1_Co-culture,IFNγ,52,52,52,False,True
Frangieh,frangieh_context_holdout_2_Control,Co-culture,46,46,46,False,True
Frangieh,frangieh_context_holdout_2_Control,Control,189,189,189,False,True
Frangieh,frangieh_context_holdout_2_Control,IFNγ,44,44,44,False,True
Frangieh,frangieh_context_holdout_3_IFNγ,Co-culture,47,47,47,False,True
Frangieh,frangieh_context_holdout_3_IFNγ,Control,43,43,43,False,True
Frangieh,frangieh_context_holdout_3_IFNγ,IFNγ,189,189,189,False,True
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EBMP,31,31,31,False,True
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,GMP,10,10,10,False,True
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,GMP (late),9,9,9,False,False
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,HSC,10,10,10,False,True
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,MkP,9,9,9,False,False
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,EBMP,10,10,10,False,True
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,GMP,31,31,31,False,True
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,GMP (late),9,9,9,False,False
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,HSC,8,8,8,False,False
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,MkP,11,11,11,False,True
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),EBMP,10,10,10,False,True
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),GMP,10,10,10,False,True
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),GMP (late),31,31,31,False,True
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),HSC,11,11,11,False,True
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),MkP,7,7,7,False,False
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,EBMP,9,9,9,False,False
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,GMP,9,9,9,False,False
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,GMP (late),10,10,10,False,True
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,HSC,31,31,31,False,True
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,MkP,10,10,10,False,True
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,EBMP,12,12,12,False,True
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,GMP,8,8,8,False,False
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,GMP (late),9,9,9,False,False
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,HSC,9,9,9,False,False
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,MkP,31,31,31,False,True
Liang,Liang_context_holdout_1_DM2_1,DM2_1,18,18,18,False,True
Liang,Liang_context_holdout_1_DM2_1,DM2_2,5,5,5,False,False
Liang,Liang_context_holdout_1_DM2_1,DM2_3,6,6,6,False,False
Liang,Liang_context_holdout_1_DM2_1,DM2_4,5,5,5,False,False
Liang,Liang_context_holdout_1_DM2_1,DM2_5,7,7,7,False,False
Liang,Liang_context_holdout_1_DM2_1,DM2_6,7,7,7,False,False
Liang,Liang_context_holdout_1_DM2_1,EM2_1,6,6,6,False,False
Liang,Liang_context_holdout_1_DM2_1,EM2_2,6,6,6,False,False
Liang,Liang_context_holdout_1_DM2_1,EM2_3,8,8,8,False,False
Liang,Liang_context_holdout_2_DM2_2,DM2_1,5,5,5,False,False
Liang,Liang_context_holdout_2_DM2_2,DM2_2,18,18,18,False,True
Liang,Liang_context_holdout_2_DM2_2,DM2_3,6,6,6,False,False
Liang,Liang_context_holdout_2_DM2_2,DM2_4,6,6,6,False,False
Liang,Liang_context_holdout_2_DM2_2,DM2_5,6,6,6,False,False
Liang,Liang_context_holdout_2_DM2_2,DM2_6,7,7,7,False,False
Liang,Liang_context_holdout_2_DM2_2,EM2_1,7,7,7,False,False
Liang,Liang_context_holdout_2_DM2_2,EM2_2,6,6,6,False,False
Liang,Liang_context_holdout_2_DM2_2,EM2_3,7,7,7,False,False
Liang,Liang_context_holdout_3_DM2_3,DM2_1,5,5,5,False,False
Liang,Liang_context_holdout_3_DM2_3,DM2_2,5,5,5,False,False
Liang,Liang_context_holdout_3_DM2_3,DM2_3,18,18,18,False,True
Liang,Liang_context_holdout_3_DM2_3,DM2_4,6,6,6,False,False
Liang,Liang_context_holdout_3_DM2_3,DM2_5,6,6,6,False,False
Liang,Liang_context_holdout_3_DM2_3,DM2_6,7,7,7,False,False
Liang,Liang_context_holdout_3_DM2_3,EM2_1,7,7,7,False,False
Liang,Liang_context_holdout_3_DM2_3,EM2_2,7,7,7,False,False
Liang,Liang_context_holdout_3_DM2_3,EM2_3,7,7,7,False,False
Liang,Liang_context_holdout_4_DM2_4,DM2_1,8,8,8,False,False
Liang,Liang_context_holdout_4_DM2_4,DM2_2,6,6,6,False,False
Liang,Liang_context_holdout_4_DM2_4,DM2_3,5,5,5,False,False
Liang,Liang_context_holdout_4_DM2_4,DM2_4,18,18,18,False,True
Liang,Liang_context_holdout_4_DM2_4,DM2_5,6,6,6,False,False
Liang,Liang_context_holdout_4_DM2_4,DM2_6,6,6,6,False,False
Liang,Liang_context_holdout_4_DM2_4,EM2_1,6,6,6,False,False
Liang,Liang_context_holdout_4_DM2_4,EM2_2,6,6,6,False,False
