e176_global_target_rank,panel_id,panel_target_rank,ensembl_core,perturbed_gene_name,n_identity_complete_guides,eligible_guide_ids,expression_axis_id_unique,expression_axis_gene_name,target_name_matches_expression_axis,expression_axis_name_unique,scgpt_token,in_scgpt_vocabulary,eligible_target,target_selection_sha256,column_unseen_sha256,e176_selection_sha256,e176_column_unseen_sha256,target_stratum,e176_calibration_sha256,heldout_donor_partition,perturbation_support_contexts_pretruth,excluded_all_e168_e170_e172_e174_targets,selection_used_expression_effect_error_or_prior_outcome
401,H03,1,ENSG00000087266,SH3BP2,2,SH3BP2-1+SH3BP2-2,True,SH3BP2,True,True,SH3BP2,True,True,82a95a82fcd33ae64acc180eef06a2ad35ef5e41916401da2f567c8417872e34,2484cce7b0f314718782ba2d66f0f7f880d973c64fb8d0309b21cf1a36828e06,22b3aea4c99ad07ec3b6876ff9623d898062af247ff65f4cb9a13518bdce9f2a,f94d49425ac6f7c61782e76d2e3622f9985b15d0a26365cf56d8a796722de164,DONOR_UNSEEN_ONLY,31466c82821672bb62f1fe5aadf6464ffcd94b1e35756cc1a3853b17567b433d,EVALUATION_80PCT,6,True,False
402,H03,2,ENSG00000100483,VCPKMT,2,VCPKMT-1+VCPKMT-2,True,VCPKMT,True,True,VCPKMT,True,True,bd5a60e36d5c069e1a02f95add81a675ec317eae7a7591ec234b837951925f2b,5e30254d88cb2f54b44f07d738da26d1afc86f45b3eb6c2fcc8d823c2215564a,22c29dd0bb3526bda7ca43443b45aa06f039d010167e257d9775d57b8df9f9ca,e20a058428382b1d50bd5d1193e3fc900d858ac4010cc8d3251beb1d6300032f,DONOR_UNSEEN_ONLY,21249b9cabe38c6a00a6e71b52b2aeab754e2011c574e6639753b1b4f80eec96,CALIBRATION_20PCT,6,True,False
403,H03,3,ENSG00000180900,SCRIB,2,SCRIB-1+SCRIB-2,True,SCRIB,True,True,SCRIB,True,True,3ca25811d209df5ff6369fd42a8fe0986aee9d8651833e1cab2dd3d428f3d557,bb72ded3422550f3bedae7b192a1852dfd6b2c5a4622ec5a2a5bf748157caae4,23014080d119437d4f822db73c462b8f54ae29f15fdaaf4450d06d6d7bd7aa13,1aac5aa36324f31c4dabc9f8ff31aebf8d792a1db196ea35cb8a55ab8ccec815,COLUMN_UNSEEN,965daa69642ea428aafc82aa366fbeef331ef99ada3af5fccf4690f6f76e1907,EVALUATION_80PCT,0,True,False
404,H03,4,ENSG00000179454,KLHL28,2,KLHL28-1+KLHL28-2,True,KLHL28,True,True,KLHL28,True,True,8188229abb82355dd5c0aa2b658c69865ecda0b8782dd8aa894c17358b9326e4,bbf31903307cb753c5d0a6b4388c68a1a33d460dbbda59d7fcbdad5d682ca9f7,2307c82cdd674409c10e296d798095b0b36f8055badf684537042e3f83e53d44,5686d89968b007338e05f4b9ee6a726ffa6d10e6e81d8293f020f22912073ebb,DONOR_UNSEEN_ONLY,9c5258ae87d712d0f111ee957f063a3c8be2e4d128008724f2b3b4457f622135,EVALUATION_80PCT,6,True,False
405,H03,5,ENSG00000115526,CHST10,2,CHST10-1+CHST10-2,True,CHST10,True,True,CHST10,True,True,edd169c3407f91827ad1c310ea72105ca87c9fb8921c494a4beff8f676888a6b,e781511976e203661211086e4aae0f8fcb5a3cc9cff7f3591dcd21b115d47412,230c120803a0c4285388b007e178bf44b0236e2a452ab9a12201629b891f4105,35faf2e8f918641ce444290d2106b75290e03ea289986195a9bc5b358860891f,DONOR_UNSEEN_ONLY,3c710f2a857e6a5e6d2e0ccca0ac9125ba47d687d92b2333b2c73437e3178dcb,EVALUATION_80PCT,6,True,False
406,H03,6,ENSG00000091164,TXNL1,2,TXNL1-1+TXNL1-2,True,TXNL1,True,True,TXNL1,True,True,8195157b1b6f1c15b972a0cc1c1c14b4ffcbc126afba86f85450e858aff9b20f,a57f405da2417133367260fd83de5ec4b67dad7cd42fffe5595922af036f45de,231f006ac4c37a518c68f89c43f82a76d7e256a20949c5041a913f1523d30ee8,bd95a4912f60a680560430624900bd79432a9b5c1604b9a0b45528e37fbc118f,DONOR_UNSEEN_ONLY,a9be7b394d5190d5cf5fc69b99c4e546c99d2a22c54b8316ae0f324f7124765d,EVALUATION_80PCT,6,True,False
407,H03,7,ENSG00000182481,KPNA2,2,KPNA2-1+KPNA2-2,True,KPNA2,True,True,KPNA2,True,True,0ec06f3eb3b74d1627b50fda3c0f40e2b66b6beaf407e2833c40c24b35f5f051,19a0f86bebbbfcfc131143bb8da421efd49065f2325a46f2e6794296b206947a,232add544087d45820d0d864a1176218f13a113b66e05fea46e06f72825280b6,d503b8602086435529e9a0c16516599b3b92e8bf18987b8ed426f85210eceba7,DONOR_UNSEEN_ONLY,58ac19c9e66a7ddee4afaafefd0f1f6d8d394f90bd2f03b686ceeeaf196288b1,EVALUATION_80PCT,6,True,False
408,H03,8,ENSG00000074416,MGLL,2,MGLL-1+MGLL-2,True,MGLL,True,True,MGLL,True,True,7a6094c4dc9f516afdd9dbc23b8ed60a77a1bb2c2d3336a41e885d79146e332c,f8820dc8cfd58ed7f8f9198c1920eead6ce1a355d9ab3a7f8528a1d92474e275,2351268348dd711b3f798045d2b08d8c39b0ed2980586f075d9de178cfcc40df,69ec19be425a2ddf0572bafd2f5c87a3cb5516ab32b5da110c6ec4f3eafa5190,DONOR_UNSEEN_ONLY,d98da2e744aad78003ea5e1c9fdac4de72a565a481c70920046dd7b008afd1ae,EVALUATION_80PCT,6,True,False
409,H03,9,ENSG00000127328,RAB3IP,2,RAB3IP-1+RAB3IP-2,True,RAB3IP,True,True,RAB3IP,True,True,c0e37ebc379bc734810ded37564d6ccc032bce5b0f85a862777b483c29986826,55200ce9c957066abbdebd9e70f40b9601a2b98ea6f0766582abfed388bf989f,235b12a35074cf6062d73acbe6a99fe4835a3392139bd829242afca9d777e801,16a925e76d64db814b30ff8f11cd0ad05db540711b9005148fa2d0f64684a822,COLUMN_UNSEEN,c60a3ab870230986755324a172a1ba84b70e7ddd951cd8140faaf50ca4e0717c,EVALUATION_80PCT,0,True,False
410,H03,10,ENSG00000103381,CPPED1,2,CPPED1-1+CPPED1-2,True,CPPED1,True,True,CPPED1,True,True,bbc8d65910fdb415aeadf8f716bf7e50d0e58425eb19e9ccd18a86411313afc3,2fca3c12dc6d583780e18879c43fd260b9b5b75b4757dc7d0b5abaa72047ba9d,238298d5d31bec130597bdbe022b5e617a7f5fa6e672cd1241d671247a84e480,fe9bd7272aa74251f9c24b7fcccc7502d2ce5ef7f03070f9da1621282d80887b,DONOR_UNSEEN_ONLY,a3a7ba36ae90ebc96d25eabc5b215fc19bce985377a6bdf1fe0a0f3026fb310c,EVALUATION_80PCT,6,True,False
