context,drug,dose_nM,n_cells,dataset_name,role,task_key,dose_cpa,target_perturbed_expression_used_for_selection
A549,Alvespimycin,10.0,114,sciPlex3,source_train,sciPlex3::A549::Alvespimycin::dose_nM=10.0,1.0,False
A549,Alvespimycin,100.0,91,sciPlex3,source_train,sciPlex3::A549::Alvespimycin::dose_nM=100.0,2.0,False
A549,Alvespimycin,1000.0,66,sciPlex3,source_train,sciPlex3::A549::Alvespimycin::dose_nM=1000.0,3.0,False
A549,Alvespimycin,10000.0,61,sciPlex3,source_train,sciPlex3::A549::Alvespimycin::dose_nM=10000.0,4.0,False
A549,Belinostat,10.0,103,sciPlex3,source_train,sciPlex3::A549::Belinostat::dose_nM=10.0,1.0,False
A549,Belinostat,100.0,109,sciPlex3,source_train,sciPlex3::A549::Belinostat::dose_nM=100.0,2.0,False
A549,Belinostat,1000.0,128,sciPlex3,source_train,sciPlex3::A549::Belinostat::dose_nM=1000.0,3.0,False
A549,Belinostat,10000.0,73,sciPlex3,source_train,sciPlex3::A549::Belinostat::dose_nM=10000.0,4.0,False
A549,Dacinostat,10.0,149,sciPlex3,source_train,sciPlex3::A549::Dacinostat::dose_nM=10.0,1.0,False
A549,Dacinostat,100.0,115,sciPlex3,source_train,sciPlex3::A549::Dacinostat::dose_nM=100.0,2.0,False
A549,Dacinostat,1000.0,87,sciPlex3,source_train,sciPlex3::A549::Dacinostat::dose_nM=1000.0,3.0,False
A549,Dacinostat,10000.0,71,sciPlex3,source_train,sciPlex3::A549::Dacinostat::dose_nM=10000.0,4.0,False
A549,Flavopiridol,10.0,98,sciPlex3,source_train,sciPlex3::A549::Flavopiridol::dose_nM=10.0,1.0,False
A549,Flavopiridol,100.0,77,sciPlex3,source_train,sciPlex3::A549::Flavopiridol::dose_nM=100.0,2.0,False
A549,Flavopiridol,1000.0,57,sciPlex3,source_train,sciPlex3::A549::Flavopiridol::dose_nM=1000.0,3.0,False
A549,Flavopiridol,10000.0,64,sciPlex3,source_train,sciPlex3::A549::Flavopiridol::dose_nM=10000.0,4.0,False
