target,source_context,row_kind,n_rows,target_perturbed_expression_rows
K562,RPE1,source_control,11485,0
K562,RPE1,source_train_perturbation,38543,0
K562,hepg2,source_control,4976,0
K562,hepg2,source_train_perturbation,30139,0
K562,jurkat,source_control,12013,0
K562,jurkat,source_train_perturbation,43604,0
RPE1,K562,source_control,10691,0
RPE1,K562,source_train_perturbation,65674,0
RPE1,hepg2,source_control,4976,0
RPE1,hepg2,source_train_perturbation,26808,0
RPE1,jurkat,source_control,12013,0
RPE1,jurkat,source_train_perturbation,37188,0
hepg2,K562,source_control,10691,0
hepg2,K562,source_train_perturbation,67944,0
hepg2,RPE1,source_control,11485,0
hepg2,RPE1,source_train_perturbation,33186,0
hepg2,jurkat,source_control,12013,0
hepg2,jurkat,source_train_perturbation,39258,0
jurkat,K562,source_control,10691,0
jurkat,K562,source_train_perturbation,65685,0
jurkat,RPE1,source_control,11485,0
jurkat,RPE1,source_train_perturbation,31315,0
jurkat,hepg2,source_control,4976,0
jurkat,hepg2,source_train_perturbation,26443,0
