dataset,modality,fold_id,heldout_context,source_contexts,split,setting,context,cell_line,perturbation,n_cells,perturbation_seen_in_training,context_seen_in_training,selected_without_expression_values,in_train_fraction_25,in_train_fraction_50,in_train_fraction_75,in_train_fraction_100
Nadig_two_cellline,CRISPR_gene_knockout_cellline_shift,Nadig_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,GON4L,69,True,False,True,False,False,False,False
Nadig_two_cellline,CRISPR_gene_knockout_cellline_shift,Nadig_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,SKA3,57,False,False,True,False,False,False,False
Nadig_two_cellline,CRISPR_gene_knockout_cellline_shift,Nadig_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,YRDC,96,True,False,True,False,False,False,False
Nadig_two_cellline,CRISPR_gene_knockout_cellline_shift,Nadig_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,DNAJC17,60,False,False,True,False,False,False,False
Nadig_two_cellline,CRISPR_gene_knockout_cellline_shift,Nadig_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,PPIA,51,True,False,True,False,False,False,False
Nadig_two_cellline,CRISPR_gene_knockout_cellline_shift,Nadig_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,UBE2L3,53,True,False,True,False,False,False,False
Nadig_two_cellline,CRISPR_gene_knockout_cellline_shift,Nadig_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,CCT4,87,True,False,True,False,False,False,False
Nadig_two_cellline,CRISPR_gene_knockout_cellline_shift,Nadig_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,GNB1L,55,False,False,True,False,False,False,False
Nadig_two_cellline,CRISPR_gene_knockout_cellline_shift,Nadig_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,DHX37,124,True,False,True,False,False,False,False
Nadig_two_cellline,CRISPR_gene_knockout_cellline_shift,Nadig_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,NAA38,96,False,False,True,False,False,False,False
Nadig_two_cellline,CRISPR_gene_knockout_cellline_shift,Nadig_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,NAA50,65,True,False,True,False,False,False,False
Nadig_two_cellline,CRISPR_gene_knockout_cellline_shift,Nadig_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,MRPL41,52,True,False,True,False,False,False,False
Nadig_two_cellline,CRISPR_gene_knockout_cellline_shift,Nadig_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,BPTF,242,True,False,True,False,False,False,False
Nadig_two_cellline,CRISPR_gene_knockout_cellline_shift,Nadig_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,MRPL38,55,False,False,True,False,False,False,False
Nadig_two_cellline,CRISPR_gene_knockout_cellline_shift,Nadig_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,MNAT1,69,True,False,True,False,False,False,False
Nadig_two_cellline,CRISPR_gene_knockout_cellline_shift,Nadig_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,RCCD1,52,False,False,True,False,False,False,False
Nadig_two_cellline,CRISPR_gene_knockout_cellline_shift,Nadig_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,COPS2,78,True,False,True,False,False,False,False
Nadig_two_cellline,CRISPR_gene_knockout_cellline_shift,Nadig_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,GINS1,86,True,False,True,False,False,False,False
Nadig_two_cellline,CRISPR_gene_knockout_cellline_shift,Nadig_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,WDR33,63,True,False,True,False,False,False,False
Nadig_two_cellline,CRISPR_gene_knockout_cellline_shift,Nadig_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,MKRN1,73,False,False,True,False,False,False,False
Nadig_two_cellline,CRISPR_gene_knockout_cellline_shift,Nadig_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,PNN,170,True,False,True,False,False,False,False
Nadig_two_cellline,CRISPR_gene_knockout_cellline_shift,Nadig_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,EHMT2,101,True,False,True,False,False,False,False
Nadig_two_cellline,CRISPR_gene_knockout_cellline_shift,Nadig_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,PPP6C,459,True,False,True,False,False,False,False
Nadig_two_cellline,CRISPR_gene_knockout_cellline_shift,Nadig_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,ARMC7,66,True,False,True,False,False,False,False
Nadig_two_cellline,CRISPR_gene_knockout_cellline_shift,Nadig_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,RBM15,75,True,False,True,False,False,False,False
Nadig_two_cellline,CRISPR_gene_knockout_cellline_shift,Nadig_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,INO80C,52,False,False,True,False,False,False,False
Nadig_two_cellline,CRISPR_gene_knockout_cellline_shift,Nadig_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,LSM12,69,True,False,True,False,False,False,False
Nadig_two_cellline,CRISPR_gene_knockout_cellline_shift,Nadig_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,ENY2,77,False,False,True,False,False,False,False
