perturbation,guide_id,n_guide_cells,eligible_guide,target_split,cell_count_quartile,guide_count_stratum,selection_hash,task_id,target_cluster_id,truth_access_phase,primary_task_unit,cell_cycle_phase_is_primary_context,selection_used_expression_matrix_or_truth_effect
ACLY,ACLY_1,263,True,supervised_train,Q3,TWO_GUIDES,8c9251bf680d560cc5b986f5742c33da92ec8d32e3b02f889a4eb47772dc43f8,E180::ACLY::ACLY_1,ACLY,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
ACLY,ACLY_3,332,True,supervised_train,Q3,TWO_GUIDES,8c9251bf680d560cc5b986f5742c33da92ec8d32e3b02f889a4eb47772dc43f8,E180::ACLY::ACLY_3,ACLY,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
ACO2,ACO2_1,347,True,prospective_evaluation,Q4,THREE_PLUS_GUIDES,54ec86c359654eede2b79c9de11d07942d4722d724ae887e3fd6f963bd1caf4a,E180::ACO2::ACO2_1,ACO2,F4_EVALUATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
ACO2,ACO2_2,242,True,prospective_evaluation,Q4,THREE_PLUS_GUIDES,54ec86c359654eede2b79c9de11d07942d4722d724ae887e3fd6f963bd1caf4a,E180::ACO2::ACO2_2,ACO2,F4_EVALUATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
ACO2,ACO2_3,489,True,prospective_evaluation,Q4,THREE_PLUS_GUIDES,54ec86c359654eede2b79c9de11d07942d4722d724ae887e3fd6f963bd1caf4a,E180::ACO2::ACO2_3,ACO2,F4_EVALUATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
ARID2,ARID2_1,519,True,conformal_calibration,Q4,THREE_PLUS_GUIDES,d8aa05c20c8ac1f3f476c54da566abcee83d1f5b0c65c02859dde8886c9b6352,E180::ARID2::ARID2_1,ARID2,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
ARID2,ARID2_2,497,True,conformal_calibration,Q4,THREE_PLUS_GUIDES,d8aa05c20c8ac1f3f476c54da566abcee83d1f5b0c65c02859dde8886c9b6352,E180::ARID2::ARID2_2,ARID2,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
ARID2,ARID2_3,293,True,conformal_calibration,Q4,THREE_PLUS_GUIDES,d8aa05c20c8ac1f3f476c54da566abcee83d1f5b0c65c02859dde8886c9b6352,E180::ARID2::ARID2_3,ARID2,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
ATP11A,ATP11A_2,636,True,supervised_train,Q4,TWO_GUIDES,25dd2a137daecea215c03fc29de3dc17d6ffdb5a6728a26f9d8cc1fc89374c20,E180::ATP11A::ATP11A_2,ATP11A,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
ATP11A,ATP11A_3,531,True,supervised_train,Q4,TWO_GUIDES,25dd2a137daecea215c03fc29de3dc17d6ffdb5a6728a26f9d8cc1fc89374c20,E180::ATP11A::ATP11A_3,ATP11A,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_pooled_control,False,False
ATP12A,ATP12A_1,167,True,prospective_evaluation,Q3,THREE_PLUS_GUIDES,c0443a76845c9a567f5c8753a4352ecf21e1efa11cb732b32f8814f5e1d5a1eb,E180::ATP12A::ATP12A_1,ATP12A,F4_EVALUATION_ONLY,guide_replicate_effect_vs_pooled_control,False,False
