target_selection_rank,ensembl_core,perturbed_gene_name,n_identity_complete_guides,eligible_guide_ids,expression_axis_id_unique,expression_axis_gene_name,target_name_matches_expression_axis,expression_axis_name_unique,scgpt_token,in_scgpt_vocabulary,eligible_target,target_selection_sha256,column_unseen_sha256,target_stratum,perturbation_support_contexts_pretruth,selected_from_label_free_identity_availability_without_abundance_or_expression
1,ENSG00000128965,CHAC1,2,CHAC1-1+CHAC1-2,True,CHAC1,True,True,CHAC1,True,True,0000b18fc1cbb9c36ed20fa39ed5d0f900e50632ec494ea6471a0429738ec9ac,ed9841705a55d2c73b21d8d40d7429ef8af93e3f75ae41cf0a891a5211dec318,DONOR_UNSEEN_ONLY,6,True
2,ENSG00000169241,SLC50A1,2,SLC50A1-1+SLC50A1-2,True,SLC50A1,True,True,SLC50A1,True,True,0012012363b499b6d0b64d66b409652831e340520e67ddc191a861bc91170aef,1e25afcd5459c65d4176a7dc010eaa044cb039685094542e036ed15be19ed40a,COLUMN_UNSEEN,0,True
3,ENSG00000133067,LGR6,2,LGR6-1+LGR6-2,True,LGR6,True,True,LGR6,True,True,001f1fa80402e031786257618107ac6353786ecafc67c993fac360371d02cffd,f352592e4272b0cf28f844f2363d837705963b25ee7e887c2a8b14c750c3c6de,DONOR_UNSEEN_ONLY,6,True
4,ENSG00000110324,IL10RA,2,IL10RA-1+IL10RA-2,True,IL10RA,True,True,IL10RA,True,True,002dd23df868d2c6213b44e54972b6ec15eec57a3e76ea594fe1e66243800469,a0fff5d733d3f5768daea7cd4aff3a47eb32dcf157c8c5772876fa65b2f1723b,DONOR_UNSEEN_ONLY,6,True
5,ENSG00000130779,CLIP1,2,CLIP1-1+CLIP1-2,True,CLIP1,True,True,CLIP1,True,True,002f9afd9a69fc597d5d87642a7eb632672beee73c5076aa28938cf10df80b3f,c248083d35466b54a5f2fe073d9e9561221ad5fdbfc9590ba8e5eda92862a3b3,DONOR_UNSEEN_ONLY,6,True
6,ENSG00000119698,PPP4R4,2,PPP4R4-1+PPP4R4-2,True,PPP4R4,True,True,PPP4R4,True,True,0030cfd715895a260e6e7a45863c5ccb92f0c0d6cb82875009ec163645f2773b,8689ef9495321cc01b29c5cbe67bdf9e9e4762df41a7de06af4766d1dabf7b4c,DONOR_UNSEEN_ONLY,6,True
7,ENSG00000085449,WDFY1,2,WDFY1-1+WDFY1-2,True,WDFY1,True,True,WDFY1,True,True,00326846e10dd67c8060213e78b203cc971d420111342dd9742eb36ce8871c9e,ce8336394dfacfa7b06dd88a5d118f3c2e0bbfbbe0333c280f62695af6c4946d,DONOR_UNSEEN_ONLY,6,True
8,ENSG00000184508,HDDC3,2,HDDC3-1+HDDC3-2,True,HDDC3,True,True,HDDC3,True,True,00356ebf4f59edaf5e1c87324aca09e6c9a450b84d78de9653144a551595b9a4,d27e31668d02c82267ceabc1858c601e63669f7dc8fb4962383c92288b594799,DONOR_UNSEEN_ONLY,6,True
9,ENSG00000169764,UGP2,2,UGP2-1+UGP2-2,True,UGP2,True,True,UGP2,True,True,003c3398b946acb7e1e57f64f3af7257db9d84e39bcf4926ee8a4392a4798faf,fca6548c3525e0093a8f4bad2e29a39c6aa405d0b8f967a489b156b0848be7c5,DONOR_UNSEEN_ONLY,6,True
10,ENSG00000118600,RXYLT1,2,RXYLT1-1+RXYLT1-2,True,RXYLT1,True,True,RXYLT1,True,True,003c4f8d31b7519ed2eacb735694ec147286bcda6932689bea38a2ed683b617d,e4a3ef18f3eb549a869ceb7b295aa2a32bac973b7c864938e80d35a72db6e325,DONOR_UNSEEN_ONLY,6,True
11,ENSG00000188243,COMMD6,2,COMMD6-1+COMMD6-2,True,COMMD6,True,True,COMMD6,True,True,003d80367911d97180c713b6393f041f62ea49f615e5af93a06aff478ef23512,9d66f3b370134c0ba7a47061f0b3855f5424e39f3daf13d840b38aa299695b0c,DONOR_UNSEEN_ONLY,6,True
12,ENSG00000136280,CCM2,2,CCM2-1+CCM2-2,True,CCM2,True,True,CCM2,True,True,0040cd5f8a3b8ea7f13631b51d83a988841ad0432c21641d7fd1310048f0e004,02e0cbada710092d4a48518c9575064cf6a89b92dc25c3da95e8a6864e2c1545,COLUMN_UNSEEN,0,True
13,ENSG00000167397,VKORC1,2,VKORC1-1+VKORC1-2,True,VKORC1,True,True,VKORC1,True,True,00419a94a3aa66fc84937c1c7501fbdfc39e563bcfaaff0b75734fbd841e4ba1,e458e0282630dc7642c10a485329cc324869ed08ec498b4c1284c841a9e47b94,DONOR_UNSEEN_ONLY,6,True
14,ENSG00000124275,MTRR,2,MTRR-1+MTRR-2,True,MTRR,True,True,MTRR,True,True,004613e7fa1d2cb0180788b6c40d97ff4bf43bd6ac33aa81fb90c52c44928cec,cc1b88d31e7b65630215d7c3cbe6f4b123b9a07da071f718623ebc6f83eaecdd,DONOR_UNSEEN_ONLY,6,True
15,ENSG00000196781,TLE1,2,TLE1-1+TLE1-2,True,TLE1,True,True,TLE1,True,True,005a4a55b3a526530f6fad135bf2f8be89968925d8e646508dea3e3e3541ef2b,5adfb18b9835a31bf3e18c6b70c60c4446124d321efde5e5d0ad3327fc638945,DONOR_UNSEEN_ONLY,6,True
16,ENSG00000117385,P3H1,2,P3H1-1+P3H1-2,True,P3H1,True,True,P3H1,True,True,0065b1e5090fd5f7cdfd7d3527292812fdde2f6e591705d70b54ebb4410fa9d4,29aff2a7574fb338b09f3d00ae569a65cc7b28d65f174e899e744d849cb8344f,COLUMN_UNSEEN,0,True
17,ENSG00000007944,MYLIP,2,MYLIP-1+MYLIP-2,True,MYLIP,True,True,MYLIP,True,True,0087db81f29f26b00d196862425fa2d4cc29bd509e0303ade94397e4af4efafb,ac7f0fb196125ed07b733b1837984a497e73e06c67e0215a47c6f60dc7812a33,DONOR_UNSEEN_ONLY,6,True
18,ENSG00000133246,PRAM1,2,PRAM1-1+PRAM1-2,True,PRAM1,True,True,PRAM1,True,True,008cd5b2845e94d8ac9d9ba35f4007c7273fa5f85825ee49438951ee8b775a21,bf08da92c75b92a56c2be4be81036e5d9666709dd846961b67b550c0657317f4,DONOR_UNSEEN_ONLY,6,True
19,ENSG00000061273,HDAC7,2,HDAC7-1+HDAC7-2,True,HDAC7,True,True,HDAC7,True,True,00a55137ba1327e15b93ea0537255a922d8ef95a41d9806a69b7587b4caa24d5,30718ae7f56ee4d78420f5b2dc36c0db2a3c63a5c36860020d9356b2d85b1d9e,DONOR_UNSEEN_ONLY,6,True
20,ENSG00000104881,PPP1R13L,2,PPP1R13L-1+PPP1R13L-2,True,PPP1R13L,True,True,PPP1R13L,True,True,00a879deac0ecefeb2278fb3811eff0ac8cf559448b7fd99afa06542aa188bd5,7b6a390a9b1a987772ba6081d64848d6994ec50fbad35d3ab90fa3fdbcaafeb2,DONOR_UNSEEN_ONLY,6,True
21,ENSG00000105255,FSD1,2,FSD1-1+FSD1-2,True,FSD1,True,True,FSD1,True,True,00b1ff84311bc3d218612a02b7d2c15839893dc84601e1d67df0a7f75c0cd917,2b74540fdc247a4cd33dc68d076a842b8e67387453bb7af77bf8bd89ca0e307d,COLUMN_UNSEEN,0,True
22,ENSG00000163666,HESX1,2,HESX1-1+HESX1-2,True,HESX1,True,True,HESX1,True,True,00c20b6de8e13fe41fc8b57946639a5497f5164270ad1c8d6dbeffde6859c6fc,c6796a8a789352e7a6acceed2f83a7a55f003a1c38e4868d32040e16e94d6b09,DONOR_UNSEEN_ONLY,6,True
23,ENSG00000128585,MKLN1,2,MKLN1-1+MKLN1-2,True,MKLN1,True,True,MKLN1,True,True,00ce9c8ca2e7fc6aac216017ce79caf8062c97fa91e04c0699b97b09ff955d32,dd5f96cd4b19c330968f642dd05d5a62c83f8caef3c015f64c090572100a488d,DONOR_UNSEEN_ONLY,6,True
24,ENSG00000205744,DENND1C,2,DENND1C-1+DENND1C-2,True,DENND1C,True,True,DENND1C,True,True,00d6a6f0e120b70a1182707eabb37ac350bc17959356a7a0d1a5eb1ab1cebc26,84b9fa53bc724875e80328212fde1053b0d0b2a0ba6be2e5181dce8cb6519dc3,DONOR_UNSEEN_ONLY,6,True
25,ENSG00000198915,RASGEF1A,2,RASGEF1A-1+RASGEF1A-2,True,RASGEF1A,True,True,RASGEF1A,True,True,00db68e0c85747521997c93131f257ec091bdb473b386f7b5d0647c23898ad75,fce525cbbc1a644cc6e2829a6eded19807fd783eda0486cab2196e34e89e488e,DONOR_UNSEEN_ONLY,6,True
26,ENSG00000007516,BAIAP3,2,BAIAP3-1+BAIAP3-2,True,BAIAP3,True,True,BAIAP3,True,True,00ddc91b0551f5f49f30d32e668073c55f477df09362214d07124a24cc245504,e5ca2752c3043cf81454c46058e1c5dc6c48082ed211156788f3bd03941b1990,DONOR_UNSEEN_ONLY,6,True
27,ENSG00000185189,NRBP2,2,NRBP2-1+NRBP2-2,True,NRBP2,True,True,NRBP2,True,True,010339fe39af6a9544050f14768fc7b46ae85bb29908dccb5f1e58c105cb71cc,299adf2773b75a3e2f0765bb5d7da4f9efb762eabb0924f45fc78160e47075e3,COLUMN_UNSEEN,0,True
28,ENSG00000008283,CYB561,2,CYB561-1+CYB561-2,True,CYB561,True,True,CYB561,True,True,0119a3111363fa7facfdf87b6bb643cc6ec78b9aa39c19760819765bf81a0e44,dbe65630a56d02468e20a38f790204a0890853027d882d291dff5d48b6933dc7,DONOR_UNSEEN_ONLY,6,True
29,ENSG00000158869,FCER1G,2,FCER1G-1+FCER1G-2,True,FCER1G,True,True,FCER1G,True,True,011b8e7994155cc0c71b52d4510364564ca860ad50da4feb80f967af73c7f49a,0130d3ab8bcf02faf68efd225f09657085ea1b040de7d2cd8cfe8550fe2fe96e,COLUMN_UNSEEN,0,True
30,ENSG00000085276,MECOM,2,MECOM-1+MECOM-2,True,MECOM,True,True,MECOM,True,True,011fc4dd6da523f3b397e1fcfa8080f98a74974db6b26003f253f80e80a0d4d1,c0fbad116022d7fdc621349065c1b96f14b4db3abb47fea21e849e855c8878e1,DONOR_UNSEEN_ONLY,6,True
31,ENSG00000090857,PDPR,2,PDPR-1+PDPR-2,True,PDPR,True,True,PDPR,True,True,0122774107d6e0192cfe05a420bb717105e531c6dd38d8a9a8cb1fee2bc18e0e,2357fa9997b8293c108a8b5b5de9bcc22cfdec97eabbf1c11ffe70efeb838d0d,COLUMN_UNSEEN,0,True
32,ENSG00000185963,BICD2,2,BICD2-1+BICD2-2,True,BICD2,True,True,BICD2,True,True,0128cb45e2aa1af7cee93043aeb55e80cd1158575f52e1824908513737dc9338,732179c19702561511f948ede0c4988d9f1a72d638e762d8e25d246a42d0349c,DONOR_UNSEEN_ONLY,6,True
33,ENSG00000124568,SLC17A1,2,SLC17A1-1+SLC17A1-2,True,SLC17A1,True,True,SLC17A1,True,True,012c07212af04014dba31431e81904a4d461ae7d5397cc92f2aa8508ab4b68e7,96bc569a710c6e563eeba91069cb16e36004ffd4f0c97bc8b381f73b35d69688,DONOR_UNSEEN_ONLY,6,True
34,ENSG00000140463,BBS4,2,BBS4-1+BBS4-2,True,BBS4,True,True,BBS4,True,True,014d54b4f51ccfa294b511b7bc3ddc7f9b5a0564983607de6207f93b5b8beaed,fb8884d56bf151075dc752cae89a26430b6e118e50ef5b04c20f0cee34377641,DONOR_UNSEEN_ONLY,6,True
35,ENSG00000161179,YDJC,2,YDJC-1+YDJC-2,True,YDJC,True,True,YDJC,True,True,0155891df9c71e6d975eec802d7d5cfba241c1fe1ce7c8b6d0f0d303b5207143,b7c69c477a4729c1f89aa8da5b390ea54aae812936112e49524055ef5039929f,DONOR_UNSEEN_ONLY,6,True
36,ENSG00000224383,PRR29,2,PRR29-1+PRR29-2,True,PRR29,True,True,PRR29,True,True,015a8a9f71128ff41e7b8ca8dcb74710569051f33af953dae19578c8b59fa3b7,09504700b097d8850eb918587a06f5f5afc8d04b2c1256df0116962082478db7,COLUMN_UNSEEN,0,True
37,ENSG00000101298,SNPH,2,SNPH-1+SNPH-2,True,SNPH,True,True,SNPH,True,True,0168ddf58ecf52042539411be618760e25e004f5d56f7867d60a9b64f713fae7,1376572832c3b7163c2d4626648ea14e1e6e11779371286d2dc5121e7ffce122,COLUMN_UNSEEN,0,True
38,ENSG00000099203,TMED1,2,TMED1-1+TMED1-2,True,TMED1,True,True,TMED1,True,True,016d57431b7bb6339bcbcb5b19abe453813a8a2a3c802d82484546eaf7c2a5c2,6c2ab3c011f805de96364eb5886d2f49dc15f05d1206db106b3ff89cd225f94f,DONOR_UNSEEN_ONLY,6,True
39,ENSG00000118971,CCND2,2,CCND2-1+CCND2-2,True,CCND2,True,True,CCND2,True,True,017e5bf501c6578ef9d5b28ced138b2e5a4741a8070c43c1035d67985860d179,84f95592e78cfb4e88961c0cfa1ab7fdbcf5d40fa1c0bb692887aca46314fd1d,DONOR_UNSEEN_ONLY,6,True
40,ENSG00000111011,RSRC2,2,RSRC2-1+RSRC2-2,True,RSRC2,True,True,RSRC2,True,True,0181fdb5ea3ba4fcc4eb94141c5b9870e1c114be592a3a21d116fe7150afada1,63b409e445a2ff1b740ce06052b689cad87c8e5281f172179b1eee5a5f8058a6,DONOR_UNSEEN_ONLY,6,True
41,ENSG00000173264,GPR137,2,GPR137-1+GPR137-2,True,GPR137,True,True,GPR137,True,True,018a587f232d2335ee2cbd4b6f6372410b363bfb477ce20a2dd49da40ed139c3,670f2ea3de00639f734c9fb2e07bf20adabe29cdd3f2800d4a4ee963fcac70a7,DONOR_UNSEEN_ONLY,6,True
42,ENSG00000145623,OSMR,2,OSMR-1+OSMR-2,True,OSMR,True,True,OSMR,True,True,018db57d12b97d33180f8120505d4d5e81759d1434a2bd160c78d4c72a2a4c4e,b2c4e57bc4d4b4f9541dac7f72dc6a07ee496d9ef7fda2c25fe84743f3df1623,DONOR_UNSEEN_ONLY,6,True
43,ENSG00000050748,MAPK9,2,MAPK9-1+MAPK9-2,True,MAPK9,True,True,MAPK9,True,True,019fcf6f4715f6aa5d332514fbc68c0bca484f6edcc36f91371c82e7f1e69c21,db0aa18b7b14d946efeb0974265a3c2bc62d6fdcadc2eab571760d0d13e8e079,DONOR_UNSEEN_ONLY,6,True
44,ENSG00000103150,MLYCD,2,MLYCD-1+MLYCD-2,True,MLYCD,True,True,MLYCD,True,True,01ba036f8dc492d6023cee6bd7964fc48a7ae91dec0744c739acce10aa12d229,3cb33ee56a1bda898f53a91c65c498bef6178508136c3fa97672d710cd039fba,DONOR_UNSEEN_ONLY,6,True
45,ENSG00000170836,PPM1D,2,PPM1D-1+PPM1D-2,True,PPM1D,True,True,PPM1D,True,True,01c3d263b88f225184d5169d37f451d37b78f28c3ebb74a768d36afaf54b875b,4558cd52836fcccc2ac61236feba93b40fe836f19cad119c97f7046859331ae6,DONOR_UNSEEN_ONLY,6,True
46,ENSG00000170027,YWHAG,2,YWHAG-1+YWHAG-2,True,YWHAG,True,True,YWHAG,True,True,02033745c7d733e880028e7e25e92ae4e1f1df6b3bf30cc8afa9f2199dc29550,8b7c35b5c59f17e2ea0b03f830d6ee42bcdfe79edf22f2e2d92e0fdc565ccfcc,DONOR_UNSEEN_ONLY,6,True
47,ENSG00000176399,DMRTA1,2,DMRTA1-1+DMRTA1-2,True,DMRTA1,True,True,DMRTA1,True,True,020842f28d90715ff9dbee5239678ae9356a196220e17f34c38440e9d802d060,e686db4842b0aa4231a7dd99425b0a9ee3978b442a100f28d023e64f4c241fc2,DONOR_UNSEEN_ONLY,6,True
48,ENSG00000120254,MTHFD1L,2,MTHFD1L-1+MTHFD1L-2,True,MTHFD1L,True,True,MTHFD1L,True,True,0210384d7f474d1bc4d9a82c66c10157284adea6c9f62baaf617435ecea4123b,457ecb553dcdc5e4f862985d2ac03803b2944bf12bf8bb9df23adff3b404bdf9,DONOR_UNSEEN_ONLY,6,True
49,ENSG00000178761,FAM219B,2,FAM219B-1+FAM219B-2,True,FAM219B,True,True,FAM219B,True,True,0213b183759b85ff8c869227c62d580a5cbc6816f968279ab90d508451e0c642,9451dcf8963b1e0e82e02b190b9367e276eca7335169430dbf2e37821dce4e12,DONOR_UNSEEN_ONLY,6,True
