experiment,risk_score_name,target_error,n_tasks,spearman,top20_k,top20_mean_error,top20_enrichment
Norman_combo_formal,risk_norman_formal,error_mean_single_rmse,125,0.36437480798771116,25,0.05509229569954081,1.2007735467200855
Norman_combo_formal,risk_norman_formal,error_sum_single_rmse,125,0.615231950844854,25,0.06040396849576093,1.2855482970376986
Norman_combo_formal,risk_mean_single_magnitude,error_mean_single_rmse,125,0.36437480798771116,25,0.05509229569954081,1.2007735467200855
Norman_combo_formal,risk_mean_single_magnitude,error_sum_single_rmse,125,0.615231950844854,25,0.06040396849576093,1.2855482970376986
Norman_combo_formal,risk_sum_single_magnitude,error_mean_single_rmse,125,0.36437480798771116,25,0.05509229569954081,1.2007735467200855
Norman_combo_formal,risk_sum_single_magnitude,error_sum_single_rmse,125,0.615231950844854,25,0.06040396849576093,1.2855482970376986
Norman_combo_formal,risk_additive_disagreement,error_mean_single_rmse,125,0.36437480798771116,25,0.05509229569954081,1.2007735467200855
Norman_combo_formal,risk_additive_disagreement,error_sum_single_rmse,125,0.615231950844854,25,0.06040396849576093,1.2855482970376986
Norman_combo_formal,risk_missing_single,error_mean_single_rmse,125,,25,0.04937738198213879,1.0762131680589857
Norman_combo_formal,risk_missing_single,error_sum_single_rmse,125,,25,0.05192379637505453,1.1050689162975782
