experiment,n_train,n_test
official_train_to_test,602,255
internal_cell_type_holdout::B cells,587,15
internal_cell_type_holdout::Myeloid cells,587,15
internal_cell_type_holdout::NK cells,458,144
internal_cell_type_holdout::T cells CD4+,458,144
internal_cell_type_holdout::T cells CD8+,462,140
internal_cell_type_holdout::T regulatory cells,458,144
internal_compound_holdout::Idelalisib,596,6
internal_compound_holdout::Crizotinib,596,6
internal_compound_holdout::Porcn Inhibitor III,596,6
internal_compound_holdout::Foretinib,596,6
internal_compound_holdout::LDN 193189,596,6
internal_compound_holdout::CHIR-99021,596,6
internal_compound_holdout::Dactolisib,596,6
internal_compound_holdout::O-Demethylated Adapalene,596,6
internal_compound_holdout::MLN 2238,596,6
internal_compound_holdout::Penfluridol,596,6
internal_compound_holdout::Palbociclib,596,6
internal_compound_holdout::Linagliptin,596,6
internal_compound_holdout::R428,596,6
internal_compound_holdout::Oprozomib (ONX 0912),597,5
internal_compound_holdout::Alvocidib,597,5
internal_compound_holdout::Mometasone Furoate,598,4
internal_compound_holdout::Vorinostat,598,4
internal_compound_holdout::Oxybenzone,598,4
internal_compound_holdout::ABT-199 (GDC-0199),598,4
internal_compound_holdout::Trametinib,598,4
internal_compound_holdout::Selumetinib,598,4
internal_compound_holdout::Dasatinib,598,4
internal_compound_holdout::Flutamide,598,4
internal_compound_holdout::Cabozantinib,598,4
internal_compound_holdout::Lamivudine,598,4
internal_compound_holdout::Ceritinib,598,4
internal_compound_holdout::Bosutinib,598,4
internal_compound_holdout::Vandetanib,598,4
internal_compound_holdout::Clotrimazole,598,4
internal_compound_holdout::IN1451,598,4
internal_compound_holdout::Proscillaridin A;Proscillaridin-A,598,4
internal_compound_holdout::Canertinib,598,4
internal_compound_holdout::BMS-387032,598,4
internal_compound_holdout::IMD-0354,598,4
internal_compound_holdout::MK-5108,598,4
internal_compound_holdout::LY2090314,598,4
internal_compound_holdout::Methotrexate,598,4
internal_compound_holdout::Tacalcitol,598,4
internal_compound_holdout::Colchicine,598,4
internal_compound_holdout::TL_HRAS26,598,4
internal_compound_holdout::Masitinib,598,4
internal_compound_holdout::TIE2 Kinase Inhibitor,598,4
internal_compound_holdout::Ixabepilone,598,4
internal_compound_holdout::CEP-18770 (Delanzomib),598,4
internal_compound_holdout::RG7112,598,4
internal_compound_holdout::Disulfiram,598,4
internal_compound_holdout::Lapatinib,598,4
internal_compound_holdout::Raloxifene,598,4
internal_compound_holdout::Amiodarone,598,4
internal_compound_holdout::RVX-208,598,4
internal_compound_holdout::Ketoconazole,598,4
internal_compound_holdout::CC-401,598,4
internal_compound_holdout::HYDROXYUREA,598,4
internal_compound_holdout::BAY 61-3606,598,4
internal_compound_holdout::Navitoclax,598,4
internal_compound_holdout::Decitabine,598,4
internal_compound_holdout::Prednisolone,598,4
internal_compound_holdout::Tamatinib,598,4
internal_compound_holdout::Tosedostat,598,4
internal_compound_holdout::GSK256066,598,4
internal_compound_holdout::MGCD-265,598,4
internal_compound_holdout::AZD-8330,598,4
internal_compound_holdout::RN-486,598,4
internal_compound_holdout::GW843682X,598,4
internal_compound_holdout::AZD4547,598,4
internal_compound_holdout::Tivozanib,598,4
