dataset_name,fold_id,split,task_key,context,perturbation,perturbation_class,source_records_csv
adamson,1,test,adamson::CCND3+ctrl,GEARS_single_heldout,CCND3+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/tables/PREDICTION_RECORDS.csv
adamson,1,test,adamson::DAD1+ctrl,GEARS_single_heldout,DAD1+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/tables/PREDICTION_RECORDS.csv
adamson,1,test,adamson::DERL2+ctrl,GEARS_single_heldout,DERL2+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/tables/PREDICTION_RECORDS.csv
adamson,1,test,adamson::NEDD8+ctrl,GEARS_single_heldout,NEDD8+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/tables/PREDICTION_RECORDS.csv
adamson,1,test,adamson::TIMM23+ctrl,GEARS_single_heldout,TIMM23+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/tables/PREDICTION_RECORDS.csv
adamson,1,test,adamson::UFM1+ctrl,GEARS_single_heldout,UFM1+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/tables/PREDICTION_RECORDS.csv
adamson,1,test,adamson::YIPF5+ctrl,GEARS_single_heldout,YIPF5+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/tables/PREDICTION_RECORDS.csv
adamson,2,test,adamson::COPB1+ctrl,GEARS_single_heldout,COPB1+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/tables/PREDICTION_RECORDS.csv
adamson,2,test,adamson::EIF2AK3+ctrl,GEARS_single_heldout,EIF2AK3+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/tables/PREDICTION_RECORDS.csv
adamson,2,test,adamson::FECH+ctrl,GEARS_single_heldout,FECH+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/tables/PREDICTION_RECORDS.csv
adamson,2,test,adamson::PDIA6+ctrl,GEARS_single_heldout,PDIA6+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/tables/PREDICTION_RECORDS.csv
adamson,2,test,adamson::PSMD12+ctrl,GEARS_single_heldout,PSMD12+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/tables/PREDICTION_RECORDS.csv
adamson,2,test,adamson::UFM1+ctrl,GEARS_single_heldout,UFM1+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/tables/PREDICTION_RECORDS.csv
adamson,2,test,adamson::YIPF5+ctrl,GEARS_single_heldout,YIPF5+ctrl,gene_perturbation_like,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/tables/PREDICTION_RECORDS.csv
