perturbation,genes,combo_size,available_single_count,missing_single_count,missing_genes,n_cells,predicted_l2,true_l2_diagnostic,error_single_additive_rmse,risk_missing_single,risk_combo_size,risk_predicted_magnitude,risk_norman_combo_smoke
AHR+FEV,AHR+FEV,2,2,0,,120,0.8876333580366808,1.9754430090232933,0.08375544972044138,0.0,0.0,0.13631400117197576,0.13631400117197576
AHR+KLF1,AHR+KLF1,2,2,0,,120,0.6794513867224893,1.1585174050357634,0.04873331359037778,0.0,0.0,-0.5759533343484843,-0.5759533343484843
BAK1+BCL2L11,BAK1+BCL2L11,2,2,0,,120,0.4424116008528775,0.548979603352844,0.02769867235999876,0.0,0.0,-1.386953900957969,-1.386953900957969
BAK1+KLF1,BAK1+KLF1,2,2,0,,120,0.6226336528582823,0.8689717060604586,0.03234163444943315,0.0,0.0,-0.7703477655967707,-0.7703477655967707
BAK1+TMSB4X,BAK1+TMSB4X,2,2,0,,120,0.44164547569240126,0.6062963253562859,0.030101545026236118,0.0,0.0,-1.3895750978045684,-1.3895750978045684
BCL2L11+TGFBR2,BCL2L11+TGFBR2,2,2,0,,120,0.4177738138796668,0.5579852311010809,0.02704436217168853,0.0,0.0,-1.4712488606499625,-1.4712488606499625
BPGM+SAMD1,BPGM+SAMD1,2,2,0,,120,0.7538593546898074,1.0714020927707564,0.039487014177000485,0.0,0.0,-0.32137622207017164,-0.32137622207017164
BPGM+ZBTB1,BPGM+ZBTB1,2,2,0,,120,0.7379443343343461,1.2005895165183371,0.04525940522971783,0.0,0.0,-0.37582737877590844,-0.37582737877590844
CBFA2T3+FEV,CBFA2T3+FEV,2,2,0,,120,0.6847630443608713,1.8085644864578185,0.08662679913755097,0.0,0.0,-0.5577801937570859,-0.5577801937570859
CBFA2T3+POU3F2,CBFA2T3+POU3F2,2,2,0,,120,0.6959458043906049,1.4841908513601119,0.0646488082949142,0.0,0.0,-0.5195198456594017,-0.5195198456594017
CBFA2T3+PRDM1,CBFA2T3+PRDM1,2,2,0,,106,0.8946588703729771,1.8432425949722497,0.07691192689156176,0.0,0.0,0.1603508710356381,0.1603508710356381
CBL+CNN1,CBL+CNN1,2,2,0,,120,0.7695804049273094,1.5056758100626988,0.06289992474858026,0.0,0.0,-0.2675887087059654,-0.2675887087059654
CBL+PTPN12,CBL+PTPN12,2,2,0,,120,0.7620663284562229,1.3016260192327762,0.04827556080496287,0.0,0.0,-0.29329713673732644,-0.29329713673732644
CBL+PTPN9,CBL+PTPN9,2,2,0,,120,0.7185706021288695,1.2477437928679502,0.04817541818043676,0.0,0.0,-0.4421120648607362,-0.4421120648607362
CBL+TGFBR2,CBL+TGFBR2,2,2,0,,120,0.5272906660278197,0.917362877687367,0.040599834927744334,0.0,0.0,-1.0965513016743762,-1.0965513016743762
CBL+UBASH3A,CBL+UBASH3A,2,2,0,,64,0.593394542971367,1.0477880292303658,0.0473990970791609,0.0,0.0,-0.8703855486990938,-0.8703855486990938
CBL+UBASH3B,CBL+UBASH3B,2,2,0,,120,0.657395936732183,1.3882076240132482,0.05783938452229947,0.0,0.0,-0.6514131664325574,-0.6514131664325574
CDKN1A+CDKN1B,CDKN1A+CDKN1B,2,2,0,,120,1.028403960759279,1.2810007345411996,0.031632681362120836,0.0,0.0,0.6179421723718286,0.6179421723718286
CDKN1A+CDKN1C,CDKN1A+CDKN1C,2,2,0,,120,1.0110474878869755,1.3217515182095605,0.034478545069408194,0.0,0.0,0.558559274761876,0.558559274761876
CDKN1B+CDKN1C,CDKN1B+CDKN1C,2,2,0,,107,1.057800237376465,1.3763225651941364,0.03683041845540687,0.0,0.0,0.7185176808472744,0.7185176808472744
CEBPA+CEBPB,CEBPA+CEBPB,2,2,0,,64,2.0059047108936823,2.6755877979162435,0.06612634142955072,0.0,0.0,3.9623329011765978,3.9623329011765978
CEBPA+CEBPE,CEBPA+CEBPE,2,2,0,,120,2.0078961569546174,2.2570481290623157,0.04507633222401284,0.0,0.0,3.969146372922978,3.969146372922978
CEBPA+JUN,CEBPA+JUN,2,2,0,,54,1.5936011000985497,3.0896491428060697,0.10997007865149086,0.0,0.0,2.551690123453536,2.551690123453536
CEBPA+KLF1,CEBPA+KLF1,2,2,0,,120,1.3509579792165847,2.1308041073377306,0.06593799844882194,0.0,0.0,1.7215184803378443,1.7215184803378443
CEBPA+ZC3HAV1,CEBPA+ZC3HAV1,2,2,0,,86,1.3055772282109994,2.3862630295385547,0.07852210276206412,0.0,0.0,1.5662541872839424,1.5662541872839424
CEBPB+CEBPE,CEBPB+CEBPE,2,2,0,,114,1.466728581993758,2.142997118438361,0.061863882029204426,0.0,0.0,2.117612427624209,2.117612427624209
CEBPB+FOSB,CEBPB+FOSB,2,2,0,,71,1.1283066748633523,2.346401446261161,0.09058774603435485,0.0,0.0,0.9597462178277086,0.9597462178277086
CEBPB+JUN,CEBPB+JUN,2,2,0,,59,1.1376118897811,2.2120058405234673,0.0840092067594807,0.0,0.0,0.9915827913507186,0.9915827913507186
