split,condition
train,ctrl
train,CBL+PTPN12
train,CBL+PTPN9
train,CBL+TGFBR2
train,CBL+UBASH3A
train,CBL+UBASH3B
train,CBL+ctrl
train,CDKN1A+CDKN1B
train,CDKN1A+CDKN1C
train,CDKN1A+ctrl
train,CDKN1B+CDKN1C
train,CDKN1B+ctrl
train,CDKN1C+ctrl
train,CEBPA+CEBPB
train,CEBPA+CEBPE
train,CEBPA+JUN
train,CEBPA+KLF1
train,CEBPA+ZC3HAV1
train,CEBPA+ctrl
train,CEBPB+CEBPE
train,CEBPB+FOSB
train,CEBPB+JUN
train,CEBPB+LYL1
train,CEBPB+MAPK1
train,CEBPB+OSR2
train,CEBPB+PTPN12
train,CEBPB+ctrl
train,CEBPE+CNN1
train,CEBPE+ETS2
train,CEBPE+FOSB
train,CEBPE+KLF1
train,CEBPE+PTPN12
train,CEBPE+RUNX1T1
train,CEBPE+SET
train,CEBPE+SPI1
train,CEBPE+ZC3HAV1
train,CEBPE+ctrl
train,CELF2+ctrl
train,CITED1+ctrl
train,CLDN6+KLF1
train,CNN1+ETS2
train,CNN1+MAPK1
train,CNN1+UBASH3A
train,CNN1+UBASH3B
train,CNN1+ctrl
train,CNNM4+ctrl
train,COL1A1+ctrl
train,COL2A1+KLF1
train,COL2A1+ctrl
train,CSRNP1+ctrl
train,DLX2+SNAI1
train,DLX2+ZBTB10
train,DLX2+ctrl
train,DUSP9+ETS2
train,DUSP9+IGDCC3
train,DUSP9+KLF1
train,DUSP9+MAPK1
train,DUSP9+PRTG
train,DUSP9+SNAI1
train,DUSP9+ctrl
train,EGR1+ctrl
train,ETS2+IGDCC3
train,ETS2+IKZF3
train,ETS2+MAP7D1
train,ETS2+MAPK1
train,ETS2+PRTG
train,ETS2+TGFBR2
train,ETS2+ctrl
train,FEV+ISL2
train,FEV+MAP7D1
train,FOSB+IKZF3
train,FOSB+OSR2
train,FOSB+PTPN12
train,FOSB+UBASH3B
train,FOXA1+FOXA3
train,FOXA1+FOXF1
train,FOXA1+FOXL2
train,FOXA1+HOXB9
train,FOXA1+KLF1
train,FOXA3+FOXF1
train,FOXA3+FOXL2
train,FOXA3+HOXB9
train,FOXF1+FOXL2
train,FOXF1+HOXB9
train,FOXF1+ctrl
train,FOXL2+HOXB9
train,FOXL2+MEIS1
train,FOXL2+POU3F2
train,FOXL2+ZNF318
train,FOXL2+ctrl
train,FOXO4+ctrl
train,GLB1L2+ctrl
train,HES7+ctrl
train,HK2+ctrl
train,HNF4A+ctrl
train,HOXA13+ctrl
train,HOXB9+ctrl
train,HOXC13+ZC3HAV1
train,HOXC13+ctrl
train,IER5L+LYL1
train,IGDCC3+MAPK1
train,IGDCC3+PRTG
train,IGDCC3+TGFBR2
train,IGDCC3+ZBTB25
train,IKZF3+MAP2K3
train,IKZF3+MAP2K6
train,IKZF3+MAPK1
train,IRF1+SET
train,IRF1+ctrl
train,ISL2+ctrl
train,KIF18B+KIF2C
train,KIF18B+ctrl
train,KIF2C+ctrl
train,KLF1+MAP2K6
train,KLF1+SET
train,KLF1+TGFBR2
train,KLF1+ctrl
train,KMT2A+ctrl
train,LHX1+ctrl
train,LYL1+ctrl
train,MAML2+ctrl
train,MAP2K3+MAP2K6
train,MAP2K3+SLC38A2
train,MAP2K3+ctrl
train,MAP2K6+SPI1
train,MAP2K6+ctrl
train,MAP4K3+ctrl
train,MAP4K5+ctrl
train,MAP7D1+ctrl
train,MAPK1+PRTG
train,MAPK1+TGFBR2
train,NCL+ctrl
train,NIT1+ctrl
train,OSR2+PTPN12
train,OSR2+UBASH3B
train,PLK4+STIL
train,PLK4+ctrl
train,PRTG+TGFBR2
train,PRTG+ctrl
train,PTPN1+ctrl
train,PTPN12+PTPN9
train,PTPN12+SAMD1
train,PTPN12+SNAI1
train,PTPN12+UBASH3A
train,PTPN12+UBASH3B
train,PTPN12+ZBTB10
train,PTPN12+ZBTB25
train,PTPN9+UBASH3B
train,PTPN9+ctrl
train,RHOXF2+SET
train,RHOXF2+ZBTB25
train,RHOXF2+ctrl
train,RREB1+ctrl
train,RUNX1T1+ctrl
train,S1PR2+SGK1
train,SAMD1+TGFBR2
train,SAMD1+UBASH3B
train,SAMD1+ZBTB1
train,SAMD1+ctrl
train,SET+ctrl
train,SGK1+TBX2
train,SGK1+TBX3
train,SGK1+ctrl
train,SLC38A2+ctrl
train,SLC4A1+ctrl
train,SLC6A9+ctrl
train,SNAI1+UBASH3B
train,SNAI1+ZBTB10
train,TBX2+TBX3
train,TBX2+ctrl
train,TBX3+ctrl
train,TGFBR2+ctrl
train,TMSB4X+ctrl
train,TP73+ctrl
train,UBASH3A+UBASH3B
train,UBASH3A+ctrl
train,UBASH3B+ZBTB25
train,UBASH3B+ctrl
train,ZBTB1+ctrl
train,ZBTB10+ctrl
train,ZBTB25+ctrl
train,ZC3HAV1+ctrl
train,ZNF318+ctrl
val,AHR+FEV
val,AHR+KLF1
val,AHR+ctrl
val,ARID1A+ctrl
val,ARRDC3+ctrl
val,ATL1+ctrl
val,BAK1+BCL2L11
val,BAK1+KLF1
val,BAK1+TMSB4X
val,BAK1+ctrl
val,BCL2L11+TGFBR2
val,BCORL1+ctrl
val,BPGM+SAMD1
val,BPGM+ZBTB1
val,BPGM+ctrl
val,CBFA2T3+FEV
val,CBFA2T3+POU3F2
val,CBFA2T3+PRDM1
val,CBFA2T3+ctrl
val,CBL+CNN1
test,BCL2L11+ctrl
test,CKS1B+ctrl
test,CLDN6+ctrl
test,FEV+ctrl
test,FOSB+ctrl
test,FOXA1+ctrl
test,FOXA3+ctrl
test,IER5L+ctrl
test,IGDCC3+ctrl
test,IKZF3+ctrl
test,JUN+ctrl
test,MAPK1+ctrl
test,MEIS1+ctrl
test,MIDN+ctrl
test,OSR2+ctrl
test,POU3F2+ctrl
test,PRDM1+ctrl
test,PTPN12+ctrl
test,PTPN13+ctrl
test,S1PR2+ctrl
test,SNAI1+ctrl
test,SPI1+ctrl
test,STIL+ctrl
test,TSC22D1+ctrl
