condition,split,n_graphs,n_graphs_expected_from_dev_h5ad,graph_count_delta,n_genes,max_abs_x_minus_train_control,n_bad_x_shape,n_nonfinite_x,n_bad_pca10_shape,n_nonfinite_pca10,n_bad_rank_label,rank_label_rule,n_bad_condition_label,n_bad_pert_idx
ARRDC3+ctrl,train,495,495,0,2044,0.0,0,0,0,0,0,finite_train,0,0
ATL1+ctrl,train,379,379,0,2044,0.0,0,0,0,0,0,finite_train,0,0
BCL2L11+ctrl,train,582,582,0,2044,0.0,0,0,0,0,0,finite_train,0,0
BPGM+SAMD1,train,301,301,0,2044,0.0,0,0,0,0,0,finite_train,0,0
BPGM+ctrl,train,464,464,0,2044,0.0,0,0,0,0,0,finite_train,0,0
CBFA2T3+FEV,train,159,159,0,2044,0.0,0,0,0,0,0,finite_train,0,0
CBFA2T3+POU3F2,train,216,216,0,2044,0.0,0,0,0,0,0,finite_train,0,0
CBFA2T3+PRDM1,train,106,106,0,2044,0.0,0,0,0,0,0,finite_train,0,0
CBFA2T3+ctrl,val,658,658,0,2044,0.0,0,0,0,0,0,nan_validation_sentinel,0,0
CDKN1C+ctrl,train,230,230,0,2044,0.0,0,0,0,0,0,finite_train,0,0
CEBPA+CEBPB,train,64,64,0,2044,0.0,0,0,0,0,0,finite_train,0,0
CEBPA+JUN,train,54,54,0,2044,0.0,0,0,0,0,0,finite_train,0,0
CEBPA+ZC3HAV1,val,86,86,0,2044,0.0,0,0,0,0,0,nan_validation_sentinel,0,0
CEBPA+ctrl,train,460,460,0,2044,0.0,0,0,0,0,0,finite_train,0,0
CEBPB+FOSB,train,71,71,0,2044,0.0,0,0,0,0,0,finite_train,0,0
CEBPB+JUN,val,59,59,0,2044,0.0,0,0,0,0,0,nan_validation_sentinel,0,0
CEBPB+MAPK1,val,412,412,0,2044,0.0,0,0,0,0,0,nan_validation_sentinel,0,0
CEBPB+OSR2,train,211,211,0,2044,0.0,0,0,0,0,0,finite_train,0,0
CEBPB+PTPN12,train,331,331,0,2044,0.0,0,0,0,0,0,finite_train,0,0
CEBPB+ctrl,train,488,488,0,2044,0.0,0,0,0,0,0,finite_train,0,0
CELF2+ctrl,val,475,475,0,2044,0.0,0,0,0,0,0,nan_validation_sentinel,0,0
CKS1B+ctrl,train,241,241,0,2044,0.0,0,0,0,0,0,finite_train,0,0
CLDN6+ctrl,train,670,670,0,2044,0.0,0,0,0,0,0,finite_train,0,0
COL1A1+ctrl,train,328,328,0,2044,0.0,0,0,0,0,0,finite_train,0,0
COL2A1+ctrl,train,598,598,0,2044,0.0,0,0,0,0,0,finite_train,0,0
CSRNP1+ctrl,train,478,478,0,2044,0.0,0,0,0,0,0,finite_train,0,0
DLX2+SNAI1,train,131,131,0,2044,0.0,0,0,0,0,0,finite_train,0,0
DLX2+ZBTB10,train,89,89,0,2044,0.0,0,0,0,0,0,finite_train,0,0
DLX2+ctrl,val,732,732,0,2044,0.0,0,0,0,0,0,nan_validation_sentinel,0,0
FEV+ctrl,train,704,704,0,2044,0.0,0,0,0,0,0,finite_train,0,0
FOSB+IKZF3,train,247,247,0,2044,0.0,0,0,0,0,0,finite_train,0,0
FOSB+OSR2,val,382,382,0,2044,0.0,0,0,0,0,0,nan_validation_sentinel,0,0
FOSB+PTPN12,val,345,345,0,2044,0.0,0,0,0,0,0,nan_validation_sentinel,0,0
FOSB+ctrl,train,630,630,0,2044,0.0,0,0,0,0,0,finite_train,0,0
FOXA1+FOXA3,val,216,216,0,2044,0.0,0,0,0,0,0,nan_validation_sentinel,0,0
FOXA1+ctrl,train,851,851,0,2044,0.0,0,0,0,0,0,finite_train,0,0
FOXA3+ctrl,train,494,494,0,2044,0.0,0,0,0,0,0,finite_train,0,0
HES7+ctrl,train,126,126,0,2044,0.0,0,0,0,0,0,finite_train,0,0
HK2+ctrl,train,303,303,0,2044,0.0,0,0,0,0,0,finite_train,0,0
HOXA13+ctrl,train,274,274,0,2044,0.0,0,0,0,0,0,finite_train,0,0
IER5L+ctrl,val,405,405,0,2044,0.0,0,0,0,0,0,nan_validation_sentinel,0,0
IGDCC3+MAPK1,train,368,368,0,2044,0.0,0,0,0,0,0,finite_train,0,0
IGDCC3+ctrl,train,613,613,0,2044,0.0,0,0,0,0,0,finite_train,0,0
IKZF3+MAP2K6,val,300,300,0,2044,0.0,0,0,0,0,0,nan_validation_sentinel,0,0
IKZF3+MAPK1,train,302,302,0,2044,0.0,0,0,0,0,0,finite_train,0,0
IKZF3+ctrl,train,681,681,0,2044,0.0,0,0,0,0,0,finite_train,0,0
JUN+ctrl,train,266,266,0,2044,0.0,0,0,0,0,0,finite_train,0,0
MAP2K6+SPI1,train,302,302,0,2044,0.0,0,0,0,0,0,finite_train,0,0
MAP2K6+ctrl,val,878,878,0,2044,0.0,0,0,0,0,0,nan_validation_sentinel,0,0
MAPK1+ctrl,train,765,765,0,2044,0.0,0,0,0,0,0,finite_train,0,0
MEIS1+ctrl,train,776,776,0,2044,0.0,0,0,0,0,0,finite_train,0,0
MIDN+ctrl,val,298,298,0,2044,0.0,0,0,0,0,0,nan_validation_sentinel,0,0
NCL+ctrl,train,237,237,0,2044,0.0,0,0,0,0,0,finite_train,0,0
NIT1+ctrl,train,192,192,0,2044,0.0,0,0,0,0,0,finite_train,0,0
OSR2+PTPN12,val,339,339,0,2044,0.0,0,0,0,0,0,nan_validation_sentinel,0,0
OSR2+ctrl,train,1003,1003,0,2044,0.0,0,0,0,0,0,finite_train,0,0
PLK4+STIL,train,81,81,0,2044,0.0,0,0,0,0,0,finite_train,0,0
PLK4+ctrl,val,113,113,0,2044,0.0,0,0,0,0,0,nan_validation_sentinel,0,0
POU3F2+ctrl,train,359,359,0,2044,0.0,0,0,0,0,0,finite_train,0,0
PRDM1+ctrl,train,297,297,0,2044,0.0,0,0,0,0,0,finite_train,0,0
PTPN12+SAMD1,train,351,351,0,2044,0.0,0,0,0,0,0,finite_train,0,0
