task_id,graph_role,target_split,contains_y
E180::ACLY::ACLY_1,query,supervised_train,False
E180::ACLY::ACLY_1,supervised_train,supervised_train,True
E180::ACLY::ACLY_3,query,supervised_train,False
E180::ACLY::ACLY_3,supervised_train,supervised_train,True
E180::ACO2::ACO2_1,query,prospective_evaluation,False
E180::ACO2::ACO2_2,query,prospective_evaluation,False
E180::ACO2::ACO2_3,query,prospective_evaluation,False
E180::ARID2::ARID2_1,query,conformal_calibration,False
E180::ARID2::ARID2_2,query,conformal_calibration,False
E180::ARID2::ARID2_3,query,conformal_calibration,False
E180::ATP11A::ATP11A_2,query,supervised_train,False
E180::ATP11A::ATP11A_2,supervised_train,supervised_train,True
E180::ATP11A::ATP11A_3,query,supervised_train,False
E180::ATP11A::ATP11A_3,supervised_train,supervised_train,True
E180::ATP12A::ATP12A_1,query,prospective_evaluation,False
E180::ATP12A::ATP12A_2,query,prospective_evaluation,False
E180::ATP12A::ATP12A_3,query,prospective_evaluation,False
E180::ATP6V1A::ATP6V1A_1,query,conformal_calibration,False
E180::ATP6V1A::ATP6V1A_2,query,conformal_calibration,False
E180::ATP6V1A::ATP6V1A_3,query,conformal_calibration,False
E180::BCS1L::BCS1L_1,query,supervised_train,False
E180::BCS1L::BCS1L_1,supervised_train,supervised_train,True
E180::BCS1L::BCS1L_2,query,supervised_train,False
E180::BCS1L::BCS1L_2,supervised_train,supervised_train,True
E180::BCS1L::BCS1L_3,query,supervised_train,False
E180::BCS1L::BCS1L_3,supervised_train,supervised_train,True
E180::BRD7::BRD7_1,query,prospective_evaluation,False
E180::BRD7::BRD7_2,query,prospective_evaluation,False
E180::BRD7::BRD7_3,query,prospective_evaluation,False
E180::CASC3::CASC3_1,query,supervised_train,False
E180::CASC3::CASC3_1,supervised_train,supervised_train,True
E180::CASC3::CASC3_2,query,supervised_train,False
E180::CASC3::CASC3_2,supervised_train,supervised_train,True
E180::CASC3::CASC3_3,query,supervised_train,False
E180::CASC3::CASC3_3,supervised_train,supervised_train,True
E180::CCT3::CCT3_1,query,supervised_train,False
E180::CCT3::CCT3_1,supervised_train,supervised_train,True
E180::CCT3::CCT3_2,query,supervised_train,False
E180::CCT3::CCT3_2,supervised_train,supervised_train,True
E180::CCT3::CCT3_3,query,supervised_train,False
E180::CCT3::CCT3_3,supervised_train,supervised_train,True
E180::CCT4::CCT4_1,query,supervised_train,False
E180::CCT4::CCT4_1,supervised_train,supervised_train,True
E180::CCT4::CCT4_2,query,supervised_train,False
E180::CCT4::CCT4_2,supervised_train,supervised_train,True
E180::CHD1::CHD1_1,query,conformal_calibration,False
E180::CHD1::CHD1_2,query,conformal_calibration,False
E180::CHD1::CHD1_3,query,conformal_calibration,False
E180::CMPK1::CMPK1_1,query,supervised_train,False
E180::CMPK1::CMPK1_1,supervised_train,supervised_train,True
E180::CMPK1::CMPK1_2,query,supervised_train,False
E180::CMPK1::CMPK1_2,supervised_train,supervised_train,True
E180::CMPK1::CMPK1_3,query,supervised_train,False
E180::CMPK1::CMPK1_3,supervised_train,supervised_train,True
E180::CNOT3::CNOT3_1,query,supervised_train,False
E180::CNOT3::CNOT3_1,supervised_train,supervised_train,True
E180::CNOT3::CNOT3_3,query,supervised_train,False
E180::CNOT3::CNOT3_3,supervised_train,supervised_train,True
E180::COX6B1::COX6B1_1,query,prospective_evaluation,False
E180::COX6B1::COX6B1_2,query,prospective_evaluation,False
E180::COX6B1::COX6B1_3,query,prospective_evaluation,False
E180::CPSF2::CPSF2_1,query,conformal_calibration,False
E180::CPSF2::CPSF2_3,query,conformal_calibration,False
E180::CREBBP::CREBBP_1,query,supervised_train,False
E180::CREBBP::CREBBP_1,supervised_train,supervised_train,True
E180::CREBBP::CREBBP_2,query,supervised_train,False
E180::CREBBP::CREBBP_2,supervised_train,supervised_train,True
E180::CREBBP::CREBBP_3,query,supervised_train,False
E180::CREBBP::CREBBP_3,supervised_train,supervised_train,True
E180::CS::CS_1,query,supervised_train,False
E180::CS::CS_1,supervised_train,supervised_train,True
E180::CS::CS_2,query,supervised_train,False
E180::CS::CS_2,supervised_train,supervised_train,True
E180::CS::CS_3,query,supervised_train,False
E180::CS::CS_3,supervised_train,supervised_train,True
E180::CSTF3::CSTF3_1,query,conformal_calibration,False
E180::CSTF3::CSTF3_2,query,conformal_calibration,False
E180::CSTF3::CSTF3_3,query,conformal_calibration,False
