group_role,group,n_cells,pca_coordinate,mean,sample_variance_ddof1
control,ctrl,424,1,2.7124429298965689,28.242391914879011
control,ctrl,424,2,-1.1403401699826854,9.0893947618432396
control,ctrl,424,3,-0.8729727602669004,4.8803731861810959
control,ctrl,424,4,-0.65325257025423655,6.5282217392679796
control,ctrl,424,5,0.18157710956861584,3.8087291388312856
control,ctrl,424,6,-0.59792557184141848,2.4528111118163247
control,ctrl,424,7,-0.36603188519200469,1.2424056518977757
control,ctrl,424,8,-0.30591942368923875,2.9528485683307806
control,ctrl,424,9,-0.060962492859302456,2.4447839737071595
control,ctrl,424,10,0.109999741159055,1.3629166715472707
cell_weighted_noncontrol,ALL_NONCONTROL_TRAIN_CELLS,11355,1,-0.10128399978086454,34.452312548301258
cell_weighted_noncontrol,ALL_NONCONTROL_TRAIN_CELLS,11355,2,0.042579556146694231,8.3220890139325743
cell_weighted_noncontrol,ALL_NONCONTROL_TRAIN_CELLS,11355,3,0.032593995530588948,7.8647840691072037
cell_weighted_noncontrol,ALL_NONCONTROL_TRAIN_CELLS,11355,4,0.024392740613030844,5.8528514177583322
cell_weighted_noncontrol,ALL_NONCONTROL_TRAIN_CELLS,11355,5,-0.006781270333492166,4.4448989103776455
cell_weighted_noncontrol,ALL_NONCONTROL_TRAIN_CELLS,11355,6,0.022328806159449564,3.6300601670365578
cell_weighted_noncontrol,ALL_NONCONTROL_TRAIN_CELLS,11355,7,0.013671037196662851,2.8218108172917713
cell_weighted_noncontrol,ALL_NONCONTROL_TRAIN_CELLS,11355,8,0.011423597693740212,2.4237619525236833
cell_weighted_noncontrol,ALL_NONCONTROL_TRAIN_CELLS,11355,9,0.0022754661044434798,2.2830425364332489
cell_weighted_noncontrol,ALL_NONCONTROL_TRAIN_CELLS,11355,10,-0.0041079634224098832,1.7533983131800566
singleton,ATXN7L3+ctrl,82,1,4.1994233692392591,17.843921788082159
singleton,ATXN7L3+ctrl,82,2,-1.8562751506019861,8.5293358789292508
singleton,ATXN7L3+ctrl,82,3,-1.3913392957459045,4.8308377617713383
singleton,ATXN7L3+ctrl,82,4,-1.311983657015839,8.0794964076994411
singleton,ATXN7L3+ctrl,82,5,-0.30534241698111242,3.3822886248048079
singleton,ATXN7L3+ctrl,82,6,-0.30014601004495461,2.0656145189888515
singleton,ATXN7L3+ctrl,82,7,-0.044981140539032148,1.2774839562615905
singleton,ATXN7L3+ctrl,82,8,0.0061507785007861417,2.6032031930177801
singleton,ATXN7L3+ctrl,82,9,0.076393027039732164,1.7756332196791904
singleton,ATXN7L3+ctrl,82,10,-0.13184236143820952,1.3715340085179168
singleton,CD14+ctrl,40,1,3.2051821235588989,23.564154935830608
singleton,CD14+ctrl,40,2,-0.82501842158328154,11.526716674755249
singleton,CD14+ctrl,40,3,-1.731796792581062,4.9902624449708401
singleton,CD14+ctrl,40,4,-0.14331814314899632,9.823188436068115
singleton,CD14+ctrl,40,5,0.40299848648732295,5.4044834929387937
singleton,CD14+ctrl,40,6,-0.27646354322211381,2.2849339788304568
singleton,CD14+ctrl,40,7,-0.67786932481494899,1.0755835317204732
singleton,CD14+ctrl,40,8,-0.50367922576047142,2.3608940443276225
singleton,CD14+ctrl,40,9,0.19275898123005281,3.0001709591016308
singleton,CD14+ctrl,40,10,0.46476364420078892,0.96424847013839921
singleton,DOT1L+ctrl,93,1,1.6662943519671347,33.114732219845074
singleton,DOT1L+ctrl,93,2,-0.7639812201938857,9.3346960434708031
singleton,DOT1L+ctrl,93,3,-0.66308761670727789,5.6253912881128585
singleton,DOT1L+ctrl,93,4,-0.061462807738830963,6.4201452329045079
singleton,DOT1L+ctrl,93,5,0.32294440878342401,3.1004427961424641
singleton,DOT1L+ctrl,93,6,-0.55186578291616628,2.3599370908326618
singleton,DOT1L+ctrl,93,7,-0.39830833087998402,1.4212765779147347
singleton,DOT1L+ctrl,93,8,-0.17786347197406049,2.284782984847237
singleton,DOT1L+ctrl,93,9,-0.20694924297799461,2.4628134577424627
singleton,DOT1L+ctrl,93,10,-0.16760117369981931,1.5484635476374977
singleton,EP300+ctrl,106,1,-2.9933858636766653,20.036538854216868
singleton,EP300+ctrl,106,2,-1.5907451396870542,4.8539778121952875
singleton,EP300+ctrl,106,3,-1.8818823142668668,6.555027330150561
singleton,EP300+ctrl,106,4,-0.45417508129652495,3.5887743447323657
singleton,EP300+ctrl,106,5,-0.53038168407326802,3.8342968103706219
singleton,EP300+ctrl,106,6,0.60190094436209918,3.7443212656219615
singleton,EP300+ctrl,106,7,-0.46500385652652387,1.4940852804487852
singleton,EP300+ctrl,106,8,0.91954328997052137,2.434865968380453
singleton,EP300+ctrl,106,9,0.18649791111635347,2.3290668422020362
singleton,EP300+ctrl,106,10,-0.46803359792727622,2.0787949811006858
singleton,FLI1+ctrl,217,1,-0.78757457756353366,32.335716213473738
singleton,FLI1+ctrl,217,2,-0.10153125306048703,7.2576388157312284
singleton,FLI1+ctrl,217,3,0.075907444805527788,4.3165614664724519
singleton,FLI1+ctrl,217,4,-0.076307611256172483,4.5943308964978558
singleton,FLI1+ctrl,217,5,0.80117911842040834,2.5084887374990901
singleton,FLI1+ctrl,217,6,-1.0730236236315955,1.9659098741668812
singleton,FLI1+ctrl,217,7,-2.8093190334145421,2.3693924338310768
singleton,FLI1+ctrl,217,8,0.25724682400695514,2.526518289406622
singleton,FLI1+ctrl,217,9,0.45495047289739687,1.8956986212870126
singleton,FLI1+ctrl,217,10,0.28092813310146003,1.3994560662114364
singleton,GATA2+ctrl,47,1,-0.031245668381865786,26.01609354306369
singleton,GATA2+ctrl,47,2,-0.7552241642385682,8.0706582212384053
singleton,GATA2+ctrl,47,3,-0.23104714176036792,6.7307344844922934
singleton,GATA2+ctrl,47,4,-1.2199586811742082,3.3135904576717654
singleton,GATA2+ctrl,47,5,0.37478335836702842,3.2000641707968414
singleton,GATA2+ctrl,47,6,-0.4116016441209488,1.8797720584408963
singleton,GATA2+ctrl,47,7,-0.55563812700114223,1.0408785784517576
singleton,GATA2+ctrl,47,8,-0.41505630000375487,3.1110174741424252
singleton,GATA2+ctrl,47,9,-0.30851353240469959,2.0512805146922979
singleton,GATA2+ctrl,47,10,0.16647970599938691,1.1029483464044103
