split,condition
train,ctrl
train,CHERP+ctrl
train,COPB1+ctrl
train,DDOST+ctrl
train,DDRGK1+ctrl
train,DHDDS+ctrl
train,EIF2AK3+ctrl
train,EIF2B2+ctrl
train,EIF2B3+ctrl
train,EIF2B4+ctrl
train,ERN1+ctrl
train,FARSB+ctrl
train,FECH+ctrl
train,GMPPB+ctrl
train,GNPNAT1+ctrl
train,HSD17B12+ctrl
train,HSPA5+ctrl
train,HSPA9+ctrl
train,HYOU1+ctrl
train,KCTD16+ctrl
train,MANF+ctrl
train,MRGBP+ctrl
train,MTHFD1+ctrl
train,P4HB+ctrl
train,PPWD1+ctrl
train,PSMA1+ctrl
train,PSMD12+ctrl
train,SAMM50+ctrl
train,SCYL1+ctrl
train,SEC61A1+ctrl
train,SEC61B+ctrl
train,SEC63+ctrl
train,SLC39A7+ctrl
train,SOCS1+ctrl
train,SPCS2+ctrl
train,SRP72+ctrl
train,SRPRB+ctrl
train,STT3A+ctrl
train,TIMM44+ctrl
train,TMED10+ctrl
train,TMED2+ctrl
train,TMEM167A+ctrl
train,TTI2+ctrl
train,UFL1+ctrl
train,UFM1+ctrl
train,XBP1+ctrl
train,XRN1+ctrl
train,YIPF5+ctrl
val,AMIGO3+ctrl
val,ARHGAP22+ctrl
val,ASCC3+ctrl
val,CAD+ctrl
val,CCND3+ctrl
test,ATF4+ctrl
test,COPZ1+ctrl
test,DAD1+ctrl
test,DERL2+ctrl
test,DNAJC19+ctrl
test,EIF2S1+ctrl
test,GBF1+ctrl
test,IARS2+ctrl
test,IDH3A+ctrl
test,MRPL39+ctrl
test,NEDD8+ctrl
test,OST4+ctrl
test,PDIA6+ctrl
test,PSMD4+ctrl
test,PTDSS1+ctrl
test,SEC61G+ctrl
test,SEL1L+ctrl
test,SLC35B1+ctrl
test,SPCS3+ctrl
test,SRP68+ctrl
test,SYVN1+ctrl
test,TELO2+ctrl
test,TIMM23+ctrl
test,TTI1+ctrl
