panel_index,gene,selection_role,train_expression_sum,in_scgpt_vocab,uses_test_expression_effect_or_error
0,ATF4,fixed_test_perturbation_gene,57619.1953125,True,False
1,COPZ1,fixed_test_perturbation_gene,33453.1875,True,False
2,DAD1,fixed_test_perturbation_gene,65959.875,True,False
3,DERL2,fixed_test_perturbation_gene,10525.8623046875,True,False
4,DNAJC19,fixed_test_perturbation_gene,34245.69140625,True,False
5,EIF2S1,fixed_test_perturbation_gene,29391.091796875,True,False
6,GBF1,fixed_test_perturbation_gene,2754.8564453125,True,False
7,IARS2,fixed_test_perturbation_gene,13389.76171875,True,False
8,IDH3A,fixed_test_perturbation_gene,6584.8818359375,True,False
9,MRPL39,fixed_test_perturbation_gene,17184.78125,True,False
10,NEDD8,fixed_test_perturbation_gene,87587.546875,True,False
11,OST4,fixed_test_perturbation_gene,55593.58984375,True,False
12,PDIA6,fixed_test_perturbation_gene,74559.3125,True,False
13,PSMD4,fixed_test_perturbation_gene,47364.48828125,True,False
14,PTDSS1,fixed_test_perturbation_gene,9414.791015625,True,False
15,SEC61G,fixed_test_perturbation_gene,43520.3671875,True,False
16,SEL1L,fixed_test_perturbation_gene,3851.089111328125,True,False
17,SLC35B1,fixed_test_perturbation_gene,21632.455078125,True,False
18,SPCS3,fixed_test_perturbation_gene,24743.232421875,True,False
19,SRP68,fixed_test_perturbation_gene,11050.0341796875,True,False
20,SYVN1,fixed_test_perturbation_gene,3325.000732421875,True,False
21,TELO2,fixed_test_perturbation_gene,4470.84814453125,True,False
22,TIMM23,fixed_test_perturbation_gene,15610.263671875,True,False
23,TTI1,fixed_test_perturbation_gene,5671.408203125,True,False
24,AMIGO3,training_or_validation_perturbation_gene,9.051188468933105,True,False
25,ARHGAP22,training_or_validation_perturbation_gene,7000.4970703125,True,False
26,ASCC3,training_or_validation_perturbation_gene,7830.68017578125,True,False
27,CAD,training_or_validation_perturbation_gene,6960.5966796875,True,False
28,CCND3,training_or_validation_perturbation_gene,33951.24609375,True,False
