panel_index,gene,selection_role,train_expression_sum,in_scgpt_vocab,uses_test_expression_effect_or_error
0,APOD,fixed_test_perturbation_gene,83.03116607666016,True,False
1,B2M,fixed_test_perturbation_gene,161085.21875,True,False
2,BOLA2B,fixed_test_perturbation_gene,6532.42822265625,True,False
3,CD63,fixed_test_perturbation_gene,154042.140625,True,False
4,CDK4,fixed_test_perturbation_gene,78295.28125,True,False
5,DDR1,fixed_test_perturbation_gene,18210.421875,True,False
6,DDX39A,fixed_test_perturbation_gene,88484.7578125,True,False
7,EEA1,fixed_test_perturbation_gene,42034.890625,True,False
8,ENPP1,fixed_test_perturbation_gene,3334.059326171875,True,False
9,HLA-B,fixed_test_perturbation_gene,126785.125,True,False
10,IRF4,fixed_test_perturbation_gene,17.350828170776367,True,False
11,JAK1,fixed_test_perturbation_gene,65264.10546875,True,False
12,JAK2,fixed_test_perturbation_gene,8563.87109375,True,False
13,KLF4,fixed_test_perturbation_gene,9057.384765625,True,False
14,LRPAP1,fixed_test_perturbation_gene,106171.8984375,True,False
15,NOLC1,fixed_test_perturbation_gene,53248.98046875,True,False
16,NSG1,fixed_test_perturbation_gene,2243.868408203125,True,False
17,PSAP,fixed_test_perturbation_gene,73165.6171875,True,False
18,S100A6,fixed_test_perturbation_gene,168813.0,True,False
19,SAT1,fixed_test_perturbation_gene,124040.0625,True,False
20,SDCBP,fixed_test_perturbation_gene,99796.25,True,False
21,SET,fixed_test_perturbation_gene,144554.59375,True,False
22,SHMT2,fixed_test_perturbation_gene,59142.53515625,True,False
23,STOM,fixed_test_perturbation_gene,49155.69921875,True,False
24,A2M,training_or_validation_perturbation_gene,84.11983489990234,True,False
25,ACSL3,training_or_validation_perturbation_gene,92275.671875,True,False
26,ACTA2,training_or_validation_perturbation_gene,1824.374755859375,True,False
27,AEBP1,training_or_validation_perturbation_gene,18371.740234375,True,False
28,AGA,training_or_validation_perturbation_gene,33086.359375,True,False
29,AHNAK,training_or_validation_perturbation_gene,101292.078125,True,False
30,APOE,training_or_validation_perturbation_gene,5917.77734375,True,False
31,ARMC6,training_or_validation_perturbation_gene,25393.81640625,True,False
32,ATP1B1,training_or_validation_perturbation_gene,96120.8671875,True,False
33,BOLA2,training_or_validation_perturbation_gene,152.32080078125,True,False
34,BZW2,training_or_validation_perturbation_gene,80857.4140625,True,False
35,C19orf48,training_or_validation_perturbation_gene,47447.6640625,True,False
36,C1QBP,training_or_validation_perturbation_gene,143364.703125,True,False
37,C6orf226,training_or_validation_perturbation_gene,13929.6728515625,True,False
38,CCND1,training_or_validation_perturbation_gene,146403.3125,True,False
39,CCND2,training_or_validation_perturbation_gene,57.42770767211914,True,False
40,CCR10,training_or_validation_perturbation_gene,387.536376953125,True,False
41,CCT3,training_or_validation_perturbation_gene,142589.359375,True,False
42,CD151,training_or_validation_perturbation_gene,78324.578125,True,False
43,CD274,training_or_validation_perturbation_gene,18917.984375,True,False
44,CD44,training_or_validation_perturbation_gene,134484.859375,True,False
45,CD47,training_or_validation_perturbation_gene,91291.0390625,True,False
46,CD58,training_or_validation_perturbation_gene,40708.89453125,True,False
47,CD59,training_or_validation_perturbation_gene,103540.3046875,True,False
48,CDC123,training_or_validation_perturbation_gene,78534.2109375,True,False
49,CDH19,training_or_validation_perturbation_gene,4.579259872436523,True,False
50,CDK6,training_or_validation_perturbation_gene,66043.09375,True,False
51,CDKN1A,training_or_validation_perturbation_gene,20224.708984375,True,False
52,CDKN2A,training_or_validation_perturbation_gene,87747.046875,True,False
53,CDKN2B,training_or_validation_perturbation_gene,21352.861328125,True,False
54,CHCHD2,training_or_validation_perturbation_gene,154938.609375,True,False
55,CITED1,training_or_validation_perturbation_gene,331.3116760253906,True,False
56,CKS1B,training_or_validation_perturbation_gene,103908.6796875,True,False
57,CMSS1,training_or_validation_perturbation_gene,73441.0234375,True,False
58,CORO1A,training_or_validation_perturbation_gene,3590.15380859375,True,False
59,CSPG4,training_or_validation_perturbation_gene,199.83506774902344,True,False
60,CST3,training_or_validation_perturbation_gene,134035.71875,True,False
61,CTPS1,training_or_validation_perturbation_gene,58387.02734375,True,False
62,CTSA,training_or_validation_perturbation_gene,99710.3046875,True,False
63,CTSB,training_or_validation_perturbation_gene,109951.2734375,True,False
