source_row_index,task_id,perturbation,guide_id,target_split,logical_x_row_read_count
43,E182::ILF3::ILF3_2,ILF3,ILF3_2,prospective_evaluation,1
48,E182::BUD13::BUD13_2,BUD13,BUD13_2,prospective_evaluation,1
57,E182::HNRNPM::HNRNPM_1,HNRNPM,HNRNPM_1,prospective_evaluation,1
64,E182::BUD13::BUD13_2,BUD13,BUD13_2,prospective_evaluation,1
66,E182::HNRNPM::HNRNPM_2,HNRNPM,HNRNPM_2,prospective_evaluation,1
70,E182::CPEB2::CPEB2_1,CPEB2,CPEB2_1,prospective_evaluation,1
100,E182::DDX42::DDX42_2,DDX42,DDX42_2,prospective_evaluation,1
127,E182::SLTM::SLTM_2,SLTM,SLTM_2,prospective_evaluation,1
141,E182::BUD13::BUD13_2,BUD13,BUD13_2,prospective_evaluation,1
143,E182::CPEB2::CPEB2_1,CPEB2,CPEB2_1,prospective_evaluation,1
167,E182::MTPAP::MTPAP_1,MTPAP,MTPAP_1,prospective_evaluation,1
175,E182::SRSF7::SRSF7_2,SRSF7,SRSF7_2,prospective_evaluation,1
191,E182::MSI1::MSI1_2,MSI1,MSI1_2,prospective_evaluation,1
192,E182::MSI1::MSI1_1,MSI1,MSI1_1,prospective_evaluation,1
203,E182::XRN2::XRN2_2,XRN2,XRN2_2,prospective_evaluation,1
253,E182::SERBP1::SERBP1_2,SERBP1,SERBP1_2,prospective_evaluation,1
259,E182::SERBP1::SERBP1_2,SERBP1,SERBP1_2,prospective_evaluation,1
279,E182::ILF3::ILF3_1,ILF3,ILF3_1,prospective_evaluation,1
282,E182::HNRNPM::HNRNPM_1,HNRNPM,HNRNPM_1,prospective_evaluation,1
331,E182::SERBP1::SERBP1_2,SERBP1,SERBP1_2,prospective_evaluation,1
385,E182::HNRNPC::HNRNPC_1,HNRNPC,HNRNPC_1,prospective_evaluation,1
388,E182::MSI1::MSI1_1,MSI1,MSI1_1,prospective_evaluation,1
402,E182::MSI1::MSI1_2,MSI1,MSI1_2,prospective_evaluation,1
408,E182::DDX6::DDX6_1,DDX6,DDX6_1,prospective_evaluation,1
425,E182::SRSF7::SRSF7_1,SRSF7,SRSF7_1,prospective_evaluation,1
442,E182::XRN2::XRN2_2,XRN2,XRN2_2,prospective_evaluation,1
444,E182::XRN2::XRN2_1,XRN2,XRN2_1,prospective_evaluation,1
449,E182::FXR2::FXR2_1,FXR2,FXR2_1,prospective_evaluation,1
463,E182::MSI1::MSI1_1,MSI1,MSI1_1,prospective_evaluation,1
499,E182::HNRNPC::HNRNPC_1,HNRNPC,HNRNPC_1,prospective_evaluation,1
504,E182::XRN2::XRN2_2,XRN2,XRN2_2,prospective_evaluation,1
506,E182::DDX6::DDX6_2,DDX6,DDX6_2,prospective_evaluation,1
515,E182::FXR2::FXR2_1,FXR2,FXR2_1,prospective_evaluation,1
521,E182::SERBP1::SERBP1_1,SERBP1,SERBP1_1,prospective_evaluation,1
524,E182::HNRNPM::HNRNPM_2,HNRNPM,HNRNPM_2,prospective_evaluation,1
526,E182::SRSF7::SRSF7_1,SRSF7,SRSF7_1,prospective_evaluation,1
529,E182::HNRNPM::HNRNPM_2,HNRNPM,HNRNPM_2,prospective_evaluation,1
601,E182::PCBP1::PCBP1_2,PCBP1,PCBP1_2,prospective_evaluation,1
606,E182::MSI1::MSI1_2,MSI1,MSI1_2,prospective_evaluation,1
610,E182::DDX42::DDX42_1,DDX42,DDX42_1,prospective_evaluation,1
641,E182::PCBP1::PCBP1_1,PCBP1,PCBP1_1,prospective_evaluation,1
643,E182::TBRG4::TBRG4_1,TBRG4,TBRG4_1,prospective_evaluation,1
700,E182::SRSF7::SRSF7_1,SRSF7,SRSF7_1,prospective_evaluation,1
718,E182::SERBP1::SERBP1_1,SERBP1,SERBP1_1,prospective_evaluation,1
723,E182::XRN2::XRN2_1,XRN2,XRN2_1,prospective_evaluation,1
730,E182::MSI1::MSI1_1,MSI1,MSI1_1,prospective_evaluation,1
733,E182::XRN2::XRN2_2,XRN2,XRN2_2,prospective_evaluation,1
750,E182::KHSRP::KHSRP_1,KHSRP,KHSRP_1,prospective_evaluation,1
758,E182::U2AF2::U2AF2_2,U2AF2,U2AF2_2,prospective_evaluation,1
813,E182::PCBP1::PCBP1_2,PCBP1,PCBP1_2,prospective_evaluation,1
827,E182::XRN2::XRN2_1,XRN2,XRN2_1,prospective_evaluation,1
849,E182::MTPAP::MTPAP_1,MTPAP,MTPAP_1,prospective_evaluation,1
870,E182::MSI1::MSI1_1,MSI1,MSI1_1,prospective_evaluation,1
883,E182::MSI1::MSI1_1,MSI1,MSI1_1,prospective_evaluation,1
888,E182::FXR2::FXR2_1,FXR2,FXR2_1,prospective_evaluation,1
930,E182::SRSF7::SRSF7_1,SRSF7,SRSF7_1,prospective_evaluation,1
