task_id,graph_role,target_split,contains_y
E182::AGGF1::AGGF1_1,query,prospective_evaluation,False
E182::AGGF1::AGGF1_2,query,prospective_evaluation,False
E182::AKAP8L::AKAP8L_1,query,supervised_train,False
E182::AKAP8L::AKAP8L_1,supervised_train,supervised_train,True
E182::AKAP8L::AKAP8L_2,query,supervised_train,False
E182::AKAP8L::AKAP8L_2,supervised_train,supervised_train,True
E182::ANKHD1::ANKHD1_1,query,model_validation,False
E182::ANKHD1::ANKHD1_1,supervised_validation,model_validation,True
E182::ANKHD1::ANKHD1_2,query,model_validation,False
E182::ANKHD1::ANKHD1_2,supervised_validation,model_validation,True
E182::BUD13::BUD13_1,query,prospective_evaluation,False
E182::BUD13::BUD13_2,query,prospective_evaluation,False
E182::CNOT4::CNOT4_1,query,model_validation,False
E182::CNOT4::CNOT4_1,supervised_validation,model_validation,True
E182::CNOT4::CNOT4_2,query,model_validation,False
E182::CNOT4::CNOT4_2,supervised_validation,model_validation,True
E182::CPEB2::CPEB2_1,query,prospective_evaluation,False
E182::CPEB2::CPEB2_2,query,prospective_evaluation,False
E182::CSTF2T::CSTF2T_1,query,conformal_calibration,False
E182::CSTF2T::CSTF2T_2,query,conformal_calibration,False
E182::DAZAP1::DAZAP1_1,query,supervised_train,False
E182::DAZAP1::DAZAP1_1,supervised_train,supervised_train,True
E182::DAZAP1::DAZAP1_2,query,supervised_train,False
E182::DAZAP1::DAZAP1_2,supervised_train,supervised_train,True
E182::DDX3X::DDX3X_1,query,model_validation,False
E182::DDX3X::DDX3X_1,supervised_validation,model_validation,True
E182::DDX3X::DDX3X_2,query,model_validation,False
E182::DDX3X::DDX3X_2,supervised_validation,model_validation,True
E182::DDX42::DDX42_1,query,prospective_evaluation,False
E182::DDX42::DDX42_2,query,prospective_evaluation,False
E182::DDX55::DDX55_1,query,supervised_train,False
E182::DDX55::DDX55_1,supervised_train,supervised_train,True
E182::DDX55::DDX55_2,query,supervised_train,False
E182::DDX55::DDX55_2,supervised_train,supervised_train,True
E182::DDX6::DDX6_1,query,prospective_evaluation,False
E182::DDX6::DDX6_2,query,prospective_evaluation,False
E182::DGCR8::DGCR8_1,query,supervised_train,False
