source_id,source_label,source_status,dataset_family,dataset_name,score_name,score_type,coverage,mean_rmse,full_mean_rmse,risk_cov_improve_pct
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,gears_supplement,adamson,gears_prediction_magnitude_risk,risk,1.0,0.0420857965059223,0.0420857965059223,0.0
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,gears_supplement,adamson,gears_prediction_magnitude_risk,risk,0.9,0.041932189837098,0.0420857965059223,0.3649845828690068
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,gears_supplement,adamson,gears_prediction_magnitude_risk,risk,0.8,0.0417436557438443,0.0420857965059223,0.8129601682359573
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,gears_supplement,adamson,gears_prediction_magnitude_risk,risk,0.7,0.041830912977457,0.0420857965059223,0.6056283820824213
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,gears_supplement,adamson,gears_prediction_magnitude_risk,risk,0.6,0.041836618230893,0.0420857965059223,0.5920721376729468
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,gears_supplement,adamson,gears_prediction_magnitude_risk,risk,0.5,0.0405704909088936,0.0420857965059223,3.6005154299870528
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,gears_supplement,dixit,gears_prediction_magnitude_risk,risk,1.0,0.4248406688372294,0.4248406688372294,0.0
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,gears_supplement,dixit,gears_prediction_magnitude_risk,risk,0.9,0.4248406688372294,0.4248406688372294,0.0
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,gears_supplement,dixit,gears_prediction_magnitude_risk,risk,0.8,0.4248406688372294,0.4248406688372294,0.0
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,gears_supplement,dixit,gears_prediction_magnitude_risk,risk,0.7,0.4248406688372294,0.4248406688372294,0.0
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,gears_supplement,dixit,gears_prediction_magnitude_risk,risk,0.6,0.3638183176517486,0.4248406688372294,14.363585141812427
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,gears_supplement,dixit,gears_prediction_magnitude_risk,risk,0.5,0.3638183176517486,0.4248406688372294,14.363585141812427
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,gears_supplement,norman,gears_prediction_magnitude_risk,risk,1.0,0.0558784635116656,0.0558784635116656,0.0
