task_id,graph_role,target_split,contains_y
E177::G1::ACE2,query,calibration,False
E177::G2::ACE2,query,calibration,False
E177::G3::ACE2,query,calibration,False
E177::G4::ACE2,query,calibration,False
E177::G5::ACE2,query,calibration,False
E177::G6::ACE2,query,calibration,False
E177::G7::ACE2,query,calibration,False
E177::G8::ACE2,query,calibration,False
E177::G1::ATF4,query,calibration,False
E177::G2::ATF4,query,calibration,False
E177::G3::ATF4,query,calibration,False
E177::G4::ATF4,query,calibration,False
E177::G5::ATF4,query,calibration,False
E177::G6::ATF4,query,calibration,False
E177::G7::ATF4,query,calibration,False
E177::G8::ATF4,query,calibration,False
E177::G1::CASP7,query,calibration,False
E177::G2::CASP7,query,calibration,False
E177::G3::CASP7,query,calibration,False
E177::G4::CASP7,query,calibration,False
E177::G5::CASP7,query,calibration,False
E177::G6::CASP7,query,calibration,False
E177::G7::CASP7,query,calibration,False
E177::G8::CASP7,query,calibration,False
E177::G1::COG5,query,calibration,False
E177::G2::COG5,query,calibration,False
E177::G3::COG5,query,calibration,False
E177::G4::COG5,query,calibration,False
E177::G5::COG5,query,calibration,False
E177::G6::COG5,query,calibration,False
E177::G7::COG5,query,calibration,False
E177::G8::COG5,query,calibration,False
E177::G1::CTSB,query,calibration,False
E177::G2::CTSB,query,calibration,False
E177::G3::CTSB,query,calibration,False
E177::G4::CTSB,query,calibration,False
E177::G5::CTSB,query,calibration,False
E177::G6::CTSB,query,calibration,False
E177::G7::CTSB,query,calibration,False
E177::G8::CTSB,query,calibration,False
E177::G1::EIF3F,query,calibration,False
E177::G2::EIF3F,query,calibration,False
E177::G3::EIF3F,query,calibration,False
E177::G4::EIF3F,query,calibration,False
E177::G5::EIF3F,query,calibration,False
E177::G6::EIF3F,query,calibration,False
E177::G7::EIF3F,query,calibration,False
E177::G8::EIF3F,query,calibration,False
E177::G1::EIF4B,query,calibration,False
E177::G2::EIF4B,query,calibration,False
E177::G3::EIF4B,query,calibration,False
E177::G4::EIF4B,query,calibration,False
E177::G5::EIF4B,query,calibration,False
E177::G6::EIF4B,query,calibration,False
E177::G7::EIF4B,query,calibration,False
E177::G8::EIF4B,query,calibration,False
E177::G1::EIF4H,query,calibration,False
E177::G2::EIF4H,query,calibration,False
E177::G3::EIF4H,query,calibration,False
E177::G4::EIF4H,query,calibration,False
E177::G5::EIF4H,query,calibration,False
E177::G6::EIF4H,query,calibration,False
E177::G7::EIF4H,query,calibration,False
E177::G8::EIF4H,query,calibration,False
E177::G1::EXOC2,query,calibration,False
E177::G2::EXOC2,query,calibration,False
E177::G3::EXOC2,query,calibration,False
E177::G4::EXOC2,query,calibration,False
E177::G5::EXOC2,query,calibration,False
E177::G6::EXOC2,query,calibration,False
E177::G7::EXOC2,query,calibration,False
E177::G8::EXOC2,query,calibration,False
E177::G1::EXOC8,query,calibration,False
E177::G2::EXOC8,query,calibration,False
E177::G3::EXOC8,query,calibration,False
E177::G4::EXOC8,query,calibration,False
E177::G5::EXOC8,query,calibration,False
E177::G6::EXOC8,query,calibration,False
E177::G7::EXOC8,query,calibration,False
E177::G8::EXOC8,query,calibration,False
E177::G1::F2RL1,query,calibration,False
E177::G2::F2RL1,query,calibration,False
E177::G3::F2RL1,query,calibration,False
E177::G4::F2RL1,query,calibration,False
E177::G5::F2RL1,query,calibration,False
E177::G6::F2RL1,query,calibration,False
E177::G7::F2RL1,query,calibration,False
E177::G8::F2RL1,query,calibration,False
E177::G1::HDAC2,query,calibration,False
