e176_global_target_rank,panel_id,panel_target_rank,ensembl_core,perturbed_gene_name,n_identity_complete_guides,eligible_guide_ids,expression_axis_id_unique,expression_axis_gene_name,target_name_matches_expression_axis,expression_axis_name_unique,scgpt_token,in_scgpt_vocabulary,eligible_target,target_selection_sha256,column_unseen_sha256,e176_selection_sha256,e176_column_unseen_sha256,target_stratum,e176_calibration_sha256,heldout_donor_partition,perturbation_support_contexts_pretruth,excluded_all_e168_e170_e172_e174_targets,selection_used_expression_effect_error_or_prior_outcome
201,H02,1,ENSG00000175606,TMEM70,2,TMEM70-1+TMEM70-2,True,TMEM70,True,True,TMEM70,True,True,2304278608ac83cb876b3c8068143b9a455a9608e60f8fb92213672f442e46e9,a00b9bc9847049e42bd9c8fc3dd22f24879fef2ce07495bafcdfca3cda6db327,11a08cac1af3420d02a7f6dbc19749189bfcf65287b59a1e2860a0b364451826,f80c121d272dcb70ffc6ad9a6ed5139dbb39408ce03b6b82dceb32f12e4d333b,DONOR_UNSEEN_ONLY,327eee2919137622dd35665932af5060263d5f469fd02715e63b3c1e747e34b0,CALIBRATION_20PCT,6,True,False
202,H02,2,ENSG00000177963,RIC8A,2,RIC8A-1+RIC8A-2,True,RIC8A,True,True,RIC8A,True,True,15cd04d40326564f370fa71c6ce72c21e5a6bdfc237a4beb1109f2ef162a9f4d,a80e37812c1ac94760f1758b75fa51d1cc250321ed00a23d0acc85889e09149c,11c374ccd8dba0031a66149ffe661d525fff95bd91131efa7e72d92ea132277f,df36fd6a1f982a3b33e48fc208b69197c9ddd4255c004e87a068a8a4c185dedc,DONOR_UNSEEN_ONLY,7a612f7f0412dfda88d551f332dbe3e9f71014228d7572753d20b39e7795c013,EVALUATION_80PCT,6,True,False
203,H02,3,ENSG00000113522,RAD50,2,RAD50-1+RAD50-2,True,RAD50,True,True,RAD50,True,True,d8a14f96a26549b5f03ee4995a79bc6ee84674522efab7f5d9782ea67d43c20f,2acaa41c2049c4ba627713c759dd8faadfa4ae8c61e617dfa54feb02777c35ff,11fb9851c7b6bae10bd70c19a9dde826d86ffd46fe209efdc1dc5d54b00bcb45,db2dc2a7e9e10ba0a5e5ca15cb852837ecf91697e90ebe4a6057a749c2cfc998,DONOR_UNSEEN_ONLY,2618a284172f529cad674fc8c7007a6dcc6d04a19e566d819b2bbf6d7d385c46,CALIBRATION_20PCT,6,True,False
204,H02,4,ENSG00000166136,NDUFB8,2,NDUFB8-1+NDUFB8-2,True,NDUFB8,True,True,NDUFB8,True,True,44dc6143f8e46eee67acc25cdf23589e424a7e7a3e518dccd25ec8d12f3e9a24,f5e3f7019d4fa6447ab7f4ed92aab5989e2c28d18b327552bf7eb891df02027a,11fd0bcf151bbf15a175089527c69d348ceb2c14330e5a41e1f5ef9c94f850eb,e3dc96a108e7bb8bc7d2159e080a937a07d37d7d7aa47c2a6d3a455d3f63941c,DONOR_UNSEEN_ONLY,ac8600ee2c81c2a26f203823019245ee772d8482fb1e86c8cbe2da1693574d4e,EVALUATION_80PCT,6,True,False
205,H02,5,ENSG00000142444,TIMM29,2,TIMM29-1+TIMM29-2,True,TIMM29,True,True,TIMM29,True,True,78f8ada90e9b7f986765d515a43cc13860ab72417e3982bb615f07b565580f00,248e5daaafc61fc45f35b5b662472b26066ac0969fb9b0a13b5c748e5d0d1664,12012af9466e0bab935ff798300e73bd5e271079d88c0c8786ae949e57aeb964,d07d3e11df899d04ca81e4edf3f80af52e8dbdc30dd83fdb054c65c369202f20,DONOR_UNSEEN_ONLY,f636523ecf5752871dd094a383adc46ce22cfdf5430e9ec577fb14468ccc1ecd,EVALUATION_80PCT,6,True,False
206,H02,6,ENSG00000110171,TRIM3,2,TRIM3-1+TRIM3-2,True,TRIM3,True,True,TRIM3,True,True,c8606d44061944ddfbadf5aa312ab7e093ebbcee5fb375544432a076e579c21f,ba6ea8362f4dc6a215944471dc7788620a0c8aac9c54990173797946ebd3a5e5,12140ac58f65b639443d225caa193e600a7b6f496c01575d42a526aa66786e8d,49e5c9554a3e2fb423da702f488c2263f70670b5b2304a6bbe2690a3e1f0c6c2,DONOR_UNSEEN_ONLY,318809ab0c10ffd4091af10115b86ca463f1ca0e4ea4b6c8b64a1a407b2bc0b3,CALIBRATION_20PCT,6,True,False
207,H02,7,ENSG00000152433,ZNF547,2,ZNF547-1+ZNF547-2,True,ZNF547,True,True,ZNF547,True,True,3d65ccb6fe51adeaab7f045f0c7e37fd8e6783dedf40c05bec4a0c2f3289da14,bb3ba90a56b0203b51f7349ce1039a75a14268c2d4db4b75850d54393808d862,123ab153ad407dacce172a16a03e42840bcc5688eed87d2acacf7ac59c1867c9,58df0d2de9183f60885b1ec2c244a7bd903862236ab88270c2476077ffa3dab8,DONOR_UNSEEN_ONLY,19685b8f66f9ed7a0472011fa0a5c9bd30da50feadfd86e4cf27c31db75479bf,CALIBRATION_20PCT,6,True,False
208,H02,8,ENSG00000157326,DHRS4,2,DHRS4-1+DHRS4-2,True,DHRS4,True,True,DHRS4,True,True,6a89855aa6d6893c1770eb9d8c8623a7090daf11e898c9e0ec9535cbf7ff8dd2,98fc1611c8b983068ae0140c2bf053425e8b1bbe37b7f7e4ac53944aca8c8f61,126ce5e4a5cf808627a08a1874347310cba4d24f01e9f1ca6dc0cfad405c2ff3,afaadb281426e7d341529e4f2fedfad63e48bd950d4cbe7ce43a5825095d86aa,DONOR_UNSEEN_ONLY,2c33889a8ccf5c9928c22cfd059e10f55576efaa778df88eb279a6bb9480300b,CALIBRATION_20PCT,6,True,False
209,H02,9,ENSG00000115145,STAM2,2,STAM2-1+STAM2-2,True,STAM2,True,True,STAM2,True,True,e014e2f0e1dc101a5b7786dc5517f54d0482943c79f5286ec2c177ef2baf4b21,93f664789cffe98f6b740b31fe61c398dab796c84cae0f1326e5a7d1eb0b4889,12807cf2fa479b051ed3238c8e4ffd41bd33253472e716cf4aa9291bb3697476,2be3f78f8ebf7ba86613b8cf5ee3b29df40d4807847d14b8ba2e295a2d8b2797,COLUMN_UNSEEN,2c0a0cf79a63f69f62cc03e138cfb22a8fb133d8035c3f109f450d7f190c9fd8,CALIBRATION_20PCT,0,True,False
210,H02,10,ENSG00000061656,SPAG4,2,SPAG4-1+SPAG4-2,True,SPAG4,True,True,SPAG4,True,True,530fcf852e5696472c300fff6f2dfbcbbf2099dbc3db760014ac0ac49d74b1ac,99aa124fbace1c6a79c215d18db140d7d37aee14c436163defd49b068a84279c,1282df8982fe5b83f1a491e5cfdc92fcd171f91501567f973957d895c5570d40,6f2f469868265c6a12cede3732694176a968d0759c4e1f9970dbc319caaa2be5,DONOR_UNSEEN_ONLY,4f5067244084b83c8733337ae17d269c8113e853775c37379ee175ee0217fbc0,EVALUATION_80PCT,6,True,False
