panel,panel_label,seed,task_id,gene_order_hash,native_logvar,predicted_magnitude,own_rmse,predicted_effect_key,true_effect_key,pretruth_score_lock_sha256
P1,Norman_P1,11,BCL2L11+ctrl,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,0.1590633690357208,0.0357489828336434,0.0378454634273074,GEARS::norman::seed11::single::BCL2L11+ctrl::pred,GEARS::norman::seed11::single::BCL2L11+ctrl::true,c994078a609c3e8ddf59a8ba0c2ec51dea1cb39fe0dc9bd0d66b29de64aad330
P1,Norman_P1,11,CKS1B+ctrl,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,0.1396860033273697,0.0340949583189815,0.0530961835636264,GEARS::norman::seed11::single::CKS1B+ctrl::pred,GEARS::norman::seed11::single::CKS1B+ctrl::true,c994078a609c3e8ddf59a8ba0c2ec51dea1cb39fe0dc9bd0d66b29de64aad330
P1,Norman_P1,11,CLDN6+ctrl,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,0.1112389266490936,0.0439984513075991,0.0495295513328897,GEARS::norman::seed11::single::CLDN6+ctrl::pred,GEARS::norman::seed11::single::CLDN6+ctrl::true,c994078a609c3e8ddf59a8ba0c2ec51dea1cb39fe0dc9bd0d66b29de64aad330
P1,Norman_P1,11,FEV+ctrl,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,0.213133156299591,0.0705283061362386,0.0801013005277651,GEARS::norman::seed11::single::FEV+ctrl::pred,GEARS::norman::seed11::single::FEV+ctrl::true,c994078a609c3e8ddf59a8ba0c2ec51dea1cb39fe0dc9bd0d66b29de64aad330
P1,Norman_P1,11,FOSB+ctrl,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,0.1173408478498458,0.0914256432743463,0.0735971996389607,GEARS::norman::seed11::single::FOSB+ctrl::pred,GEARS::norman::seed11::single::FOSB+ctrl::true,c994078a609c3e8ddf59a8ba0c2ec51dea1cb39fe0dc9bd0d66b29de64aad330
P1,Norman_P1,11,FOXA1+ctrl,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,0.193830132484436,0.0748109500372138,0.0651057817274185,GEARS::norman::seed11::single::FOXA1+ctrl::pred,GEARS::norman::seed11::single::FOXA1+ctrl::true,c994078a609c3e8ddf59a8ba0c2ec51dea1cb39fe0dc9bd0d66b29de64aad330
P1,Norman_P1,11,FOXA3+ctrl,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,0.1724139600992202,0.0640385894787397,0.0474943384303016,GEARS::norman::seed11::single::FOXA3+ctrl::pred,GEARS::norman::seed11::single::FOXA3+ctrl::true,c994078a609c3e8ddf59a8ba0c2ec51dea1cb39fe0dc9bd0d66b29de64aad330
P1,Norman_P1,11,IER5L+ctrl,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,-0.00476043112576,0.0661691984347101,0.0516198628535847,GEARS::norman::seed11::single::IER5L+ctrl::pred,GEARS::norman::seed11::single::IER5L+ctrl::true,c994078a609c3e8ddf59a8ba0c2ec51dea1cb39fe0dc9bd0d66b29de64aad330
P1,Norman_P1,11,IGDCC3+ctrl,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,0.0828545540571212,0.0520801718605015,0.0442963178340516,GEARS::norman::seed11::single::IGDCC3+ctrl::pred,GEARS::norman::seed11::single::IGDCC3+ctrl::true,c994078a609c3e8ddf59a8ba0c2ec51dea1cb39fe0dc9bd0d66b29de64aad330
P1,Norman_P1,11,IKZF3+ctrl,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,0.1443711668252945,0.0915600921218709,0.0638740388426006,GEARS::norman::seed11::single::IKZF3+ctrl::pred,GEARS::norman::seed11::single::IKZF3+ctrl::true,c994078a609c3e8ddf59a8ba0c2ec51dea1cb39fe0dc9bd0d66b29de64aad330
P1,Norman_P1,11,JUN+ctrl,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,0.2300613224506378,0.0844474798275824,0.0769767802755511,GEARS::norman::seed11::single::JUN+ctrl::pred,GEARS::norman::seed11::single::JUN+ctrl::true,c994078a609c3e8ddf59a8ba0c2ec51dea1cb39fe0dc9bd0d66b29de64aad330
P1,Norman_P1,11,MAPK1+ctrl,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,0.0601119808852672,0.0597888859360086,0.0521503943753018,GEARS::norman::seed11::single::MAPK1+ctrl::pred,GEARS::norman::seed11::single::MAPK1+ctrl::true,c994078a609c3e8ddf59a8ba0c2ec51dea1cb39fe0dc9bd0d66b29de64aad330
P1,Norman_P1,11,MEIS1+ctrl,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,0.1334728449583053,0.0564019958866556,0.048641425035477,GEARS::norman::seed11::single::MEIS1+ctrl::pred,GEARS::norman::seed11::single::MEIS1+ctrl::true,c994078a609c3e8ddf59a8ba0c2ec51dea1cb39fe0dc9bd0d66b29de64aad330
P1,Norman_P1,11,MIDN+ctrl,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0,0.121520884335041,0.0299471577455567,0.0556146433572939,GEARS::norman::seed11::single::MIDN+ctrl::pred,GEARS::norman::seed11::single::MIDN+ctrl::true,c994078a609c3e8ddf59a8ba0c2ec51dea1cb39fe0dc9bd0d66b29de64aad330
