selection_rank,perturbation,eligibility_hash,in_all_expression_gene_axes,scgpt_token,in_scgpt_vocabulary,n_cells_K562,n_batches_K562,n_guide_entities_K562,n_transcript_groups_K562,n_gene_ids_K562,n_cells_RPE1,n_batches_RPE1,n_guide_entities_RPE1,n_transcript_groups_RPE1,n_gene_ids_RPE1,minimum_cells_across_contexts,minimum_batches_across_contexts,eligible,selection_hash,selected_without_expression_values_or_outcomes
1,ADSL,1d3ad3ce6411cf583ca318413d603551e12b438c8ab8eda05af42d52008f411f,True,ADSL,True,133,45,1,1,1,127,51,1,1,1,127,45,True,006c876fd11c9f46236567ea4d47be564328c192687202e856deb23020b50483,True
2,DNM1,0e6fbfc1305218299c1b3f6572032a92e1f54f363a937cfc5de43d71e823b2aa,True,DNM1,True,146,45,1,1,1,319,56,1,1,1,146,45,True,021ebde764b0854f5f7d4b3f3f7de80c92706e9847c984b37a06d4c6e329fafd,True
3,SNW1,bd9ad6509ca8ebe21ba2a98876bf89999689daeccf2e3bdf186e3d2fb16cfae6,True,SNW1,True,226,47,2,2,1,192,56,2,2,1,192,47,True,02d9a9d2df2cf7a1ef60d391930fcf2c7451ef3e7e4f4808638e1a74c04b5cbf,True
4,SART3,58f0c6eab66de07c5d65348a5049d2a7cc618e7601c70eb4683be6634f8cf4a1,True,SART3,True,154,43,1,1,1,240,55,1,1,1,154,43,True,03112b00e2e5275ed9e9473d891ff4059498a054f59b73645ebb374f86a0c2c2,True
5,PPP1CA,d5b35ad9dfdabf86bbe1cff6a2b036f36fb9f29d658f9201b2fbdc553106da60,True,PPP1CA,True,248,48,2,2,1,177,54,2,2,1,177,48,True,0381b9b66fde54351b8a9fa13534f7ca409c77e707e15e425a5e510eff17ba34,True
6,RPL35A,7eae1049aa4292d35bd69f1396f6f1cea889a7b06adc6386cf48e80740312a02,True,RPL35A,True,137,47,1,1,1,112,50,1,1,1,112,47,True,03965330b9d40adef4fb033f8fea3a17b4aaf5ec1738947849b873bd1bb9dad2,True
7,VEZT,8a9b1735285a760a1ad0d263669f69b9b6fae5054d405f7699ca757df10402fb,True,VEZT,True,204,47,1,1,1,111,45,1,1,1,111,45,True,04af10da768937325c34096bff2bb814640d2f387e14d5825a2fb2d9b7e30ea4,True
8,DRG1,ead929aee328df359e792e1a8cd4208407f0da73525942f6233eb02c0a4a0a98,True,DRG1,True,196,46,1,1,1,130,52,1,1,1,130,46,True,0617a6db1591f35af097d39dd6911e106cceb2b3eaffe084d18338b66ffc6958,True
9,SF3A2,50b81cbc6842190dadbbac976992b32d7d3533c980d2ee8a4932a2f4bfb21de5,True,SF3A2,True,321,48,2,2,1,156,53,2,2,1,156,48,True,0645ab0ad31afbbebbc331ba8a48c08b61d779319c9622e434bcc61f0133d594,True
10,ERAL1,bdf167fc7fea18c4042fc69ad64269d8041b36503adf32019747a06a4921872c,True,ERAL1,True,116,45,1,1,1,129,50,1,1,1,116,45,True,06e831603717fe1ce0190a15d631b6dcbb984e74704d455d6b3c903127be42b3,True
11,PSTK,535347a8f2ae464a0e5c656c6a67e818f69f44233b7f614f355cd9d45f055c32,True,PSTK,True,379,48,2,2,1,287,55,2,2,1,287,48,True,07a4211d09905d7f3fc199014fbb3edd18b7388d3efc03a591d6531ed9f4988d,True
12,DDX5,4f1303dcb1104f7d39309386a30f83409360a634139444a715d6acceca1b9a01,True,DDX5,True,151,46,1,1,1,203,55,1,1,1,151,46,True,07e4c7f629dc55560c1c4da9b3f562cc7c556fdf9e3c83833f264fa539721653,True
13,UBE2M,7f20d66f3f633e5b1119bb209648d0b221cf61e9442fcf32599ed3fe5c3b1948,True,UBE2M,True,177,47,1,1,1,279,54,1,1,1,177,47,True,0805a128dd4afd4d998aec328219a05eafde146032568a1a0bdbacc1dec99725,True
14,SERBP1,5b075e456d59b3bca52276e3a5bcf2295905b1ec9221e5236b00c5000f365c29,True,SERBP1,True,109,45,1,1,1,102,44,1,1,1,102,44,True,091e5b2ffb7cc11ca37a7c16b9d0bf8f2365febe824d1af87fdd513de62d8c41,True
15,USP9X,4db112fc90dbe7eb06e5a9032d65091046f488c4e2a81bddc08a7b7380911c41,True,USP9X,True,112,43,1,1,1,125,49,1,1,1,112,43,True,095590f6a6feb0b62afbe6b9e7ebaedbe0443c9382332e67fd9f808164832c2f,True
16,DNAJA1,d4f2da8b4b54b49dddd41dff6196e387f2b100d8d77898c1c7ebed33ed09c814,True,DNAJA1,True,292,47,2,2,1,176,55,2,2,1,176,47,True,0b212ae417ec824f8c41601109943c04c8d137bbbddf6090b04c3f808359a411,True
17,RNASEH2C,9a1a3d00a708f58cd4adf6b6970c1228f947d93db882a2dd785bdd184f433bf3,True,RNASEH2C,True,102,43,1,1,1,144,52,1,1,1,102,43,True,0b3693d35fcdbc5308b6752490e2b5ca8db320646798df051c19db0eee9d3e26,True
18,MTG2,1844faad8470111d98f32d7b049ce17af277560915715bf127aa301876d7296c,True,MTG2,True,146,46,1,1,1,215,56,1,1,1,146,46,True,0bc873ea62c9371c0f36cf1845af0044457019825343d2c611eb6598a07caf12,True
19,PXN,c3a0d5f435fc561263900f05c32dc947d596f14a5418ddcad52b22e71d6a46be,True,PXN,True,161,44,1,1,1,150,53,1,1,1,150,44,True,0bd0eb7367b6937dc54bfc3b294537df512b2786ec4b832bd9f8d5780fec287e,True
20,WDR4,a4fca6b5782d4ec6139432b1cdbb62820a383480a24c42b082004abfc1b66007,True,WDR4,True,347,48,1,1,1,141,53,1,1,1,141,48,True,0bf95228cd0f16b237607b35d7123d6a9579a3d9db493366afea00f5079dba4b,True
21,SS18L2,7c8d3d274c614a1cddd79a7624da2b2a9c24594ac3417304f3b3657e8c2cffc5,True,SS18L2,True,144,46,1,1,1,166,51,1,1,1,144,46,True,0ce604265b97fadb80cd02a2cda2a00f4459c146ad5b3e36bb10efc34cba5c56,True
22,DCAF6,7785cc3a82ae2227075be532b143633ac3f0a3f3496b4081eee4cdb29e4ecd09,True,DCAF6,True,137,45,1,1,1,133,53,1,1,1,133,45,True,0d2c1b333feaad55d2f98409351300a7fcb531c96aff1fa27a8b909a74c3d48b,True
23,TM7SF2,f3d1f9d577cd7cbc2dfc655373c1c22310bdba49704dc4889da8b5345f1241c8,True,TM7SF2,True,100,41,1,1,1,160,51,1,1,1,100,41,True,0d315c22f958ad21ac7e09e33dd2fb1e9b2a0f1860338901d65e51f2718842e8,True
24,ARL4D,d149c3570b3a638a6938a64c535e1b330aacc0c1a13699c349ca7bc9ca4530cb,True,ARL4D,True,120,43,1,1,1,145,51,1,1,1,120,43,True,0d6223c84201456eeb692bd245ed5ad3a67ddcad41659f582623c836b4738dca,True
25,TWF1,1954286a6366afa3f902e1ddeb4bb3aab025c70dcfc7f57eb5e857e8d2f4f9b0,True,TWF1,True,140,43,1,1,1,686,56,1,1,1,140,43,True,0e12e78b4a0a1825f22585510d1893504cf8771e534d1a65eccb46269c3f719a,True
