ensembl_core,perturbed_gene_name,eligible_target
ENSG00000001461,NIPAL3,True
ENSG00000002016,RAD52,True
ENSG00000002549,LAP3,True
ENSG00000002834,LASP1,True
ENSG00000003147,ICA1,True
ENSG00000003393,ALS2,True
ENSG00000003436,TFPI,True
ENSG00000004059,ARF5,True
ENSG00000004139,SARM1,True
ENSG00000004468,CD38,True
ENSG00000004487,KDM1A,True
ENSG00000004700,RECQL,True
ENSG00000004799,PDK4,True
ENSG00000004848,ARX,True
ENSG00000005020,SKAP2,True
ENSG00000005102,MEOX1,True
ENSG00000005339,CREBBP,True
ENSG00000005379,TSPOAP1,True
ENSG00000005448,WDR54,True
ENSG00000005483,KMT2E,True
ENSG00000005486,RHBDD2,True
ENSG00000005513,SOX8,True
ENSG00000005700,IBTK,True
ENSG00000005884,ITGA3,True
ENSG00000005889,ZFX,True
ENSG00000005961,ITGA2B,True
ENSG00000006025,OSBPL7,True
ENSG00000006125,AP2B1,True
ENSG00000006453,BAIAP2L1,True
ENSG00000006555,TTC22,True
ENSG00000006576,PHTF2,True
ENSG00000006607,FARP2,True
ENSG00000006704,GTF2IRD1,True
ENSG00000006757,PNPLA4,True
ENSG00000006831,ADIPOR2,True
ENSG00000007255,TRAPPC6A,True
ENSG00000007264,MATK,True
ENSG00000007372,PAX6,True
ENSG00000008086,CDKL5,True
ENSG00000008128,CDK11A,True
ENSG00000008256,CYTH3,True
ENSG00000008324,SS18L2,True
ENSG00000008838,MED24,True
ENSG00000009724,MASP2,True
ENSG00000009830,POMT2,True
ENSG00000009954,BAZ1B,True
ENSG00000010030,ETV7,True
ENSG00000010219,DYRK4,True
ENSG00000010270,STARD3NL,True
ENSG00000010322,NISCH,True
ENSG00000010361,FUZ,True
ENSG00000010704,HFE,True
ENSG00000010810,FYN,True
ENSG00000010818,HIVEP2,True
ENSG00000011028,MRC2,True
ENSG00000011243,AKAP8L,True
ENSG00000011258,MBTD1,True
ENSG00000011454,RABGAP1,True
ENSG00000011523,CEP68,True
ENSG00000012822,CALCOCO1,True
ENSG00000012963,UBR7,True
ENSG00000013619,MAMLD1,True
ENSG00000013725,CD6,True
ENSG00000014824,SLC30A9,True
ENSG00000014919,COX15,True
ENSG00000015133,CCDC88C,True
ENSG00000016391,CHDH,True
ENSG00000017260,ATP2C1,True
ENSG00000018280,SLC11A1,True
ENSG00000018510,AGPS,True
ENSG00000019485,PRDM11,True
ENSG00000019549,SNAI2,True
ENSG00000020577,SAMD4A,True
ENSG00000021300,PLEKHB1,True
