source_name,study_family,perturbation_type,dimension_bucket_cn,n_files,total_cells_or_obs,median_genes_or_vars,total_file_size_gb,has_cell_type_files,has_donor_files,example_relative_paths
scPerturBench cellular context generalization,Afriat,genetic_single,基因单扰动,1,19053,5000,1.789,0,0,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Afriat.h5ad
scPerturBench cellular context generalization,Haber,genetic_single,基因单扰动,1,9842,5000,0.593,1,0,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Haber.h5ad
scPerturBench cellular context generalization,KaggleCrossCell,genetic_single,基因单扰动,1,23653,5000,1.197,1,1,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/KaggleCrossCell.h5ad
scPerturBench cellular context generalization,KaggleCrossPatient,genetic_single,基因单扰动,1,25583,5000,1.292,1,1,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/KaggleCrossPatient.h5ad
scPerturBench cellular context generalization,McFarland,genetic_single,基因单扰动,1,8464,5000,0.272,0,0,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/McFarland.h5ad
scPerturBench cellular context generalization,Parekh,genetic_single,基因单扰动,1,4346,5000,0.262,1,0,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Parekh.h5ad
scPerturBench cellular context generalization,crossPatient,genetic_single,基因单扰动,1,117363,5000,5.097,0,1,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/crossPatient.h5ad
scPerturBench cellular context generalization,crossSpecies,genetic_single,基因单扰动,1,112903,5000,3.56,0,0,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/crossSpecies.h5ad
scPerturBench cellular context generalization,kangCrossCell,genetic_single,基因单扰动,1,13576,5000,0.817,1,0,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/kangCrossCell.h5ad
scPerturBench cellular context generalization,kangCrossPatient,genetic_single,基因单扰动,1,13093,5000,0.788,1,0,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/kangCrossPatient.h5ad
scPerturBench perturbation generalization,Adamson,genetic_single,基因单扰动,1,56998,5043,2.276,0,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Adamson.h5ad
scPerturBench perturbation generalization,Frangieh,genetic_single,基因单扰动,1,110188,5124,4.236,0,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Frangieh.h5ad
scPerturBench perturbation generalization,Papalexi,genetic_single,基因单扰动,1,20343,5013,0.715,0,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Papalexi.h5ad
scPerturBench perturbation generalization,Replogle,genetic_single,基因单扰动,2,157104,5059,4.209,0,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Replogle_exp7.h5ad | /home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Replogle_exp8.h5ad
scPerturBench perturbation generalization,TianActivation,genetic_single,基因单扰动,1,20169,5045,0.612,0,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/TianActivation.h5ad
scPerturBench perturbation generalization,TianInhibition,genetic_single,基因单扰动,1,31815,5152,1.041,0,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/TianInhibition.h5ad
scPerturb Zenodo,AdamsonWeissman2016,genetic_single,基因单扰动,3,86111,32738,0.645,3,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/AdamsonWeissman2016_GSM2406675_10X001.h5ad | /home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/AdamsonWeissman2016_GSM2406677_10X005.h5ad | /home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/AdamsonWeissman2016_GSM2406681_10X010.h5ad
scPerturb Zenodo,AissaBenevolenskaya2021,genetic_single,基因单扰动,1,119071,17820,0.046,1,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/AissaBenevolenskaya2021.h5ad
scPerturb Zenodo,ChangYe2021,genetic_single,基因单扰动,1,42277,45066,0.502,0,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/ChangYe2021.h5ad
scPerturb Zenodo,CuiHacohen2023,genetic_single,基因单扰动,1,96034,31053,0.472,1,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/CuiHacohen2023.h5ad
scPerturb Zenodo,DatlingerBock2017,genetic_single,基因单扰动,1,5905,36722,0.039,1,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/DatlingerBock2017.h5ad
scPerturb Zenodo,DatlingerBock2021,genetic_single,基因单扰动,1,39194,25904,0.034,1,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/DatlingerBock2021.h5ad
scPerturb Zenodo,DixitRegev2016,genetic_single,基因单扰动,2,52281,22412,0.378,2,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/DixitRegev2016_K562_TFs_13_days.h5ad | /home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/DixitRegev2016_K562_TFs_7_days.h5ad
scPerturb Zenodo,FrangiehIzar2021,genetic_single,基因单扰动,2,436662,11868,1.484,2,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/FrangiehIzar2021_RNA.h5ad | /home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/FrangiehIzar2021_protein.h5ad
scPerturb Zenodo,GehringPachter2019,genetic_single,基因单扰动,1,20382,13256,0.073,1,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/GehringPachter2019.h5ad
scPerturb Zenodo,LaraAstiasoHuntly2023,genetic_single,基因单扰动,3,465578,32287,3.017,3,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/LaraAstiasoHuntly2023_exvivo.h5ad | /home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/LaraAstiasoHuntly2023_invivo.h5ad | /home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/LaraAstiasoHuntly2023_leukemia.h5ad
scPerturb Zenodo,McFarlandTsherniak2020,genetic_single,基因单扰动,1,182875,32738,1.459,0,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/McFarlandTsherniak2020.h5ad
scPerturb Zenodo,PapalexiSatija2021,genetic_single,基因单扰动,4,59426,8415,0.201,4,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/PapalexiSatija2021_eccite_RNA.h5ad | /home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/PapalexiSatija2021_eccite_arrayed_RNA.h5ad | /home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/PapalexiSatija2021_eccite_arrayed_protein.h5ad
scPerturb Zenodo,ShifrutMarson2018,genetic_single,基因单扰动,1,52236,33694,0.871,1,1,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/ShifrutMarson2018.h5ad
scPerturb Zenodo,TianKampmann2019,genetic_single,基因单扰动,2,458498,33752,0.62,2,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/TianKampmann2019_day7neuron.h5ad | /home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/TianKampmann2019_iPSC.h5ad
scPerturb Zenodo,TianKampmann2021,genetic_single,基因单扰动,2,53493,33538,0.444,2,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/TianKampmann2021_CRISPRa.h5ad | /home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/TianKampmann2021_CRISPRi.h5ad
scPerturb Zenodo,WeinrebKlein2020,genetic_single,基因单扰动,1,65075,25289,0.229,1,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/WeinrebKlein2020.h5ad
scPerturb Zenodo,ZhaoSims2021,genetic_single,基因单扰动,1,165748,60725,0.587,1,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/ZhaoSims2021.h5ad
scPerturBench perturbation generalization,Norman,genetic_combinatorial,基因组合扰动,1,96994,5025,3.42,0,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Norman.h5ad
scPerturBench perturbation generalization,Replogle,genetic_combinatorial,基因组合扰动,3,464261,5687,31.214,0,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Replogle_K562essential.h5ad | /home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Replogle_RPE1essential.h5ad | /home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Replogle_exp6.h5ad
scPerturBench perturbation generalization,Schmidt,genetic_combinatorial,基因组合扰动,1,60572,5005,1.959,0,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Schmidt.h5ad
scPerturBench perturbation generalization,Wessels,genetic_combinatorial,基因组合扰动,1,19775,5020,0.677,0,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_generalization/Wessels.h5ad
scPerturb Zenodo,DixitRegev2016,genetic_combinatorial,基因组合扰动,1,51898,23529,0.32,1,0,/home/yyf/datasets/singlecell_perturbation_atlas/official_scperturb/DixitRegev2016_K562_TFs_High_MOI.h5ad
