fold_id,task_id,split,setting,context,basal_context,perturbation,perturbation_gene,perturbation_gene_index,perturbation_flag_sum,control_pool_size_same_context,target_pool_size,control_row_index,target_row_index
frangieh_context_holdout_1_Co-culture,Co-culture::AHNAK+ctrl,test,context_and_perturbation_unseen,Co-culture,Co-culture,AHNAK+ctrl,AHNAK,29,1.0,731,199,108899,3236
frangieh_context_holdout_1_Co-culture,Co-culture::ARMC6+ctrl,test,context_and_perturbation_unseen,Co-culture,Co-culture,ARMC6+ctrl,ARMC6,31,1.0,731,178,109047,5301
frangieh_context_holdout_1_Co-culture,Co-culture::CD47+ctrl,test,context_and_perturbation_unseen,Co-culture,Co-culture,CD47+ctrl,CD47,45,1.0,731,201,109279,12386
frangieh_context_holdout_1_Co-culture,Co-culture::CDKN2B+ctrl,test,context_and_perturbation_unseen,Co-culture,Co-culture,CDKN2B+ctrl,CDKN2B,53,1.0,731,196,108311,18980
frangieh_context_holdout_1_Co-culture,Co-culture::CKS1B+ctrl,test,context_and_perturbation_unseen,Co-culture,Co-culture,CKS1B+ctrl,CKS1B,56,1.0,731,193,109439,20762
frangieh_context_holdout_1_Co-culture,Co-culture::CTSL+ctrl,test,context_and_perturbation_unseen,Co-culture,Co-culture,CTSL+ctrl,CTSL,65,1.0,731,214,109796,26264
frangieh_context_holdout_1_Co-culture,Co-culture::EIF3K+ctrl,test,context_and_perturbation_unseen,Co-culture,Co-culture,EIF3K+ctrl,EIF3K,75,1.0,731,149,110162,32258
frangieh_context_holdout_1_Co-culture,Co-culture::FGFR1+ctrl,test,context_and_perturbation_unseen,Co-culture,Co-culture,FGFR1+ctrl,FGFR1,81,1.0,731,277,108475,35068
frangieh_context_holdout_1_Co-culture,Co-culture::FKBP4+ctrl,test,context_and_perturbation_unseen,Co-culture,Co-culture,FKBP4+ctrl,FKBP4,82,1.0,731,147,109228,35809
frangieh_context_holdout_1_Co-culture,Co-culture::GSN+ctrl,test,context_and_perturbation_unseen,Co-culture,Co-culture,GSN+ctrl,GSN,94,1.0,731,256,109115,41615
frangieh_context_holdout_1_Co-culture,Co-culture::JAK2+ctrl,test,context_and_perturbation_unseen,Co-culture,Co-culture,JAK2+ctrl,JAK2,12,1.0,731,418,109736,51836
frangieh_context_holdout_1_Co-culture,Co-culture::MC1R+ctrl,test,context_and_perturbation_unseen,Co-culture,Co-culture,MC1R+ctrl,MC1R,118,1.0,731,187,109146,59146
