setting,gene,guide,n_train_pseudoreplicates,n_train_cells,guide_effect_rms
E190_K562,C7orf26,C7orf26_pDS004,4,10,0.14712795412857035
E190_K562,COPB1,COPB1_pDS065,4,180,0.07890138120630691
E190_K562,COPZ1,COPZ1_pDS462,4,226,0.11181367836180427
E190_K562,DAD1,DAD1_pDS499,4,602,0.08685024346071162
E190_K562,DARS,DARS_pDS495,4,532,0.0943347142112673
E190_K562,DERL2,DERL2_pDS042,4,525,0.06440444422170785
E190_K562,DHDDS,DHDDS_pDS383,4,406,0.1478490646049464
E190_K562,DNAJC19,DNAJC19_pDS026,4,800,0.15886416588097257
E190_K562,DNAJC19,DNAJC19_pDS074,4,420,0.10157169751020792
E190_K562,EIF2B2,EIF2B2_pDS463,4,492,0.13176663408812292
E190_K562,EIF2B3,EIF2B3_pDS508,4,332,0.15150209672264336
E190_K562,EIF2B4,EIF2B4_pDS491,4,500,0.0986301720385739
E190_K562,EIF2S1,EIF2S1_pDS386,4,409,0.22254374296284743
E190_K562,FARSB,FARSB_pDS390,4,506,0.11742322187885323
E190_K562,GBF1,GBF1_pDS043,4,608,0.06877535293849348
E190_K562,GBF1,GBF1_pDS044,4,159,0.1396439872989833
E190_K562,GMPPB,GMPPB_pDS391,4,485,0.07286500219093507
E190_K562,GNPNAT1,GNPNAT1_pDS506,4,403,0.09468268173910044
E190_K562,HARS,HARS_pDS466,4,260,0.19996538609010905
E190_K562,HSD17B12,HSD17B12_pDS087,4,324,0.08940738226872205
E190_K562,HSPA5,HSPA5_pDS017,4,705,0.1787043975117752
E190_K562,HSPA5,HSPA5_pDS371,4,241,0.172319086538461
E190_K562,HSPA9,HSPA9_pDS088,4,716,0.24752925279893376
E190_K562,IARS2,IARS2_pDS090,4,351,0.17902200703350185
E190_K562,IARS2,IARS2_pDS091,4,539,0.2090721275591504
E190_K562,MANF,MANF_pDS027,4,444,0.07829709270956395
E190_K562,MARS,MARS_pDS394,4,419,0.1489237358534733
E190_K562,MRGBP,MRGBP_pDS124,4,456,0.1021086071587091
E190_K562,MRPL39,MRPL39_pDS498,4,547,0.08426775798930561
E190_K562,NEDD8,NEDD8_pDS396,4,405,0.14824479010377586
E190_K562,PSMA1,PSMA1_pDS007,4,24,0.13445362056934965
E190_K562,PSMD12,PSMD12_pDS008,4,40,0.10090102590709599
E190_K562,PSMD12,PSMD12_pDS009,4,9,0.15157731466484217
E190_K562,PSMD4,PSMD4_pDS488,4,500,0.18371581526628752
E190_K562,QARS,QARS_pDS510,4,304,0.17755410668214022
E190_K562,SAMM50,SAMM50_pDS156,4,654,0.10733959226093184
E190_K562,SEC61A1,SEC61A1_pDS031,4,361,0.1383665548391878
E190_K562,SEC61A1,SEC61A1_pDS032,4,592,0.15582846165517553
E190_K562,SEC61B,SEC61B_pDS033,4,948,0.08753274883797478
E190_K562,SEC61B,SEC61B_pDS162,4,387,0.09105198137502613
E190_K562,SEC61G,SEC61G_pDS440,4,520,0.08346850435857542
E190_K562,SEC63,SEC63_pDS218,4,524,0.07540905997657096
E190_K562,SLC39A7,SLC39A7_pDS219,4,481,0.0909043265670212
E190_K562,SPCS2,SPCS2_pDS401,4,470,0.0871515450403417
E190_K562,SPCS3,SPCS3_pDS402,4,518,0.08382028961416807
E190_K562,SRP68,SRP68_pDS403,4,560,0.07509662948446212
E190_K562,SRP72,SRP72_pDS505,4,416,0.09802249442399684
E190_K562,SRPRB,SRPRB_pDS404,4,563,0.09672485583309645
E190_K562,TARS,TARS_pDS405,4,643,0.09828686232777165
E190_K562,TIMM44,TIMM44_pDS430,4,472,0.1455899407994428
E190_K562,TMED2,TMED2_pDS175,4,404,0.08153823281360954
E190_K562,TTI1,TTI1_pDS407,4,421,0.1297243872405452
E190_K562,UFL1,UFL1_pDS410,4,468,0.07769796367084662
E190_K562,UFM1,UFM1_pDS040,4,554,0.06973564416453795
E192_RPE1,COPZ1,COPZ1_pDS462,4,226,0.10421600684019551
E192_RPE1,DERL2,DERL2_pDS042,4,525,0.06389631066169453
E192_RPE1,DNAJC19,DNAJC19_pDS026,4,800,0.12211510638659889
E192_RPE1,DNAJC19,DNAJC19_pDS074,4,420,0.09541450234874371
E192_RPE1,EIF2B2,EIF2B2_pDS463,4,492,0.11105052843448628
E192_RPE1,GBF1,GBF1_pDS043,4,608,0.07259524726350455
E192_RPE1,GBF1,GBF1_pDS044,4,159,0.13331737142665515
E192_RPE1,GMPPB,GMPPB_pDS391,4,485,0.07429043692338239
E192_RPE1,GNPNAT1,GNPNAT1_pDS506,4,403,0.09767380647502975
E192_RPE1,HSD17B12,HSD17B12_pDS087,4,324,0.09186651591064944
E192_RPE1,HSPA5,HSPA5_pDS017,4,705,0.1823072010074397
