setting,batch,n_gene_tasks,n_eligible,n_competitors
E190_K562,1,18,18,17
E190_K562,10,16,16,15
E190_K562,11,16,16,15
E190_K562,12,9,9,8
E190_K562,13,16,16,15
E190_K562,14,14,14,13
E190_K562,15,15,15,14
E190_K562,16,13,13,12
E190_K562,17,11,11,10
E190_K562,18,10,10,9
E190_K562,19,13,13,12
E190_K562,2,14,14,13
E190_K562,20,15,15,14
E190_K562,21,6,6,5
E190_K562,22,15,15,14
E190_K562,23,11,11,10
E190_K562,24,12,12,11
E190_K562,25,22,22,21
E190_K562,26,21,21,20
E190_K562,27,18,18,17
E190_K562,28,17,17,16
E190_K562,29,14,14,13
E190_K562,3,15,15,14
E190_K562,30,19,19,18
E190_K562,31,18,18,17
E190_K562,32,16,16,15
E190_K562,33,14,14,13
E190_K562,34,16,16,15
E190_K562,35,16,16,15
E190_K562,36,10,10,9
E190_K562,37,11,11,10
E190_K562,38,13,13,12
E190_K562,39,13,13,12
E190_K562,4,6,6,5
E190_K562,40,12,12,11
E190_K562,41,17,17,16
E190_K562,42,17,17,16
E190_K562,43,16,16,15
E190_K562,44,12,12,11
E190_K562,45,17,17,16
E190_K562,46,15,15,14
E190_K562,47,18,18,17
E190_K562,48,7,7,6
E190_K562,5,18,18,17
E190_K562,6,18,18,17
E190_K562,7,16,16,15
E190_K562,8,14,14,13
E190_K562,9,12,12,11
E192_RPE1,10,5,5,4
E192_RPE1,11,4,4,3
E192_RPE1,12,6,6,5
E192_RPE1,13,5,5,4
E192_RPE1,14,5,5,4
E192_RPE1,15,4,4,3
E192_RPE1,16,5,5,4
E192_RPE1,17,5,5,4
E192_RPE1,18,3,3,2
E192_RPE1,19,1,0,0
E192_RPE1,2,4,4,3
E192_RPE1,20,5,5,4
E192_RPE1,21,2,2,1
E192_RPE1,22,5,5,4
E192_RPE1,23,1,0,0
E192_RPE1,24,1,0,0
E192_RPE1,25,6,6,5
E192_RPE1,26,3,3,2
E192_RPE1,28,4,4,3
E192_RPE1,29,4,4,3
E192_RPE1,3,3,3,2
E192_RPE1,30,5,5,4
E192_RPE1,31,5,5,4
E192_RPE1,32,1,0,0
E192_RPE1,33,4,4,3
E192_RPE1,34,7,7,6
E192_RPE1,35,6,6,5
E192_RPE1,36,2,2,1
E192_RPE1,37,2,2,1
E192_RPE1,38,7,7,6
E192_RPE1,39,1,0,0
E192_RPE1,4,3,3,2
E192_RPE1,40,2,2,1
E192_RPE1,41,1,0,0
E192_RPE1,42,3,3,2
E192_RPE1,43,4,4,3
E192_RPE1,44,4,4,3
E192_RPE1,46,1,0,0
E192_RPE1,47,1,0,0
E192_RPE1,48,3,3,2
E192_RPE1,49,1,0,0
E192_RPE1,5,2,2,1
E192_RPE1,50,1,0,0
E192_RPE1,51,2,2,1
E192_RPE1,52,3,3,2
E192_RPE1,53,2,2,1
E192_RPE1,54,3,3,2
E192_RPE1,55,6,6,5
E192_RPE1,56,1,0,0
E192_RPE1,6,3,3,2
E192_RPE1,7,2,2,1
E192_RPE1,8,4,4,3
E192_RPE1,9,2,2,1
