task_id,batch,gene,n_target_cells
REPL::33::C7orf26,33,C7orf26,5
REPL::47::C7orf26,47,C7orf26,5
REPL::25::COPB1,25,COPB1,7
REPL::40::COPB1,40,COPB1,6
REPL::1::COPZ1,1,COPZ1,8
REPL::11::COPZ1,11,COPZ1,5
REPL::14::COPZ1,14,COPZ1,6
REPL::18::COPZ1,18,COPZ1,6
REPL::2::COPZ1,2,COPZ1,6
REPL::26::COPZ1,26,COPZ1,8
REPL::27::COPZ1,27,COPZ1,8
REPL::28::COPZ1,28,COPZ1,5
REPL::30::COPZ1,30,COPZ1,5
REPL::31::COPZ1,31,COPZ1,5
REPL::33::COPZ1,33,COPZ1,6
REPL::37::COPZ1,37,COPZ1,8
REPL::38::COPZ1,38,COPZ1,6
REPL::41::COPZ1,41,COPZ1,6
REPL::43::COPZ1,43,COPZ1,9
REPL::5::COPZ1,5,COPZ1,7
REPL::8::COPZ1,8,COPZ1,7
REPL::9::COPZ1,9,COPZ1,6
REPL::45::DAD1,45,DAD1,5
REPL::42::DARS,42,DARS,6
REPL::12::DERL2,12,DERL2,7
REPL::29::DERL2,29,DERL2,5
REPL::30::DERL2,30,DERL2,6
REPL::32::DERL2,32,DERL2,6
REPL::45::DERL2,45,DERL2,5
REPL::8::DERL2,8,DERL2,5
REPL::9::DERL2,9,DERL2,5
REPL::1::DHDDS,1,DHDDS,5
REPL::10::DHDDS,10,DHDDS,5
REPL::27::DHDDS,27,DHDDS,5
REPL::1::DNAJC19,1,DNAJC19,12
REPL::10::DNAJC19,10,DNAJC19,8
REPL::11::DNAJC19,11,DNAJC19,8
REPL::13::DNAJC19,13,DNAJC19,10
REPL::14::DNAJC19,14,DNAJC19,9
REPL::15::DNAJC19,15,DNAJC19,7
REPL::16::DNAJC19,16,DNAJC19,6
REPL::17::DNAJC19,17,DNAJC19,8
REPL::18::DNAJC19,18,DNAJC19,10
REPL::19::DNAJC19,19,DNAJC19,8
REPL::2::DNAJC19,2,DNAJC19,7
REPL::20::DNAJC19,20,DNAJC19,8
REPL::21::DNAJC19,21,DNAJC19,5
REPL::22::DNAJC19,22,DNAJC19,10
REPL::23::DNAJC19,23,DNAJC19,11
REPL::24::DNAJC19,24,DNAJC19,9
REPL::25::DNAJC19,25,DNAJC19,7
REPL::26::DNAJC19,26,DNAJC19,5
REPL::27::DNAJC19,27,DNAJC19,10
REPL::28::DNAJC19,28,DNAJC19,7
REPL::29::DNAJC19,29,DNAJC19,6
REPL::3::DNAJC19,3,DNAJC19,5
REPL::30::DNAJC19,30,DNAJC19,11
REPL::31::DNAJC19,31,DNAJC19,8
REPL::32::DNAJC19,32,DNAJC19,6
REPL::33::DNAJC19,33,DNAJC19,10
REPL::34::DNAJC19,34,DNAJC19,11
REPL::35::DNAJC19,35,DNAJC19,12
REPL::36::DNAJC19,36,DNAJC19,12
REPL::37::DNAJC19,37,DNAJC19,5
REPL::39::DNAJC19,39,DNAJC19,11
REPL::4::DNAJC19,4,DNAJC19,7
REPL::40::DNAJC19,40,DNAJC19,7
REPL::41::DNAJC19,41,DNAJC19,10
REPL::42::DNAJC19,42,DNAJC19,7
REPL::43::DNAJC19,43,DNAJC19,12
REPL::44::DNAJC19,44,DNAJC19,7
REPL::45::DNAJC19,45,DNAJC19,9
REPL::46::DNAJC19,46,DNAJC19,11
REPL::47::DNAJC19,47,DNAJC19,7
REPL::48::DNAJC19,48,DNAJC19,5
REPL::5::DNAJC19,5,DNAJC19,9
REPL::6::DNAJC19,6,DNAJC19,11
REPL::7::DNAJC19,7,DNAJC19,11
REPL::8::DNAJC19,8,DNAJC19,6
REPL::9::DNAJC19,9,DNAJC19,10
REPL::1::EIF2B2,1,EIF2B2,7
REPL::10::EIF2B2,10,EIF2B2,6
REPL::11::EIF2B2,11,EIF2B2,5
REPL::13::EIF2B2,13,EIF2B2,10
REPL::14::EIF2B2,14,EIF2B2,6
REPL::15::EIF2B2,15,EIF2B2,8
REPL::18::EIF2B2,18,EIF2B2,7
REPL::19::EIF2B2,19,EIF2B2,5
REPL::2::EIF2B2,2,EIF2B2,9
REPL::20::EIF2B2,20,EIF2B2,9
REPL::21::EIF2B2,21,EIF2B2,5
REPL::22::EIF2B2,22,EIF2B2,8
REPL::23::EIF2B2,23,EIF2B2,6
REPL::25::EIF2B2,25,EIF2B2,12
REPL::26::EIF2B2,26,EIF2B2,5
REPL::27::EIF2B2,27,EIF2B2,6
REPL::28::EIF2B2,28,EIF2B2,8
REPL::29::EIF2B2,29,EIF2B2,8
REPL::3::EIF2B2,3,EIF2B2,6
REPL::30::EIF2B2,30,EIF2B2,7
REPL::31::EIF2B2,31,EIF2B2,5
REPL::32::EIF2B2,32,EIF2B2,11
REPL::33::EIF2B2,33,EIF2B2,11
REPL::34::EIF2B2,34,EIF2B2,8
REPL::37::EIF2B2,37,EIF2B2,9
REPL::38::EIF2B2,38,EIF2B2,6
REPL::39::EIF2B2,39,EIF2B2,7
REPL::41::EIF2B2,41,EIF2B2,11
