perturbation,guide_id,n_guide_cells,target_split,cell_count_quartile,selection_hash,task_id,target_cluster_id,truth_access_phase,primary_task_unit,selection_used_expression_matrix_or_truth_effect
AGGF1,AGGF1_1,18,prospective_evaluation,Q1_low,f3b26705e31294d7a5134a9d0a7180c2e0dc12b30cb8721f3165d2df9844cf44,E182::AGGF1::AGGF1_1,AGGF1,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
AGGF1,AGGF1_2,14,prospective_evaluation,Q1_low,f3b26705e31294d7a5134a9d0a7180c2e0dc12b30cb8721f3165d2df9844cf44,E182::AGGF1::AGGF1_2,AGGF1,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
AKAP8L,AKAP8L_1,28,supervised_train,Q3,2d45d481e0b3e41fc3a202b9320cc4179bc7d66649b8d526e129da4d2238cef3,E182::AKAP8L::AKAP8L_1,AKAP8L,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
AKAP8L,AKAP8L_2,30,supervised_train,Q3,2d45d481e0b3e41fc3a202b9320cc4179bc7d66649b8d526e129da4d2238cef3,E182::AKAP8L::AKAP8L_2,AKAP8L,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
ANKHD1,ANKHD1_1,26,model_validation,Q2,57da725d2495c7837595ff87e7384efbe6116ea8881f408d79ab23191ce3b74b,E182::ANKHD1::ANKHD1_1,ANKHD1,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_negative_guide_controls,False
ANKHD1,ANKHD1_2,16,model_validation,Q2,57da725d2495c7837595ff87e7384efbe6116ea8881f408d79ab23191ce3b74b,E182::ANKHD1::ANKHD1_2,ANKHD1,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_negative_guide_controls,False
BUD13,BUD13_1,17,prospective_evaluation,Q3,f8e8558f83e9619f652244d24f3711b6a5a141512a2555599a914530dbb67a2f,E182::BUD13::BUD13_1,BUD13,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
BUD13,BUD13_2,31,prospective_evaluation,Q3,f8e8558f83e9619f652244d24f3711b6a5a141512a2555599a914530dbb67a2f,E182::BUD13::BUD13_2,BUD13,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
CNOT4,CNOT4_1,14,model_validation,Q1_low,9696b70c3015f8e25aeb440593e09c8da1bc9e98453423ae924ae056ca6b2fb6,E182::CNOT4::CNOT4_1,CNOT4,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_negative_guide_controls,False
CNOT4,CNOT4_2,19,model_validation,Q1_low,9696b70c3015f8e25aeb440593e09c8da1bc9e98453423ae924ae056ca6b2fb6,E182::CNOT4::CNOT4_2,CNOT4,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_negative_guide_controls,False
CPEB2,CPEB2_1,24,prospective_evaluation,Q1_low,cf5dfbc91a59f29b5a596da70e906ab2ce6d944e6b131d8734f2c430dfc2d49b,E182::CPEB2::CPEB2_1,CPEB2,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
CPEB2,CPEB2_2,12,prospective_evaluation,Q1_low,cf5dfbc91a59f29b5a596da70e906ab2ce6d944e6b131d8734f2c430dfc2d49b,E182::CPEB2::CPEB2_2,CPEB2,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
CSTF2T,CSTF2T_1,15,conformal_calibration,Q1_low,ad73b6dc5f70f476f547d1802d1f7302de0bafecc4d9f00dc0dcb2759fd0b90b,E182::CSTF2T::CSTF2T_1,CSTF2T,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
CSTF2T,CSTF2T_2,21,conformal_calibration,Q1_low,ad73b6dc5f70f476f547d1802d1f7302de0bafecc4d9f00dc0dcb2759fd0b90b,E182::CSTF2T::CSTF2T_2,CSTF2T,F3_CALIBRATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
DAZAP1,DAZAP1_1,70,supervised_train,Q4_high,135baef1e1afc4d12bb69734d6491403eb341a3135d2d05b1a3f5e4bb97c6e18,E182::DAZAP1::DAZAP1_1,DAZAP1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
DAZAP1,DAZAP1_2,34,supervised_train,Q4_high,135baef1e1afc4d12bb69734d6491403eb341a3135d2d05b1a3f5e4bb97c6e18,E182::DAZAP1::DAZAP1_2,DAZAP1,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
DDX3X,DDX3X_1,23,model_validation,Q3,4b60394558f692272cfaa8af9be3a8cf2b7d51ba60d11ad52c2a0cc832be26c8,E182::DDX3X::DDX3X_1,DDX3X,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_negative_guide_controls,False
DDX3X,DDX3X_2,23,model_validation,Q3,4b60394558f692272cfaa8af9be3a8cf2b7d51ba60d11ad52c2a0cc832be26c8,E182::DDX3X::DDX3X_2,DDX3X,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_negative_guide_controls,False
DDX42,DDX42_1,35,prospective_evaluation,Q2,c364e314190adc5bb8b8e07d230343630513f46fd70a8e6bc9789c6889931797,E182::DDX42::DDX42_1,DDX42,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
DDX42,DDX42_2,7,prospective_evaluation,Q2,c364e314190adc5bb8b8e07d230343630513f46fd70a8e6bc9789c6889931797,E182::DDX42::DDX42_2,DDX42,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False
DDX55,DDX55_1,37,supervised_train,Q3,38f767ccb61c4fda665beac9d82694ba85b8dec62b2986608460577aab61701f,E182::DDX55::DDX55_1,DDX55,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
DDX55,DDX55_2,16,supervised_train,Q3,38f767ccb61c4fda665beac9d82694ba85b8dec62b2986608460577aab61701f,E182::DDX55::DDX55_2,DDX55,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False
