perturbation,n_target_cells,n_guides,min_guide_cells,max_guide_cells,is_single_human_gene_symbol,in_expression_var,in_scgpt_vocab,eligible_e182_target,selection_used_expression_matrix_or_truth_effect,cell_count_quartile,selection_hash,target_split
ZC3H10,36,2,14,22,True,True,True,True,False,Q2,5fa35654ef5fd03c5b1f73d0156bcc8d62c46f21d2d30a6d7aa8259aa5ff0298,conformal_calibration
RBM15,118,2,43,75,True,True,True,True,False,Q4_high,67e2080f9363f5662c34f60bf169f3dd5616e48254e8c132a663b0418b94553d,conformal_calibration
PABPC4,36,2,14,22,True,True,True,True,False,Q2,6c8e55f79ff1a4a806d723985c98632784cc15180f874c0da44b6d1e0d5ae39a,conformal_calibration
FASTKD2,49,2,19,30,True,True,True,True,False,Q3,6cae2ac6ba0541172d40650e957b6e1472a08fb053eb57e7133b540bca6907c4,conformal_calibration
TIA1,36,2,13,23,True,True,True,True,False,Q2,7a883b50ee173cdeca78f0667eb1d44af36a2a03299e78cfa5d10d3e97169649,conformal_calibration
TARDBP,53,2,15,38,True,True,True,True,False,Q3,80960cc216f741cdd2c4dd42fb0a26f8318b154e53395e01b2098c0a772b4ede,conformal_calibration
PABPC3,54,2,10,44,True,True,True,True,False,Q3,874b1bf596da174448de7de189471ab899a85ffa942e94623602fb23f7c9d486,conformal_calibration
SND1,46,2,23,23,True,True,True,True,False,Q3,89ea0877025f421cc68a96bfd2e749c203b475514134000a3e37110c156a99c4,conformal_calibration
RBFOX2,36,2,17,19,True,True,True,True,False,Q2,923309c96cd91c9ef0f4a1518b59f793ce1a8fb2e8e7d524281c23400f1bd9f7,conformal_calibration
FAM120A,74,2,28,46,True,True,True,True,False,Q4_high,97a55892c7d6b969383da288ba33cdf4e22235488ba672e41755c99c699fe526,conformal_calibration
UPF1,80,2,26,54,True,True,True,True,False,Q4_high,a01fc12d3287c7bdd991330dd9d65506f651bb914d6cfcdd071955748c1b1d49,conformal_calibration
HNRNPK,26,2,9,17,True,True,True,True,False,Q1_low,a178ba97cbe1586d767cc2230845c2637ed66a96b6e4cecf2db12ef931794b16,conformal_calibration
SF3B1,21,2,6,15,True,True,True,True,False,Q1_low,a8517962f5da00ed212814b1cce80548de75f2ed0e174241eb27de89f22d18c9,conformal_calibration
CSTF2T,36,2,15,21,True,True,True,True,False,Q1_low,ad73b6dc5f70f476f547d1802d1f7302de0bafecc4d9f00dc0dcb2759fd0b90b,conformal_calibration
LIN28B,21,2,8,13,True,True,True,True,False,Q1_low,aea4b48146ed69cb1d01220d9fc509e309e6d6eac9cb7f98063699bb08a87feb,conformal_calibration
QKI,82,2,24,58,True,True,True,True,False,Q4_high,b114e77afc5ccb330d9867c61c8c648b8b56023c90b9838e68a02578060a1d72,conformal_calibration
ZRANB2,38,2,15,23,True,True,True,True,False,Q2,b2a6c45fbe4efb0a71f02d4422d75b6da560a9ff657e12bc219d7e64f4e08b59,conformal_calibration
GPKOW,62,2,26,36,True,True,True,True,False,Q4_high,b2b74681cbc71f55925f2f14be489235e40acee6cde654c69c692d7d62ecc826,conformal_calibration
KHDRBS2,22,2,8,14,True,True,True,True,False,Q1_low,bb73ee158aeefcaac09ba61765bfaea09ed61cfffe65e9adfc838118c423283d,conformal_calibration
DDX3X,46,2,23,23,True,True,True,True,False,Q3,4b60394558f692272cfaa8af9be3a8cf2b7d51ba60d11ad52c2a0cc832be26c8,model_validation
ANKHD1,42,2,16,26,True,True,True,True,False,Q2,57da725d2495c7837595ff87e7384efbe6116ea8881f408d79ab23191ce3b74b,model_validation
NCBP2,37,2,12,25,True,True,True,True,False,Q2,596ddb0aba6a35892088d2010624f0ab1957b592464b89b7c117772ebdc49afa,model_validation
RBMS1,91,2,30,61,True,True,True,True,False,Q4_high,5c5defab2da11acafe17d5887b64248ee8bd1ba027d62cfa206b32ce981b2fc3,model_validation
TRA2A,50,2,11,39,True,True,True,True,False,Q3,620af7c0835a02bdaa589064670149218a78d992b84f8aa894313f93b6354732,model_validation
METAP2,48,2,12,36,True,True,True,True,False,Q3,62e37605bb8fc6e9e24ee5ed3ef370f5856f1bdc4d33915f20dc0739dc9ab616,model_validation
FTO,79,2,30,49,True,True,True,True,False,Q4_high,63e39568c3675828a4e2b9476e9df03c17fed4d85828e91deaa7c053a758aa88,model_validation
LARP4,30,2,10,20,True,True,True,True,False,Q1_low,77286f73f9195f1c71acb7d8f07100f11e59cd7dfaa0ba241aa54be13d8890f2,model_validation
CNOT4,33,2,14,19,True,True,True,True,False,Q1_low,9696b70c3015f8e25aeb440593e09c8da1bc9e98453423ae924ae056ca6b2fb6,model_validation
HNRNPM,44,2,21,23,True,True,True,True,False,Q3,a6d576632286bd1a3faf785c2987455eeacc80b4cce59940d4049bcf4b2d7e3e,prospective_evaluation
TBRG4,53,2,19,34,True,True,True,True,False,Q3,a772b5466cb667e7243228ff2965f78fe00b306b7d2e115f67ed4cd0e1b224d1,prospective_evaluation
MTPAP,41,2,18,23,True,True,True,True,False,Q2,bbc70a4417a20855ab7169a790e3ce8e5edb991bd2258c53c232e5b23ed2975d,prospective_evaluation
DDX42,42,2,7,35,True,True,True,True,False,Q2,c364e314190adc5bb8b8e07d230343630513f46fd70a8e6bc9789c6889931797,prospective_evaluation
HNRNPC,36,2,5,31,True,True,True,True,False,Q2,c54c24b0bd2221621ead4cbc32fdeddb49d1e0fba5776ba22ccd4af9d3eb0ab9,prospective_evaluation
PCBP1,31,2,15,16,True,True,True,True,False,Q1_low,c7a175969b268ca5e293fa6ded8f550e124c95257c9bafcd65ff12c26f7257dc,prospective_evaluation
CPEB2,36,2,12,24,True,True,True,True,False,Q1_low,cf5dfbc91a59f29b5a596da70e906ab2ce6d944e6b131d8734f2c430dfc2d49b,prospective_evaluation
SRSF7,59,2,14,45,True,True,True,True,False,Q4_high,d28d625d1e72e196f228d896650c04d47619d2631a3dbd101ad14c2d2983c75e,prospective_evaluation
EIF4G2,34,2,13,21,True,True,True,True,False,Q1_low,d3fefe7c842473a3f940bccccb24700fa067edb7f8abe872f88731fcdffee346,prospective_evaluation
SERBP1,92,2,33,59,True,True,True,True,False,Q4_high,d450f8dac202c8f4ac1ca05eddc2cec98237d757fcc6eb18c2f576a0aaf497f2,prospective_evaluation
DDX6,40,2,17,23,True,True,True,True,False,Q2,d4b6c581a4a976986029a5dc6fd1a4d0785d96dbd729a939dd0dc2cf4efbc782,prospective_evaluation
KHSRP,26,2,11,15,True,True,True,True,False,Q1_low,e15bf64d78ca441c7cc03094f60d44c0b24bf03b69486431d6b1d111fc87f2dd,prospective_evaluation
FXR2,58,2,18,40,True,True,True,True,False,Q3,e4b1e3c430f0271669fca04ab47ecd595c1c3b9e650016316d4398c790df51ac,prospective_evaluation
MSI1,97,2,44,53,True,True,True,True,False,Q4_high,e4e4581a845cb21d0b3b668698ec24783335269f1206cabeb230c0d9a64f7ff9,prospective_evaluation
XRN2,87,2,28,59,True,True,True,True,False,Q4_high,eca61876740823d3c27a88e8f081df02fa8fb75c044f614b48502cbf39a0e369,prospective_evaluation
U2AF2,46,2,17,29,True,True,True,True,False,Q3,ed62584e1b54277a834c9ee4e880ec9976e86aa336f1e0ecf822a88e674399da,prospective_evaluation
SLTM,107,2,8,99,True,True,True,True,False,Q4_high,f22c0679dbb4470f1a3f3b0da8254690c092a1cca0d6491613a4725211e6318f,prospective_evaluation
AGGF1,32,2,14,18,True,True,True,True,False,Q1_low,f3b26705e31294d7a5134a9d0a7180c2e0dc12b30cb8721f3165d2df9844cf44,prospective_evaluation
BUD13,48,2,17,31,True,True,True,True,False,Q3,f8e8558f83e9619f652244d24f3711b6a5a141512a2555599a914530dbb67a2f,prospective_evaluation
ILF3,42,2,16,26,True,True,True,True,False,Q2,ff19a9585b178866c39d6d5d9da75e5813ca4c0b4393c015f44077c5d843b211,prospective_evaluation
RALY,28,2,13,15,True,True,True,True,False,Q1_low,01f34e604ce783e5de2d98b3d0d13f11a9766b6844c1207d7cf56e13154c531e,supervised_train
PUM2,39,2,13,26,True,True,True,True,False,Q2,02496da381c8abba9de957a2c1a1f87ddf3de2194781a36f5a80746fb209330d,supervised_train
RBM42,40,2,19,21,True,True,True,True,False,Q2,02a262d5715f8c6e102b5613c03c7d25c7ef1c890c41c470a3195bd82ef88ee9,supervised_train
DGCR8,47,2,21,26,True,True,True,True,False,Q3,09c6b75352eeb0e0ff7e0ff838f763ac87a03e8c864688c90a073cc6e39d468f,supervised_train
PTBP1,28,2,6,22,True,True,True,True,False,Q1_low,105c79092a3f8e5af00081645138acd1e3d5ee1db0ebd54c168261091f88fdb9,supervised_train
DAZAP1,104,2,34,70,True,True,True,True,False,Q4_high,135baef1e1afc4d12bb69734d6491403eb341a3135d2d05b1a3f5e4bb97c6e18,supervised_train
SRSF9,41,2,16,25,True,True,True,True,False,Q2,16a1ef292093035d155b843b0f84c8b10e5d08e9f94ba4165029bfdbaa2d5310,supervised_train
PPIL4,59,2,19,40,True,True,True,True,False,Q4_high,1d3f06a5b3cd7274766cfaa21992c207bee74aa4acf53151813f870a34db2dcf,supervised_train
SF3B4,43,2,16,27,True,True,True,True,False,Q3,239c340dba4a7c76344050f81da30c0d352536523ee0763824024d78cc3b3437,supervised_train
DROSHA,36,2,16,20,True,True,True,True,False,Q1_low,2571a8df5f907c1894eb027cbabe36582f04daa1651d9b44728c6183faff8375,supervised_train
RBM4,42,2,15,27,True,True,True,True,False,Q2,25fdd9eade4f05a1a1da99074ed93b62e43c075a393e2d18691ba39c5e3cf51f,supervised_train
SRSF1,68,2,29,39,True,True,True,True,False,Q4_high,273d0a9bf4b1c0563e94c53c75bff9b3fdf0761cd18f63613915075c7cc171fd,supervised_train
SART3,55,2,23,32,True,True,True,True,False,Q3,27a993549c33b80fc1adaf870d87dcef261073776cd577f3835f5b0734a5bf8a,supervised_train
FXR1,42,2,19,23,True,True,True,True,False,Q2,2912d0f4fc0b498d7da0c1943d4391e40a70da7702d908ed2256c3d4637de0a2,supervised_train
TAF15,44,2,9,35,True,True,True,True,False,Q3,2b9d16d7056438a7a023ca3b60c1ed62da61c26896dbb147bbc394951d0eafb6,supervised_train
AKAP8L,58,2,28,30,True,True,True,True,False,Q3,2d45d481e0b3e41fc3a202b9320cc4179bc7d66649b8d526e129da4d2238cef3,supervised_train
IGF2BP1,65,2,18,47,True,True,True,True,False,Q4_high,2e90f6e8abe2746ed9e9bb4165b2ea7eb719bfa1ac9a2e160a3ebe5a6d1ec572,supervised_train
IGF2BP3,24,2,11,13,True,True,True,True,False,Q1_low,32d051c2631ec7a5a4244152d169dafbaf7aa2dfed95ac532a6144e0e196729c,supervised_train
SMNDC1,42,2,18,24,True,True,True,True,False,Q2,34461385fa43f2f3b16084de17e5ae2a673432bd5c75ae491c7ce0e1e98e21bc,supervised_train
GTF2F1,68,2,26,42,True,True,True,True,False,Q4_high,3848d6310a085e473964efde6ff36496253a15dff4e87c3b508f13fcd44d34d7,supervised_train
DDX55,53,2,16,37,True,True,True,True,False,Q3,38f767ccb61c4fda665beac9d82694ba85b8dec62b2986608460577aab61701f,supervised_train
ZNF622,80,2,34,46,True,True,True,True,False,Q4_high,3c10a2bcb1c713caa8f5cc1c327fd953a11382dc36726f79f46adc756aac3d2a,supervised_train
UCHL5,56,2,27,29,True,True,True,True,False,Q3,4144cc2e416f426db4ea68b6624ad6b1058308aa90a469905df3329c6460e70e,supervised_train
RBM45,22,2,10,12,True,True,True,True,False,Q1_low,43331ea39dc6edd5100befb75dc696853e7e8f35e6bb6d0387a9b8f1c3228f4e,supervised_train
EWSR1,25,2,5,20,True,True,True,True,False,Q1_low,46cd75b99495993e7b5fc41a09ba7a926545b781e65e6bee377a59cc154acab3,supervised_train
RBM27,66,2,31,35,True,True,True,True,False,Q4_high,4a79a3a3ddbe89bd6c379bac16f0679d42d11189802850180a646b8723344298,supervised_train
KHDRBS1,41,2,12,29,True,True,True,True,False,Q2,4ae38d9a0437a2f4999f00491f5ee2e0c7fca9f1566ef0cfd45aad51e17ba39f,supervised_train
NONO,32,2,5,27,True,True,True,True,False,Q1_low,5337fd9510e79ec7655e88c83e672e645f2fd6a07712ff416df83b8f2b4e1d1f,supervised_train
