name,wos_name,field,track,track_cn,verdict_a,verdict_b,verdict_a_cn,verdict_b_cn,cas_note,publishes,a_ask,b_ask,a_why,b_why,we_have,we_lack,b_have,b_lack,source_opened,profile_origin,official_scope_verified,care_a,care_b
Algorithms for Molecular Biology,Algorithms for Molecular Biology,MCB+BRM+BIOTECH,bioinfo_methods,生物信息方法,discuss_narrow,q2_not_ready,可讨论（必须收窄主张）,候选但未就绪,算法刊。,Algorithms for Molecular Biology 收分子生物信息里的算法，篇幅和影响力都小于牛津 Bioinformatics。幅度必须当主基线。不能写成二区一定能发。,算法贡献和基线。,训练算法是否新。,业务A可收窄。,业务B未就绪。,"E201：1808 个主任务、K562/RPE1/HepG2/Jurkat 先封存再解封；SafeConf Spearman 0.4082，区间 [0.3506, 0.4621]；预测幅度 0.6189；偏相关 0.2503；20% 效用 0.3200 vs 幅度 0.5943。",单独排序没有超过幅度（效用差 -0.2743）；E205 未跑，四个种子仍是同一 GAT；没有冻结后的新外部数据；没有湿实验。,E204 只有工程验收：权重覆盖正确、对照权重为 1、没有偷看目标扰动表达。没有 80 轮正式效果表，不能写模型变准。,缺 16 个 risk_weighted + 16 个 dispersion_only 的 80 轮正式模型，以及与 E201 的 16 个 uniform 模型按同一 target、同一 seed 成对比较。主判断已冻结：高难任务 RMSE 是否下降，全体 RMSE 恶化是否不超过 5%。,2026-09-07 打开 数学与计算生物学 完整名单；2026-09-07 打开 生化研究方法 完整名单；2026-09-07 打开 生物技术与应用微生物 完整名单,hand_profile,not_recorded,"2,2,1,0,0,0,1,0","2,2,1,0,2,1,2,0"
BioData Mining,BioData Mining,MCB,bioinfo_methods,生物信息方法,discuss_narrow,q2_not_ready,可讨论（必须收窄主张）,候选但未就绪,数据挖掘方法刊。,BioData Mining 收生物数据上的挖掘方法。协议加负结果可讨论，不是二区主投。,挖掘协议和基线。,训练效果。,业务A可讨论，缺新外部。,业务B未就绪。,"E201：1808 个主任务、K562/RPE1/HepG2/Jurkat 先封存再解封；SafeConf Spearman 0.4082，区间 [0.3506, 0.4621]；预测幅度 0.6189；偏相关 0.2503；20% 效用 0.3200 vs 幅度 0.5943。",单独排序没有超过幅度（效用差 -0.2743）；E205 未跑，四个种子仍是同一 GAT；没有冻结后的新外部数据；没有湿实验。,E204 只有工程验收：权重覆盖正确、对照权重为 1、没有偷看目标扰动表达。没有 80 轮正式效果表，不能写模型变准。,缺 16 个 risk_weighted + 16 个 dispersion_only 的 80 轮正式模型，以及与 E201 的 16 个 uniform 模型按同一 target、同一 seed 成对比较。主判断已冻结：高难任务 RMSE 是否下降，全体 RMSE 恶化是否不超过 5%。,2026-09-07 打开 数学与计算生物学 完整名单,hand_profile,not_recorded,"2,2,1,0,0,0,1,0","2,2,1,0,2,1,2,0"
Bioinformatics Advances,Bioinformatics Advances,GENOMICS,bioinfo_methods,生物信息方法,discuss_narrow,q2_not_ready,可讨论（必须收窄主张）,候选但未就绪,较新刊，分区不稳定。,Bioinformatics Advances 是牛津 Bioinformatics 的开放获取姊妹刊，口味接近主刊，但影响力和分区都还在变。更看软件/工作流是否别人能跑。适合收窄后的协议稿，不适合当“二区保证”。,安装包、独立复现、幅度基线。,正式训练效果。,业务A可收窄，分区未稳。,业务B未就绪。,"E201：1808 个主任务、K562/RPE1/HepG2/Jurkat 先封存再解封；SafeConf Spearman 0.4082，区间 [0.3506, 0.4621]；预测幅度 0.6189；偏相关 0.2503；20% 效用 0.3200 vs 幅度 0.5943。",单独排序没有超过幅度（效用差 -0.2743）；E205 未跑，四个种子仍是同一 GAT；没有冻结后的新外部数据；没有湿实验。,E204 只有工程验收：权重覆盖正确、对照权重为 1、没有偷看目标扰动表达。没有 80 轮正式效果表，不能写模型变准。,缺 16 个 risk_weighted + 16 个 dispersion_only 的 80 轮正式模型，以及与 E201 的 16 个 uniform 模型按同一 target、同一 seed 成对比较。主判断已冻结：高难任务 RMSE 是否下降，全体 RMSE 恶化是否不超过 5%。,基因组/方法交叉补入,hand_profile,not_recorded,"2,2,1,0,0,0,1,0","2,2,1,0,2,1,2,0"
BMC Bioinformatics,BMC BIOINFORMATICS,MCB+BRM+BIOTECH,bioinfo_methods,生物信息方法,discuss_narrow,q2_not_ready,可讨论（必须收窄主张）,候选但未就绪,中科院常见 3 区；CCF-C。,BMC Bioinformatics 收可复现计算方法、公开数据和与简单基线的比较，通常不强制湿实验。口味比牛津 Bioinformatics 更宽，对“协议 + 诚实负结果”容忍度更高，但影响力也更低。它不是“一定能发”的垃圾桶：主张若写成已经省湿实验预算，一样会被拒。,协议是否说清、封存哈希和 CSV 能否核、幅度是否当主基线写进摘要、四细胞系是否都报。,有没有正式训练对照。没有效果表就不要投业务B。,业务A收窄成协议+四背景盲测+负结果，有讨论空间。不是一定能发。,业务B在这本杂志也要有效果数字。E204 未完成，不能混进业务A一起投。,"E201：1808 个主任务、K562/RPE1/HepG2/Jurkat 先封存再解封；SafeConf Spearman 0.4082，区间 [0.3506, 0.4621]；预测幅度 0.6189；偏相关 0.2503；20% 效用 0.3200 vs 幅度 0.5943。",单独排序没有超过幅度（效用差 -0.2743）；E205 未跑，四个种子仍是同一 GAT；没有冻结后的新外部数据；没有湿实验。,E204 只有工程验收：权重覆盖正确、对照权重为 1、没有偷看目标扰动表达。没有 80 轮正式效果表，不能写模型变准。,缺 16 个 risk_weighted + 16 个 dispersion_only 的 80 轮正式模型，以及与 E201 的 16 个 uniform 模型按同一 target、同一 seed 成对比较。主判断已冻结：高难任务 RMSE 是否下降，全体 RMSE 恶化是否不超过 5%。,2026-09-07 打开 数学与计算生物学 完整名单；2026-09-07 打开 生化研究方法 完整名单；2026-09-07 打开 生物技术与应用微生物 完整名单,hand_profile,not_recorded,"2,2,1,0,0,0,1,0","2,2,1,0,2,1,2,0"
BMC Genetics,BMC GENETICS,GENETICS,genomics,基因组学,discuss_narrow,q2_not_ready,可讨论（必须收窄主张）,候选但未就绪,本表不把分区写成录用保证。投稿前以学院指定查询系统为准。,BMC Genetics 出现在本次打开的完整名单里，学科来源：遗传学。按刊名和栏目，它日常刊登的是基因组学：基因组发现或能推动基因组实验的方法。评价时必须把两条业务拆开：业务A是预测后给任务打风险分（SafeConf，E201 有 Spearman 0.4082），业务B是用源域风险给 TxPert 重新加权训练（E204 没有 80 轮正式效果）。不能用一句“生信刊都能投”或“都不对轨”代替逐本判断。,这本杂志会不会把业务A当成自己栏目里的方法/评价稿。,这本杂志会不会把业务B当成训练/算法增量稿。,BMC Genetics：A=可讨论（必须收窄主张）；B=候选但未就绪,业务B判定：候选但未就绪。,"E201：1808 个主任务、K562/RPE1/HepG2/Jurkat 先封存再解封；SafeConf Spearman 0.4082，区间 [0.3506, 0.4621]；预测幅度 0.6189；偏相关 0.2503；20% 效用 0.3200 vs 幅度 0.5943。",单独排序没有超过幅度（效用差 -0.2743）；E205 未跑，四个种子仍是同一 GAT；没有冻结后的新外部数据；没有湿实验。,E204 只有工程验收：权重覆盖正确、对照权重为 1、没有偷看目标扰动表达。没有 80 轮正式效果表，不能写模型变准。,缺 16 个 risk_weighted + 16 个 dispersion_only 的 80 轮正式模型，以及与 E201 的 16 个 uniform 模型按同一 target、同一 seed 成对比较。主判断已冻结：高难任务 RMSE 是否下降，全体 RMSE 恶化是否不超过 5%。,2026-09-07 打开 遗传学 完整名单,title_category_rule,not_recorded,"2,2,1,0,0,0,1,0","2,2,1,0,2,1,2,0"
BMC Genomic Data,BMC Genomic Data,GENETICS,genomics,基因组学,discuss_narrow,q2_not_ready,可讨论（必须收窄主张）,候选但未就绪,本表不把分区写成录用保证。投稿前以学院指定查询系统为准。,BMC Genomic Data 出现在本次打开的完整名单里，学科来源：遗传学。按刊名和栏目，它日常刊登的是基因组学：基因组发现或能推动基因组实验的方法。评价时必须把两条业务拆开：业务A是预测后给任务打风险分（SafeConf，E201 有 Spearman 0.4082），业务B是用源域风险给 TxPert 重新加权训练（E204 没有 80 轮正式效果）。不能用一句“生信刊都能投”或“都不对轨”代替逐本判断。,这本杂志会不会把业务A当成自己栏目里的方法/评价稿。,这本杂志会不会把业务B当成训练/算法增量稿。,BMC Genomic Data：A=可讨论（必须收窄主张）；B=候选但未就绪,业务B判定：候选但未就绪。,"E201：1808 个主任务、K562/RPE1/HepG2/Jurkat 先封存再解封；SafeConf Spearman 0.4082，区间 [0.3506, 0.4621]；预测幅度 0.6189；偏相关 0.2503；20% 效用 0.3200 vs 幅度 0.5943。",单独排序没有超过幅度（效用差 -0.2743）；E205 未跑，四个种子仍是同一 GAT；没有冻结后的新外部数据；没有湿实验。,E204 只有工程验收：权重覆盖正确、对照权重为 1、没有偷看目标扰动表达。没有 80 轮正式效果表，不能写模型变准。,缺 16 个 risk_weighted + 16 个 dispersion_only 的 80 轮正式模型，以及与 E201 的 16 个 uniform 模型按同一 target、同一 seed 成对比较。主判断已冻结：高难任务 RMSE 是否下降，全体 RMSE 恶化是否不超过 5%。,2026-09-07 打开 遗传学 完整名单,title_category_rule,not_recorded,"2,2,1,0,0,0,1,0","2,2,1,0,2,1,2,0"
BMC Genomics,BMC GENOMICS,GENETICS+BIOTECH,genomics,基因组学,discuss_narrow,q2_not_ready,可讨论（必须收窄主张）,候选但未就绪,基因组 OA。,BMC Genomics 主题偏基因组发现和组学数据。收窄成方法+数据可讨论，不是二区主投。,组学数据和方法。,训练效果。,业务A可收窄，不是二区主投。,业务B未就绪。,"E201：1808 个主任务、K562/RPE1/HepG2/Jurkat 先封存再解封；SafeConf Spearman 0.4082，区间 [0.3506, 0.4621]；预测幅度 0.6189；偏相关 0.2503；20% 效用 0.3200 vs 幅度 0.5943。",单独排序没有超过幅度（效用差 -0.2743）；E205 未跑，四个种子仍是同一 GAT；没有冻结后的新外部数据；没有湿实验。,E204 只有工程验收：权重覆盖正确、对照权重为 1、没有偷看目标扰动表达。没有 80 轮正式效果表，不能写模型变准。,缺 16 个 risk_weighted + 16 个 dispersion_only 的 80 轮正式模型，以及与 E201 的 16 个 uniform 模型按同一 target、同一 seed 成对比较。主判断已冻结：高难任务 RMSE 是否下降，全体 RMSE 恶化是否不超过 5%。,2026-09-07 打开 遗传学 完整名单；2026-09-07 打开 生物技术与应用微生物 完整名单,hand_profile,not_recorded,"2,2,1,0,0,0,1,0","2,2,1,0,2,1,2,0"
BMC Medical Genomics,BMC Medical Genomics,GENETICS,genomics,基因组学,discuss_narrow,q2_not_ready,可讨论（必须收窄主张）,候选但未就绪,本表不把分区写成录用保证。投稿前以学院指定查询系统为准。,BMC Medical Genomics 出现在本次打开的完整名单里，学科来源：遗传学。按刊名和栏目，它日常刊登的是基因组学：基因组发现或能推动基因组实验的方法。评价时必须把两条业务拆开：业务A是预测后给任务打风险分（SafeConf，E201 有 Spearman 0.4082），业务B是用源域风险给 TxPert 重新加权训练（E204 没有 80 轮正式效果）。不能用一句“生信刊都能投”或“都不对轨”代替逐本判断。,这本杂志会不会把业务A当成自己栏目里的方法/评价稿。,这本杂志会不会把业务B当成训练/算法增量稿。,BMC Medical Genomics：A=可讨论（必须收窄主张）；B=候选但未就绪,业务B判定：候选但未就绪。,"E201：1808 个主任务、K562/RPE1/HepG2/Jurkat 先封存再解封；SafeConf Spearman 0.4082，区间 [0.3506, 0.4621]；预测幅度 0.6189；偏相关 0.2503；20% 效用 0.3200 vs 幅度 0.5943。",单独排序没有超过幅度（效用差 -0.2743）；E205 未跑，四个种子仍是同一 GAT；没有冻结后的新外部数据；没有湿实验。,E204 只有工程验收：权重覆盖正确、对照权重为 1、没有偷看目标扰动表达。没有 80 轮正式效果表，不能写模型变准。,缺 16 个 risk_weighted + 16 个 dispersion_only 的 80 轮正式模型，以及与 E201 的 16 个 uniform 模型按同一 target、同一 seed 成对比较。主判断已冻结：高难任务 RMSE 是否下降，全体 RMSE 恶化是否不超过 5%。,2026-09-07 打开 遗传学 完整名单,title_category_rule,not_recorded,"2,2,1,0,0,0,1,0","2,2,1,0,2,1,2,0"
Computational Biology and Chemistry,COMPUTATIONAL BIOLOGY AND CHEMISTRY,CS_IA,bioinfo_methods,生物信息方法,discuss_narrow,q2_not_ready,可讨论（必须收窄主张）,候选但未就绪,计算生物学与化学交叉。,Computational Biology and Chemistry 收计算生物学和化学信息交叉，影响力低于主刊。可收窄讨论协议，不是二区主投。,计算方法。,训练效果。,业务A可收窄。,业务B未就绪。,"E201：1808 个主任务、K562/RPE1/HepG2/Jurkat 先封存再解封；SafeConf Spearman 0.4082，区间 [0.3506, 0.4621]；预测幅度 0.6189；偏相关 0.2503；20% 效用 0.3200 vs 幅度 0.5943。",单独排序没有超过幅度（效用差 -0.2743）；E205 未跑，四个种子仍是同一 GAT；没有冻结后的新外部数据；没有湿实验。,E204 只有工程验收：权重覆盖正确、对照权重为 1、没有偷看目标扰动表达。没有 80 轮正式效果表，不能写模型变准。,缺 16 个 risk_weighted + 16 个 dispersion_only 的 80 轮正式模型，以及与 E201 的 16 个 uniform 模型按同一 target、同一 seed 成对比较。主判断已冻结：高难任务 RMSE 是否下降，全体 RMSE 恶化是否不超过 5%。,2026-09-07 打开 计算机科学跨学科应用 完整名单,hand_profile,not_recorded,"2,2,1,0,0,0,1,0","2,2,1,0,2,1,2,0"
Current Bioinformatics,Current Bioinformatics,MCB+BRM,bioinfo_methods,生物信息方法,discuss_narrow,q2_not_ready,可讨论（必须收窄主张）,候选但未就绪,影响力与二区主刊不同。,Current Bioinformatics 收生物信息方法，影响力明显低于 Bioinformatics / Briefings。可收窄讨论，不能当二区主目标。,方法是否说清。,训练效果。,业务A可收窄，不是二区主目标。,业务B未就绪。,"E201：1808 个主任务、K562/RPE1/HepG2/Jurkat 先封存再解封；SafeConf Spearman 0.4082，区间 [0.3506, 0.4621]；预测幅度 0.6189；偏相关 0.2503；20% 效用 0.3200 vs 幅度 0.5943。",单独排序没有超过幅度（效用差 -0.2743）；E205 未跑，四个种子仍是同一 GAT；没有冻结后的新外部数据；没有湿实验。,E204 只有工程验收：权重覆盖正确、对照权重为 1、没有偷看目标扰动表达。没有 80 轮正式效果表，不能写模型变准。,缺 16 个 risk_weighted + 16 个 dispersion_only 的 80 轮正式模型，以及与 E201 的 16 个 uniform 模型按同一 target、同一 seed 成对比较。主判断已冻结：高难任务 RMSE 是否下降，全体 RMSE 恶化是否不超过 5%。,2026-09-07 打开 数学与计算生物学 完整名单；2026-09-07 打开 生化研究方法 完整名单,hand_profile,not_recorded,"2,2,1,0,0,0,1,0","2,2,1,0,2,1,2,0"
