safeconf_perturbation,scperturbench_drug,match_type,notes
ABT-737,ABT737,exact,case/spacing/punctuation normalization only
AC480 (BMS-599626),AC480,alias,matched after removing SafeConf parenthetical aliases
AG-14361,AG14361,exact,case/spacing/punctuation normalization only
AICAR (Acadesine),AICAR,alias,matched after removing SafeConf parenthetical aliases
AZ 960,AZ,manual,manual proposal; excluded because manual count exceeds preregistered limit
Abexinostat (PCI-24781),Abexinostat,alias,matched after removing SafeConf parenthetical aliases
Alendronate sodium trihydrate,Alendronate,manual,manual proposal; excluded because manual count exceeds preregistered limit
Altretamine,Altretamine,exact,case/spacing/punctuation normalization only
Alvespimycin (17-DMAG) HCl,Alvespimycin,manual,manual proposal; excluded because manual count exceeds preregistered limit
Azacitidine,Azacitidine,exact,case/spacing/punctuation normalization only
BMS-536924,BMS536924,exact,case/spacing/punctuation normalization only
Barasertib (AZD1152-HQPA),Barasertib,alias,matched after removing SafeConf parenthetical aliases
Belinostat (PXD101),Belinostat,alias,matched after removing SafeConf parenthetical aliases
Busulfan,Busulfan,exact,case/spacing/punctuation normalization only
CEP-33779,CEP33779,exact,case/spacing/punctuation normalization only
CYC116,CYC116,exact,case/spacing/punctuation normalization only
Carmofur,Carmofur,exact,case/spacing/punctuation normalization only
Cediranib (AZD2171),Cediranib,alias,matched after removing SafeConf parenthetical aliases
Cimetidine,Cimetidine,exact,case/spacing/punctuation normalization only
Clevudine,Clevudine,exact,case/spacing/punctuation normalization only
Costunolide,Costunolide,exact,case/spacing/punctuation normalization only
Crizotinib (PF-02341066),Crizotinib,alias,matched after removing SafeConf parenthetical aliases
Curcumin,Curcumin,exact,case/spacing/punctuation normalization only
Dacinostat (LAQ824),Dacinostat,alias,matched after removing SafeConf parenthetical aliases
Danusertib (PHA-739358),Danusertib,alias,matched after removing SafeConf parenthetical aliases
Droxinostat,Droxinostat,exact,case/spacing/punctuation normalization only
EED226,EED226,exact,case/spacing/punctuation normalization only
Epothilone A,Epothilone,manual,manual proposal; excluded because manual count exceeds preregistered limit
Fasudil (HA-1077) HCl,Fasudil,manual,manual proposal; excluded because manual count exceeds preregistered limit
Flavopiridol HCl,Flavopiridol,manual,manual proposal; excluded because manual count exceeds preregistered limit
