perturbation,n_seeds
ACSL3,1
AEBP1,1
AGA,1
APOE,1
BOLA2,3
BZW2,1
CCT3,1
CD47,1
CDK4,2
CDK6,1
CDKN1A,2
CKS1B,1
CMSS1,1
CTSB,1
CTSL,2
DDX39A,3
DLL3,1
EIF3K,1
FGFR1,1
FKBP4,1
FOS,1
FSTL3,1
FTH1,1
HLA-B,1
HLA-C,1
HNRNPA1,2
HNRNPC,1
IDH2,1
IFNGR1,2
IRF3,1
IRF4,1
ISYNA1,2
JAK1,2
JAK2,1
KCNN4,1
KLF4,2
LRPAP1,1
MT2A,2
NACA,2
NONO,1
NPC2,2
PABPC1,1
PFDN4,1
PFN1,1
POLD2,1
PPA1,1
PPIA,1
PUF60,1
PYGB,1
RAB27A,1
RB1,2
RNF213,1
ROMO1,2
RUVBL2,1
SDC3,1
SDCBP,1
SET,1
SLC25A13,1
SLC5A3,1
SNRPG,1
SOX4,2
SSR2,1
STAT3,1
STOM,1
TFAP2A,1
TGFB1,1
TIMM50,1
TIMP1,2
TOP1MT,1
TPP1,1
TPRKB,1
UBC,1
UQCRFS1,1
WBP2,1
