gene,selection_rule,metadata_selection_sha256
C7orf26,metadata overlap and >=1 eligible target batch,a2f2b3e1c7c2a61a1e02622d231f63e415024128b92c4868d91843d16c702d7e
COPB1,metadata overlap and >=1 eligible target batch,447fe9d8e05d5282049a2b611b71496ffc2bf9f0ffca72b5e5848a1fd4fe34ec
COPZ1,metadata overlap and >=1 eligible target batch,9937e7651209aac1acb14bd5f7e7fd92b28845494a6721534b4535bb5d433989
DAD1,metadata overlap and >=1 eligible target batch,b6cd80618f5a725ac71eb3d1aa66c00a195b4c8e4da896bd4a58b417ef2b01b4
DARS,metadata overlap and >=1 eligible target batch,ab4ec03bc45e78758707cc211e05b20730936a84e231c90fe3b1e178701300d1
DERL2,metadata overlap and >=1 eligible target batch,2612d2f937a6e857d7574091feb2d87def96d93538d16d91025aa59eb0033cc2
DHDDS,metadata overlap and >=1 eligible target batch,4bac6922aa8464b2635a123c14094842bd5a2468c41d2401695f03a6babfb780
DNAJC19,metadata overlap and >=1 eligible target batch,f4efdcda6c987b97a86b5a2124aa575f52b45518d9ab86bf304eacff058ed009
EIF2B2,metadata overlap and >=1 eligible target batch,c9e317963f92dafd92d0100ce6ccd2e3795fc35b6895914f7a08a9713949beb2
EIF2B3,metadata overlap and >=1 eligible target batch,9f2f2f8ec18ea72a8efb47f210d83ce94c6c316ac4be94a0c22fca538be18fde
EIF2B4,metadata overlap and >=1 eligible target batch,9c796bd81c5bafd3d16720326f06ceab841d8a21edba549136d45abf9af1d378
EIF2S1,metadata overlap and >=1 eligible target batch,a91cd449518ab330371b9e2464ab34e3db735555f5165e53fd548d5912281026
FARSB,metadata overlap and >=1 eligible target batch,dcf84a26150a74106c29f65983f37c923861674d035aa787f372c3f8112a0540
GBF1,metadata overlap and >=1 eligible target batch,fc9527414c2a04aba2a7d5a3416235711b5200612a284be2336aabac247a2e08
GMPPB,metadata overlap and >=1 eligible target batch,61816344581a583239fa0d6640f9f67630ec2596f4f72356937e96b1d2a84663
GNPNAT1,metadata overlap and >=1 eligible target batch,8d07fb8887bd85aba60cf10d55502b31a2b740cd0f2f8cf8ab3442581e121058
HARS,metadata overlap and >=1 eligible target batch,ec6eb1c46c482282c40388ba903222742311935bf5131aa64931b3ed56f71d10
HSD17B12,metadata overlap and >=1 eligible target batch,884b32fa28d83b04007adcc03c9f2821df23a9ec289aa65ca62cc05dc67a9c75
HSPA5,metadata overlap and >=1 eligible target batch,ac5331c245fb7d551f1f1fe39ccfafcc372c703eb302a8cf17ea444e9fb6d789
HSPA9,metadata overlap and >=1 eligible target batch,a35f97fbde806f5b704a94e20a61e534cf8534d5c7f882076f1e08dac0f57167
IARS2,metadata overlap and >=1 eligible target batch,6f09b1835450294e2933f350ba79dc170f62f506a3642907f753e9dd04a150bf
MANF,metadata overlap and >=1 eligible target batch,0349f7c4fd2c8dc8ef125af05e2a989d89a88dd46d997631246ff021529b43cc
MARS,metadata overlap and >=1 eligible target batch,05163a0b4622bad2e1aacedfc9647504a0b199a8e0e9505255b02cf456816b53
MRGBP,metadata overlap and >=1 eligible target batch,0ed781e7f0906942a06a3cd62833ea92d892f7b99ecca5455eda467024943e53
MRPL39,metadata overlap and >=1 eligible target batch,b4bda0d8c5fc6d9f25932c53ad20af1e6e2b44d1e5b9cbaa73ab744f6eb23c81
NEDD8,metadata overlap and >=1 eligible target batch,00abc41969ac1d54d0d7881d1bb9fab917162c40ce4582bfdef064964362bdbc
PSMA1,metadata overlap and >=1 eligible target batch,06f6f0d0cbe7ef04b79f87fc83be3c2ea223a9f58ac0ca33e1e6d654c96eda72
PSMD12,metadata overlap and >=1 eligible target batch,049360e2e8b2e180e746ddb14c4359c72dde8af96810377112ac688a4e924d0d
PSMD4,metadata overlap and >=1 eligible target batch,2b9cffda71a1c66d47a1d9f6326a61b8ec3763ca5fe2f6686b3e134607ef9cee
QARS,metadata overlap and >=1 eligible target batch,b417c7414333db48e387c72d871c06ba32702b1c2037dc180b49ccc05a3d6d83
SAMM50,metadata overlap and >=1 eligible target batch,d1349b9fa96b5ce5f574a373d734a3ce7eff00989924e37ddecedb6fc2a99d44
SEC61A1,metadata overlap and >=1 eligible target batch,b252cd048eccd28f6d46a8c7d960460e82adc6da587266efe72f4435471805f0
SEC61B,metadata overlap and >=1 eligible target batch,474d360398d62bf8f37e6a300284b50a2bb166507269af321325f0143885095a
SEC61G,metadata overlap and >=1 eligible target batch,7f188ffa7095aaa265f37bbc30e8836a3919b513d98a745738faf85400726b7d
SEC63,metadata overlap and >=1 eligible target batch,3e7cc6160feea9ce56512c17fff669cbc28fec632193c66f49ac958a108bb9eb
SLC39A7,metadata overlap and >=1 eligible target batch,c5e2760f9ba8953e9c048dcf74738dd5dc666734f9ef00739cb4bdf20838f649
SPCS2,metadata overlap and >=1 eligible target batch,a4993c10db80d54143e040fba65c810fd3b8465d01b6934da0530d031b094948
SPCS3,metadata overlap and >=1 eligible target batch,9c95e54a7d0ba3085b77dcbad93d9d6782de3cddb5fb735dfbceb6ad665bd22e
SRP68,metadata overlap and >=1 eligible target batch,b88c9ebf7cb1eba69c9dc1734a431534c42617c5675390a8f270adb63dd68b99
SRP72,metadata overlap and >=1 eligible target batch,96b979a1ff911f90595b32ae00c795d2e92312297c0f8284c7069d87f02cf964
SRPRB,metadata overlap and >=1 eligible target batch,c1169bc66e25965f8b09487d1389f7bbae07918dc3ba2170fddbf6549bc0ae98
TARS,metadata overlap and >=1 eligible target batch,72e019d1622ea5da8d0d1ed49e3ba209ce5511cc58373e97e6f475c54f1166c2
TIMM44,metadata overlap and >=1 eligible target batch,37b0270c9626cd8abf5f219096d5932fa18674a64729286c2c54a0fbe48b35e5
TMED2,metadata overlap and >=1 eligible target batch,db6759e227a29f6a17180ca971a44f0a5cc2c21888da19c3adc3189774638bd6
TTI1,metadata overlap and >=1 eligible target batch,4f8f70f0d6f83d407166ae67d9b5214f9357c4f859ed9814a4709c38a328e225
UFL1,metadata overlap and >=1 eligible target batch,59f9693ed8997c57f622a7ef830a8dcb862a7800fcc78fd71e84ea9414a1b276
UFM1,metadata overlap and >=1 eligible target batch,a84b36707b6a04ad8da0f5aa8263ba20f330cb8fcb204151dafadad44355f5e4
