split_type,heldout,n_train,n_test,shared_perturbations,dataset,local_path,shared_contexts
leave_context,Endocrine,21,3,3.0,Haber,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Haber.h5ad,
leave_context,Enterocyte,21,3,3.0,Haber,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Haber.h5ad,
leave_context,Enterocyte_Progenitor,21,3,3.0,Haber,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Haber.h5ad,
leave_context,Goblet,21,3,3.0,Haber,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Haber.h5ad,
leave_context,Stem,21,3,3.0,Haber,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Haber.h5ad,
leave_context,TA,21,3,3.0,Haber,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Haber.h5ad,
leave_context,TA_Early,21,3,3.0,Haber,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Haber.h5ad,
leave_context,Tuft,21,3,3.0,Haber,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Haber.h5ad,
heldout_perturbation,Hpoly_Day10,16,8,,Haber,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Haber.h5ad,8.0
heldout_perturbation,Hpoly_Day3,16,8,,Haber,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Haber.h5ad,8.0
heldout_perturbation,Salmonella,16,8,,Haber,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Haber.h5ad,8.0
leave_context,endothelial,20,10,10.0,Parekh,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Parekh.h5ad,
leave_context,hPSC,20,10,10.0,Parekh,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Parekh.h5ad,
leave_context,multilineage,20,10,10.0,Parekh,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Parekh.h5ad,
heldout_perturbation,ASCL3,27,3,,Parekh,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Parekh.h5ad,3.0
heldout_perturbation,CDX2,27,3,,Parekh,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Parekh.h5ad,3.0
heldout_perturbation,FOXP1,27,3,,Parekh,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Parekh.h5ad,3.0
heldout_perturbation,HAND2,27,3,,Parekh,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Parekh.h5ad,3.0
heldout_perturbation,HOXA10,27,3,,Parekh,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Parekh.h5ad,3.0
heldout_perturbation,KLF4,27,3,,Parekh,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Parekh.h5ad,3.0
heldout_perturbation,LMX1A,27,3,,Parekh,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Parekh.h5ad,3.0
heldout_perturbation,MYOG,27,3,,Parekh,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Parekh.h5ad,3.0
heldout_perturbation,SNAI2,27,3,,Parekh,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Parekh.h5ad,3.0
heldout_perturbation,SPI1,27,3,,Parekh,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/Parekh.h5ad,3.0
leave_context,CD4,14,10,10.0,KaggleCrossCell,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,
leave_context,CD8,22,2,2.0,KaggleCrossCell,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,
leave_context,Myeloid,19,5,5.0,KaggleCrossCell,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,
leave_context,NK,18,6,6.0,KaggleCrossCell,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,
heldout_perturbation,AT13387,22,2,,KaggleCrossCell,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,2.0
heldout_perturbation,CEP18770,22,2,,KaggleCrossCell,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,2.0
heldout_perturbation,CHIR99021,21,3,,KaggleCrossCell,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,3.0
heldout_perturbation,Ganetespib,22,2,,KaggleCrossCell,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,2.0
heldout_perturbation,LDN,21,3,,KaggleCrossCell,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,3.0
heldout_perturbation,Linagliptin,21,3,,KaggleCrossCell,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,3.0
heldout_perturbation,MLN,22,2,,KaggleCrossCell,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,2.0
heldout_perturbation,Oprozomib,22,2,,KaggleCrossCell,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,1.0
heldout_perturbation,Palbociclib,21,3,,KaggleCrossCell,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,3.0
heldout_perturbation,Penfluridol,22,2,,KaggleCrossCell,/home/yyf/datasets/singlecell_perturbation_atlas/extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,2.0
