permutation_index,median_spearman,source_file,source_commit
0,-0.1684673638209704,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_SHUFFLED_NULL.csv,e8a3594
1,0.1787093228519188,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_SHUFFLED_NULL.csv,e8a3594
2,0.1606611324414335,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_SHUFFLED_NULL.csv,e8a3594
3,0.0620424892690283,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_SHUFFLED_NULL.csv,e8a3594
4,-0.173850463294335,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_SHUFFLED_NULL.csv,e8a3594
5,-0.1045382209867596,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_SHUFFLED_NULL.csv,e8a3594
6,0.082959908419798,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_SHUFFLED_NULL.csv,e8a3594
7,-0.0196566760851468,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_SHUFFLED_NULL.csv,e8a3594
8,0.0918871021601019,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_SHUFFLED_NULL.csv,e8a3594
9,0.007164672286629,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_SHUFFLED_NULL.csv,e8a3594
10,-0.0848040241833517,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_SHUFFLED_NULL.csv,e8a3594
11,0.0338315230796012,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_SHUFFLED_NULL.csv,e8a3594
12,-0.0949004322954724,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_SHUFFLED_NULL.csv,e8a3594
13,0.0356099204441066,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_SHUFFLED_NULL.csv,e8a3594
14,0.2175860434267148,docs/实验结果/E1_E4_preregistered_20260614/E8b_scperturbench_association/E8b_FRANGIEH_SHUFFLED_NULL.csv,e8a3594
