dataset,modality,fold_id,heldout_context,source_contexts,split,setting,context,cell_line,perturbation,n_cells,perturbation_seen_in_training,context_seen_in_training,selected_without_expression_values,disjoint_from_E136,in_train_fraction_100
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,UBQLN4,76,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,RPS27,91,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,CENPT,70,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,CHMP6,67,False,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,EGLN2,55,False,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,EIF4G2,65,False,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,HSPA9,104,False,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,MRPL27,60,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,SMC5,75,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,POLR3E,54,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,GTF2E2,476,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,NISCH,74,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,RNF123,56,False,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,TNPO3,56,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,TSEN2,58,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,SBNO1,65,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,MED8,76,False,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,KTI12,72,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,DERL2,73,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,RPS15,57,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,USF2,54,False,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,SLC7A6OS,51,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,RPL35,82,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,LONP1,58,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,RPP21,82,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,PSMD14,75,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,POP1,58,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,DOLK,73,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,SRP9,87,False,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,ACIN1,78,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,PGAM5,50,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,INTS3,74,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,NOP14,123,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,FBRSL1,61,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,GSK3B,59,False,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,ELAC2,57,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,TUBB,97,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,POP7,62,False,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,PHF5A,58,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,DCTN3,80,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,TARDBP,262,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,RNPS1,61,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,DOHH,86,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,UTP18,95,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,SRRM1,53,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,MRPL16,63,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,TAF11,61,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,TINF2,50,False,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,TUBE1,52,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,NOL8,124,False,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,NUDC,67,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,EIF4H,52,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,AURKAIP1,56,True,False,True,True,False
Nadig_E237_disjoint,CRISPRi_gene_knockdown_cellline_shift,E237_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,DNAJA3,61,False,False,True,True,False
