query_index,task_id
0,RPE1::11::COPZ1
1,RPE1::15::COPZ1
2,RPE1::17::COPZ1
3,RPE1::35::COPZ1
4,RPE1::38::COPZ1
5,RPE1::43::COPZ1
6,RPE1::13::DERL2
7,RPE1::21::DERL2
8,RPE1::22::DERL2
9,RPE1::25::DERL2
10,RPE1::26::DERL2
11,RPE1::34::DERL2
12,RPE1::12::DNAJC19
13,RPE1::14::DNAJC19
14,RPE1::16::DNAJC19
15,RPE1::22::DNAJC19
16,RPE1::34::DNAJC19
17,RPE1::55::DNAJC19
18,RPE1::10::EIF2B2
19,RPE1::11::EIF2B2
20,RPE1::13::EIF2B2
21,RPE1::14::EIF2B2
22,RPE1::15::EIF2B2
23,RPE1::2::EIF2B2
24,RPE1::23::EIF2B2
25,RPE1::33::EIF2B2
26,RPE1::53::EIF2B2
27,RPE1::30::GBF1
28,RPE1::14::GMPPB
29,RPE1::44::GMPPB
30,RPE1::12::GNPNAT1
31,RPE1::14::GNPNAT1
32,RPE1::15::GNPNAT1
33,RPE1::16::GNPNAT1
34,RPE1::18::GNPNAT1
35,RPE1::20::GNPNAT1
36,RPE1::25::GNPNAT1
37,RPE1::29::GNPNAT1
38,RPE1::3::GNPNAT1
39,RPE1::31::GNPNAT1
40,RPE1::35::GNPNAT1
41,RPE1::49::GNPNAT1
42,RPE1::52::GNPNAT1
43,RPE1::53::GNPNAT1
44,RPE1::8::GNPNAT1
45,RPE1::10::HSD17B12
46,RPE1::11::HSD17B12
47,RPE1::12::HSD17B12
48,RPE1::13::HSD17B12
49,RPE1::14::HSD17B12
50,RPE1::17::HSD17B12
51,RPE1::18::HSD17B12
52,RPE1::2::HSD17B12
53,RPE1::20::HSD17B12
54,RPE1::21::HSD17B12
55,RPE1::22::HSD17B12
56,RPE1::24::HSD17B12
57,RPE1::25::HSD17B12
58,RPE1::28::HSD17B12
59,RPE1::29::HSD17B12
60,RPE1::30::HSD17B12
61,RPE1::31::HSD17B12
62,RPE1::32::HSD17B12
63,RPE1::33::HSD17B12
64,RPE1::34::HSD17B12
65,RPE1::35::HSD17B12
66,RPE1::36::HSD17B12
67,RPE1::37::HSD17B12
68,RPE1::38::HSD17B12
69,RPE1::39::HSD17B12
70,RPE1::4::HSD17B12
71,RPE1::42::HSD17B12
72,RPE1::43::HSD17B12
73,RPE1::44::HSD17B12
74,RPE1::48::HSD17B12
75,RPE1::5::HSD17B12
76,RPE1::50::HSD17B12
77,RPE1::51::HSD17B12
78,RPE1::54::HSD17B12
79,RPE1::55::HSD17B12
80,RPE1::6::HSD17B12
81,RPE1::7::HSD17B12
82,RPE1::8::HSD17B12
83,RPE1::9::HSD17B12
84,RPE1::43::HSPA5
85,RPE1::20::HSPA9
86,RPE1::31::HSPA9
87,RPE1::25::IARS2
88,RPE1::11::MANF
89,RPE1::13::MANF
90,RPE1::16::MANF
91,RPE1::18::MANF
92,RPE1::20::MANF
93,RPE1::22::MANF
94,RPE1::25::MANF
95,RPE1::28::MANF
96,RPE1::33::MANF
97,RPE1::35::MANF
98,RPE1::38::MANF
99,RPE1::48::MANF
100,RPE1::52::MANF
101,RPE1::55::MANF
102,RPE1::6::MANF
103,RPE1::10::MRPL39
104,RPE1::12::MRPL39
105,RPE1::13::MRPL39
106,RPE1::15::MRPL39
107,RPE1::16::MRPL39
108,RPE1::17::MRPL39
109,RPE1::19::MRPL39
110,RPE1::2::MRPL39
111,RPE1::20::MRPL39
112,RPE1::25::MRPL39
113,RPE1::26::MRPL39
114,RPE1::29::MRPL39
115,RPE1::3::MRPL39
116,RPE1::30::MRPL39
117,RPE1::31::MRPL39
118,RPE1::34::MRPL39
119,RPE1::35::MRPL39
120,RPE1::36::MRPL39
121,RPE1::38::MRPL39
122,RPE1::40::MRPL39
123,RPE1::42::MRPL39
124,RPE1::44::MRPL39
125,RPE1::5::MRPL39
126,RPE1::51::MRPL39
127,RPE1::52::MRPL39
128,RPE1::54::MRPL39
129,RPE1::55::MRPL39
130,RPE1::56::MRPL39
131,RPE1::6::MRPL39
132,RPE1::7::MRPL39
133,RPE1::8::MRPL39
134,RPE1::9::MRPL39
135,RPE1::10::SEC61A1
136,RPE1::40::SEC61A1
137,RPE1::54::SEC61A1
138,RPE1::12::SPCS3
139,RPE1::16::SPCS3
140,RPE1::17::SPCS3
141,RPE1::30::SPCS3
142,RPE1::38::SPCS3
143,RPE1::44::SPCS3
144,RPE1::46::SPCS3
145,RPE1::38::SRP68
146,RPE1::12::SRP72
147,RPE1::17::SRP72
148,RPE1::28::SRP72
149,RPE1::31::SRP72
150,RPE1::34::SRP72
151,RPE1::4::SRP72
152,RPE1::42::SRP72
153,RPE1::48::SRP72
154,RPE1::55::SRP72
155,RPE1::10::SRPRB
156,RPE1::2::SRPRB
157,RPE1::22::SRPRB
158,RPE1::26::SRPRB
159,RPE1::29::SRPRB
160,RPE1::3::SRPRB
161,RPE1::30::SRPRB
162,RPE1::34::SRPRB
163,RPE1::35::SRPRB
164,RPE1::37::SRPRB
165,RPE1::41::SRPRB
166,RPE1::43::SRPRB
167,RPE1::47::SRPRB
168,RPE1::38::TMED2
169,RPE1::4::TMED2
170,RPE1::8::TMED2
171,RPE1::55::TTI1
172,RPE1::28::UFL1
173,RPE1::33::UFL1
174,RPE1::34::UFL1
