dataset_name,path,family,note,n_obs,n_vars,n_genes_used,context_col,perturbation_col,control_col,n_tasks,n_contexts,n_perturbations,n_control_contexts,role,pair
Lara_exvivo_celltype,official_scperturb/LaraAstiasoHuntly2023_exvivo.h5ad,genetic_lara_bone_marrow,Ex vivo mouse bone marrow CRISPR screen.,146793,32287,500,celltype,perturbation,,288,8,42,9,source,Lara_exvivo_celltype->Lara_invivo_celltype
Lara_invivo_celltype,official_scperturb/LaraAstiasoHuntly2023_invivo.h5ad,genetic_lara_bone_marrow,In vivo mouse bone marrow CRISPR screen.,135836,32287,500,celltype,perturbation,,249,15,37,17,target,Lara_exvivo_celltype->Lara_invivo_celltype
Lara_invivo_celltype,official_scperturb/LaraAstiasoHuntly2023_invivo.h5ad,genetic_lara_bone_marrow,In vivo mouse bone marrow CRISPR screen.,135836,32287,500,celltype,perturbation,,249,15,37,17,source,Lara_invivo_celltype->Lara_exvivo_celltype
Lara_exvivo_celltype,official_scperturb/LaraAstiasoHuntly2023_exvivo.h5ad,genetic_lara_bone_marrow,Ex vivo mouse bone marrow CRISPR screen.,146793,32287,500,celltype,perturbation,,288,8,42,9,target,Lara_invivo_celltype->Lara_exvivo_celltype
Lara_exvivo_celltype,official_scperturb/LaraAstiasoHuntly2023_exvivo.h5ad,genetic_lara_bone_marrow,Ex vivo mouse bone marrow CRISPR screen.,146793,32287,500,celltype,perturbation,,288,8,42,9,source,Lara_exvivo_celltype->Lara_leukemia_celltype
Lara_leukemia_celltype,official_scperturb/LaraAstiasoHuntly2023_leukemia.h5ad,genetic_lara_bone_marrow,Mouse leukemia CRISPR screen.,182949,32287,500,celltype,perturbation,,147,6,53,7,target,Lara_exvivo_celltype->Lara_leukemia_celltype
Lara_leukemia_celltype,official_scperturb/LaraAstiasoHuntly2023_leukemia.h5ad,genetic_lara_bone_marrow,Mouse leukemia CRISPR screen.,182949,32287,500,celltype,perturbation,,147,6,53,7,source,Lara_leukemia_celltype->Lara_exvivo_celltype
Lara_exvivo_celltype,official_scperturb/LaraAstiasoHuntly2023_exvivo.h5ad,genetic_lara_bone_marrow,Ex vivo mouse bone marrow CRISPR screen.,146793,32287,500,celltype,perturbation,,288,8,42,9,target,Lara_leukemia_celltype->Lara_exvivo_celltype
Lara_invivo_celltype,official_scperturb/LaraAstiasoHuntly2023_invivo.h5ad,genetic_lara_bone_marrow,In vivo mouse bone marrow CRISPR screen.,135836,32287,500,celltype,perturbation,,249,15,37,17,source,Lara_invivo_celltype->Lara_leukemia_celltype
Lara_leukemia_celltype,official_scperturb/LaraAstiasoHuntly2023_leukemia.h5ad,genetic_lara_bone_marrow,Mouse leukemia CRISPR screen.,182949,32287,500,celltype,perturbation,,147,6,53,7,target,Lara_invivo_celltype->Lara_leukemia_celltype
Lara_leukemia_celltype,official_scperturb/LaraAstiasoHuntly2023_leukemia.h5ad,genetic_lara_bone_marrow,Mouse leukemia CRISPR screen.,182949,32287,500,celltype,perturbation,,147,6,53,7,source,Lara_leukemia_celltype->Lara_invivo_celltype
Lara_invivo_celltype,official_scperturb/LaraAstiasoHuntly2023_invivo.h5ad,genetic_lara_bone_marrow,In vivo mouse bone marrow CRISPR screen.,135836,32287,500,celltype,perturbation,,249,15,37,17,target,Lara_leukemia_celltype->Lara_invivo_celltype
Dixit_7d_target,official_scperturb/DixitRegev2016_K562_TFs_7_days.h5ad,genetic_dixit_tf_time,"K562 TF CRISPR screen, 7 days; target-level grouping.",33013,23111,500,cell_line,target,perturbation,10,1,10,1,source,Dixit_7d_target->Dixit_13d_target
Dixit_13d_target,official_scperturb/DixitRegev2016_K562_TFs_13_days.h5ad,genetic_dixit_tf_time,"K562 TF CRISPR screen, 13 days; target-level grouping.",19268,21713,500,cell_line,target,perturbation,10,1,10,1,target,Dixit_7d_target->Dixit_13d_target
Dixit_13d_target,official_scperturb/DixitRegev2016_K562_TFs_13_days.h5ad,genetic_dixit_tf_time,"K562 TF CRISPR screen, 13 days; target-level grouping.",19268,21713,500,cell_line,target,perturbation,10,1,10,1,source,Dixit_13d_target->Dixit_7d_target
Dixit_7d_target,official_scperturb/DixitRegev2016_K562_TFs_7_days.h5ad,genetic_dixit_tf_time,"K562 TF CRISPR screen, 7 days; target-level grouping.",33013,23111,500,cell_line,target,perturbation,10,1,10,1,target,Dixit_13d_target->Dixit_7d_target
TianActivation_batch,official_generalization/TianActivation.h5ad,genetic_tian_crispr,CRISPRa screen; batch as context.,20169,5045,500,batch,perturbation,,184,2,92,2,source,TianActivation_batch->TianInhibition_batch
TianInhibition_batch,official_generalization/TianInhibition.h5ad,genetic_tian_crispr,CRISPRi screen; batch as context.,31815,5152,500,batch,perturbation,,705,4,180,4,target,TianActivation_batch->TianInhibition_batch
TianInhibition_batch,official_generalization/TianInhibition.h5ad,genetic_tian_crispr,CRISPRi screen; batch as context.,31815,5152,500,batch,perturbation,,705,4,180,4,source,TianInhibition_batch->TianActivation_batch
TianActivation_batch,official_generalization/TianActivation.h5ad,genetic_tian_crispr,CRISPRa screen; batch as context.,20169,5045,500,batch,perturbation,,184,2,92,2,target,TianInhibition_batch->TianActivation_batch
Replogle_exp6_global,official_generalization/Replogle_exp6.h5ad,genetic_replogle_small,Replogle small experiment 6; global context.,27104,5019,500,__global__,perturbation,,69,1,69,1,source,Replogle_exp6_global->Replogle_exp7_global
Replogle_exp7_global,official_generalization/Replogle_exp7.h5ad,genetic_replogle_small,Replogle small experiment 7; global context.,102148,5087,500,__global__,perturbation,,104,1,104,1,target,Replogle_exp6_global->Replogle_exp7_global
Replogle_exp7_global,official_generalization/Replogle_exp7.h5ad,genetic_replogle_small,Replogle small experiment 7; global context.,102148,5087,500,__global__,perturbation,,104,1,104,1,source,Replogle_exp7_global->Replogle_exp6_global
Replogle_exp6_global,official_generalization/Replogle_exp6.h5ad,genetic_replogle_small,Replogle small experiment 6; global context.,27104,5019,500,__global__,perturbation,,69,1,69,1,target,Replogle_exp7_global->Replogle_exp6_global
Replogle_exp6_global,official_generalization/Replogle_exp6.h5ad,genetic_replogle_small,Replogle small experiment 6; global context.,27104,5019,500,__global__,perturbation,,69,1,69,1,source,Replogle_exp6_global->Replogle_exp8_global
Replogle_exp8_global,official_generalization/Replogle_exp8.h5ad,genetic_replogle_small,Replogle small experiment 8; global context.,54956,5031,500,__global__,perturbation,,61,1,61,1,target,Replogle_exp6_global->Replogle_exp8_global
Replogle_exp8_global,official_generalization/Replogle_exp8.h5ad,genetic_replogle_small,Replogle small experiment 8; global context.,54956,5031,500,__global__,perturbation,,61,1,61,1,source,Replogle_exp8_global->Replogle_exp6_global
